,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
119,исторический синтаксис русский язык,3.91,0.0,1.1,3.3,4.1,3.9,2.2,1.9,0.438,89.81,99.0
120,социокультурный стереотип речевой общение,3.9,0.0,0.0,0.0,0.9,4.4,3.2,0.5,0.4562,90.22,81.0
121,сравнительный морфология тюркский язык,3.86,0.0,0.7,6.7,3.0,3.7,2.0,0.5,0.609,84.01,65.0
122,компонентный анализ многозначный слово,3.83,0.0,0.2,6.4,4.1,4.0,1.3,0.9,0.352,91.06,100.0
123,преподавание русский язык иностранец,3.79,0.0,0.5,10.0,6.5,3.0,1.2,0.5,0.4363,88.82,91.0
124,русский язык советский эпоха,3.77,4.8,3.3,6.6,4.9,3.3,1.5,0.0,0.3784,90.32,98.0
125,национальный вариант английский язык,3.76,0.0,0.0,1.6,4.6,3.0,3.5,0.0,0.6094,78.14,64.0
118,лексикология современный немецкий язык,3.74,0.0,0.0,2.9,3.1,3.6,2.7,0.0,0.5107,87.49,83.0
127,лексико грамматический средство выражение,3.65,0.0,1.3,3.0,4.5,3.5,2.2,0.0,0.3756,90.56,98.0
128,речь современный английский язык,3.65,0.0,0.0,3.5,3.7,3.8,2.0,0.0,0.5009,88.17,78.0
129,метод современный структурный лингвистика,3.58,0.0,0.3,2.7,3.7,3.6,2.1,0.9,0.3207,93.2,107.0
130,теоретический грамматика немецкий язык,3.56,0.0,0.0,0.8,2.2,3.7,2.8,0.9,0.5678,85.52,68.0
45,логический анализ язык модель,3.55,0.0,0.0,0.0,5.6,4.0,1.7,1.9,0.3981,90.88,95.0
131,словообразование современный немецкий язык,3.49,0.0,0.7,4.6,3.4,3.3,2.0,0.0,0.4971,88.17,76.0
132,словообразование современный английский язык,3.46,0.0,0.3,4.3,3.4,3.3,2.0,0.5,0.5216,87.69,79.0
135,стиль русский литературный язык,3.42,4.8,2.6,2.4,2.1,3.5,2.1,0.0,0.4044,89.74,94.0
134,компонентный анализ значимый единица,3.39,0.0,0.0,5.9,3.6,3.7,1.0,0.0,0.409,89.89,91.0
136,анализ значимый единица язык,3.38,0.0,0.0,5.3,3.5,3.7,1.1,0.0,0.3915,90.37,94.0
137,семантический анализ фразеологический единица,3.37,0.0,0.0,3.8,2.9,3.4,2.0,0.0,0.3864,90.82,91.0
138,лексика современный немецкий язык,3.33,0.0,0.0,2.8,2.8,3.6,1.9,0.9,0.5191,85.13,77.0
139,описание лексико семантический система,3.3,2.4,0.2,6.4,2.8,3.6,1.0,0.0,0.4121,88.92,91.0
126,пространство логический анализ язык,3.26,0.0,0.0,0.0,0.0,4.2,2.1,0.0,0.4822,88.76,77.0
140,метод синхронный анализ лексика,3.25,0.0,0.7,7.4,3.6,3.0,1.2,0.0,0.4273,89.33,92.0
141,метод анализ словарный дефиниция,3.22,0.0,0.0,0.6,1.3,2.9,3.1,3.3,0.416,90.5,88.0
142,трансформационный грамматика русский язык,3.21,0.0,0.3,3.7,4.1,2.9,1.9,0.5,0.3135,92.42,101.0
160,картина мир русский язык,3.19,0.0,0.0,0.0,0.3,3.8,2.4,1.9,0.4636,87.2,83.0
143,тезаурус современный русский язык,3.18,0.0,0.0,0.0,0.7,3.1,3.2,0.0,0.4849,88.56,77.0
145,функциональный анализ языковой единица,3.14,0.0,0.0,0.1,1.6,3.7,2.2,0.5,0.4282,89.68,90.0
144,современный русский народный говор,3.12,0.0,4.2,3.5,3.0,2.8,1.7,0.0,0.5177,87.62,78.0
147,принцип описание язык мир,03.04,0.0,0.2,3.7,4.9,3.2,0.9,0.9,0.4226,89.25,89.0
149,строй современный английский язык,03.04,0.0,0.2,4.1,2.9,2.9,1.7,0.5,0.495,87.86,81.0
146,лексический значение производный слово,03.03,0.0,0.5,1.8,3.3,3.6,1.2,0.0,0.4505,87.72,82.0
148,средство выражение модальный значение,03.03,0.0,0.8,1.5,1.9,3.3,1.9,0.0,0.4866,87.58,82.0
150,носитель элитарный речевой культура,2.98,0.0,0.0,0.0,3.9,3.0,2.2,0.0,0.5247,85.03,71.0
151,лексика русский народный говор,2.95,0.0,0.5,3.8,3.4,2.8,1.6,0.0,0.5475,86.08,78.0
153,русский говор средний урал,2.84,1.2,2.3,2.4,2.8,2.6,1.8,0.9,0.4748,88.26,79.0
154,концептуальный пространство когнитивный лингвистика,2.83,0.0,0.0,0.0,0.0,2.0,3.9,1.4,0.559,87.51,62.0
155,множественный число имя существительное,2.76,0.0,0.8,2.0,2.8,2.5,2.0,0.0,0.5339,82.77,78.0
156,синтаксис современный итальянский язык,2.76,0.0,0.0,6.0,4.9,2.3,1.0,0.0,0.4106,89.35,91.0
157,прагматический аспект единица общение,2.74,0.0,0.0,0.0,1.3,3.1,2.0,0.5,0.4495,89.79,80.0
158,диалектологический атлас русский язык,2.7,7.2,2.0,2.6,2.5,2.2,1.9,1.4,0.4866,88.03,75.0
159,этнокультурный специфика речевой деятельность,2.7,0.0,0.0,0.0,0.0,2.9,2.5,0.5,0.5318,88.14,67.0
152,экспрессивный оценочный функция метафора,2.69,0.0,0.0,0.1,3.2,3.3,1.3,0.0,0.4525,90.04,79.0
161,грамматика современный русский язык,2.65,0.0,1.1,4.5,3.0,2.5,1.2,0.0,0.3722,91.33,97.0
166,видо временный форма глагол,2.65,0.0,0.3,2.4,3.3,2.4,1.6,2.4,0.3896,91.2,95.0
162,фразеология современный французский язык,2.61,0.0,0.3,2.1,2.4,2.5,1.8,0.0,0.4027,91.32,90.0
163,функциональный тип языковой метафора,2.61,0.0,0.0,1.9,3.4,2.4,1.8,0.5,0.3877,91.45,94.0
173,система русский литературный язык,2.61,3.6,1.8,2.7,1.7,2.3,1.8,1.4,0.4471,89.87,85.0
164,современный русский разговорный речь,2.6,1.2,0.5,2.7,2.6,2.6,1.4,1.9,0.3634,91.42,98.0
165,лексический состав русский язык,2.58,0.0,0.3,0.8,2.2,2.6,1.9,0.9,0.4625,89.0,85.0
167,прикладной аспект речевой общение,2.56,0.0,0.0,0.0,0.9,2.2,2.8,0.9,0.5366,85.98,73.0
174,культурный специфика речевой общение,2.55,0.0,0.0,0.5,2.1,3.0,1.5,0.0,0.4663,88.02,81.0
169,теория функционально коммуникативный синтаксис,2.52,0.0,0.0,0.0,0.5,2.6,2.3,0.5,0.4707,88.96,77.0
170,языковой сознание носитель язык,2.51,0.0,0.3,0.1,0.6,2.0,3.0,1.4,0.458,88.93,85.0
168,морфология современный русский язык,2.5,2.4,0.2,1.4,1.6,2.5,1.8,0.5,0.4491,89.66,86.0
171,сравнительный грамматика германский язык,2.48,1.2,0.2,3.6,2.8,2.3,1.4,0.0,0.5122,87.54,73.0
172,основа прагматический описание предложение,2.44,0.0,0.0,0.2,4.1,2.8,1.1,0.0,0.4647,89.07,79.0
175,основа образный средство язык,2.4,0.0,0.0,2.8,3.0,2.8,0.7,0.9,0.3907,91.18,88.0
176,диалектологический атлас тюркский язык,2.38,0.0,24.7,7.7,0.2,0.4,0.3,0.0,0.7916,72.24,28.0
177,внутренний форма фразеологический единица,2.38,0.0,0.0,0.5,3.3,2.6,1.3,0.0,0.4912,82.52,75.0
180,специфика языковой картина мир,2.38,0.0,0.0,0.0,0.8,2.3,2.4,0.0,0.419,90.08,84.0
178,сравнительный грамматика славянский язык,2.36,6.0,1.5,4.1,2.8,2.2,0.8,0.0,0.4269,90.14,84.0
179,моделирование языковой картина мир,2.36,0.0,0.0,0.0,0.1,2.1,2.7,1.4,0.4893,87.82,72.0
182,экспрессивный окраска языковой единица,2.36,0.0,0.0,0.1,2.2,2.7,1.5,0.5,0.4187,90.54,84.0
181,общий свойство языковой система,2.35,0.0,0.0,1.6,2.8,2.3,1.5,0.0,0.3894,91.48,86.0
183,речь современный русский язык,2.32,0.0,0.2,1.3,2.2,2.6,1.3,0.0,0.4724,88.78,80.0
185,эпитет русский литературный язык,2.32,0.0,0.0,2.2,1.7,2.6,1.1,0.9,0.4147,90.25,85.0
184,перевод научно технический литература,2.31,0.0,0.3,3.6,1.8,2.4,1.0,0.0,0.4853,87.65,78.0
186,экспериментально фонетический анализ речь,2.29,0.0,0.0,2.0,3.7,2.7,0.6,0.0,0.5427,86.24,67.0
190,словообразовательный элемент немецкий язык,2.29,0.0,0.0,2.3,2.5,2.4,1.1,0.0,0.5666,85.94,64.0
187,англо русский языковой контакт,2.28,0.0,0.0,1.2,1.7,2.3,1.7,0.0,0.3755,91.25,91.0
188,внутренний форма языковой единица,2.28,0.0,0.2,2.1,2.7,2.6,0.9,0.5,0.41,90.69,87.0
191,вариант современный английский язык,2.28,0.0,0.0,1.6,0.9,2.4,1.7,0.0,0.6604,73.67,52.0
193,практика преподавание иностранный язык,2.28,0.0,0.0,1.6,1.6,2.5,1.4,0.9,0.4733,89.3,78.0
189,современный носитель русский язык,2.27,0.0,0.0,0.4,0.9,2.3,1.9,2.4,0.4846,84.73,76.0
195,лексико семантический вариант слово,2.27,0.0,0.0,3.7,1.0,2.3,1.3,0.0,0.3909,89.71,91.0
192,сравнительный фонетика тюркский язык,2.26,0.0,12.1,5.3,1.4,1.1,0.8,1.4,0.6153,83.79,59.0
194,способ выражение временный отношение,2.25,0.0,0.0,2.7,2.4,2.1,1.3,0.0,0.3952,90.64,88.0
196,семантический система русский язык,2.2,0.0,0.3,1.8,2.3,2.2,1.3,1.4,0.5027,86.79,73.0
197,функциональный грамматика русский язык,2.2,0.0,0.2,0.5,2.0,2.4,1.5,0.0,0.4039,91.06,85.0
198,практический грамматика английский язык,2.2,0.0,0.0,1.6,1.2,2.0,1.9,0.9,0.4915,88.33,72.0
200,современный азербайджанский литературный язык,2.18,0.0,13.7,6.8,0.9,0.9,0.6,0.0,0.6869,79.77,42.0
201,современный якутский литературный язык,2.15,0.0,0.7,1.1,1.2,2.3,1.3,2.8,0.6671,80.59,49.0
202,лексический основа русский язык,2.15,0.0,0.0,0.5,3.6,2.6,0.7,0.0,0.4545,88.37,76.0
203,языковой картина мир носитель,2.15,0.0,0.0,0.0,0.4,2.0,2.3,0.5,0.4395,89.84,84.0
199,аспект языковой картина мир,2.14,0.0,0.0,0.0,0.3,2.1,2.2,0.0,0.4405,89.2,80.0
205,словарный состав английский язык,2.14,0.0,0.5,3.3,1.6,1.8,1.5,0.5,0.6025,81.81,57.0
207,интонационный система русский язык,2.13,0.0,0.0,1.8,2.7,2.1,1.2,0.0,0.4422,89.82,79.0
206,функциональный анализ грамматический категория,2.12,0.0,0.0,3.4,3.2,2.0,0.8,0.0,0.4616,89.71,81.0
204,функциональный стиль русский язык,2.1,0.0,0.3,1.6,1.7,2.3,1.2,0.0,0.4221,89.11,83.0
208,часть речь русский язык,2.1,0.0,0.3,0.9,0.5,2.2,1.7,0.0,0.4356,89.67,84.0
209,сфера действие лексический единица,2.1,0.0,0.0,0.0,3.1,2.2,1.3,2.4,0.3599,91.72,93.0
210,состав современный русский язык,02.08,0.0,0.5,1.2,1.0,2.2,1.4,0.5,0.4405,89.47,82.0
213,описание современный германский язык,02.08,0.0,1.5,4.0,2.3,1.9,0.8,0.0,0.5137,86.88,75.0
211,системный анализ значимый единица,02.06,0.0,0.0,0.3,3.7,2.5,0.7,0.0,0.5568,85.65,63.0
214,грамматика карачаево балкарский язык,02.06,0.0,1.5,2.0,1.2,2.1,1.2,0.0,0.7253,78.87,39.0
215,формирование русский национальный язык,02.06,0.0,0.7,2.5,3.3,2.0,0.8,0.0,0.5851,84.34,57.0
221,система современный немецкий язык,02.06,0.0,0.5,3.4,2.4,2.0,0.8,0.0,0.5462,86.29,62.0
212,синтаксический особенность русский речь,02.05,0.0,0.5,3.2,3.6,2.0,0.7,0.0,0.4502,88.5,79.0
217,функциональный семантико стилистический категория,02.05,0.0,0.0,0.9,3.3,2.0,1.2,0.5,0.5097,87.78,74.0
216,диалогический речь современный английский,02.04,0.0,0.0,2.2,2.7,2.2,0.9,0.0,0.5381,87.03,68.0
220,лексико грамматический класс слово,02.03,0.0,0.3,2.3,2.4,1.9,1.2,0.0,0.4617,88.44,80.0
219,культурный аспект оценочный семантика,02.02,0.0,0.0,0.0,0.9,2.4,1.4,0.0,0.473,89.21,73.0
222,родительный падеж множественный число,2,20.3,3.9,2.5,1.9,0.6,2.0,0.9,0.6014,78.96,58.0
223,сравнительный конструкция русский язык,1.98,0.0,0.3,1.4,2.6,1.8,1.3,0.9,0.4414,89.57,83.0
224,исторический лексика дагестанский язык,1.98,0.0,0.7,0.5,1.4,1.9,1.6,0.0,0.7304,80.0,37.0
225,видовой противопоставление русский глагол,1.97,0.0,0.2,0.7,2.9,2.0,1.1,1.9,0.3664,91.74,94.0
226,структура современный английский язык,1.96,0.0,0.0,1.6,2.5,1.7,1.4,0.0,0.5218,87.88,69.0
227,русский устный научный речь,1.96,0.0,0.0,0.1,4.3,2.2,0.7,0.0,0.561,85.92,64.0
228,коммуникативный стратегия русский речь,1.95,0.0,0.0,0.0,0.0,2.2,1.7,0.9,0.4333,90.71,82.0
229,экспрессивный средство английский язык,1.95,0.0,0.0,2.4,1.5,1.9,1.2,0.0,0.4584,89.7,77.0
230,носитель современный русский язык,1.94,0.0,0.3,0.6,0.7,1.8,1.8,0.5,0.5084,87.1,74.0
231,грамматический категория имя существительное,1.93,0.0,1.6,1.5,2.6,1.8,1.0,0.5,0.5333,84.86,71.0
232,газетный публицистический стиль речь,1.92,0.0,0.0,1.6,1.9,1.9,1.2,0.0,0.4613,86.34,79.0
233,грамматический средство выражение модальность,1.92,0.0,0.8,1.3,3.4,2.1,0.7,0.0,0.5061,86.99,68.0
234,лексико грамматический разряд слово,1.92,0.0,0.7,2.6,3.1,1.7,0.9,0.5,0.4041,89.97,87.0
236,синтаксический строй татарский язык,1.91,0.0,5.7,2.2,1.5,1.7,0.7,0.0,0.6661,82.79,46.0
235,падежный форма имя существительное,1.9,0.0,0.8,1.9,2.1,2.0,0.8,0.0,0.4639,84.65,78.0
237,семантический структура простой предложение,1.89,0.0,0.0,2.6,3.2,1.8,0.7,0.0,0.4355,89.76,78.0
