,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
37,история язык русский поэзия,7.69,0.0,0.0,0.0,6.1,10.2,3.3,0.5,0.5341,86.07,87.0
38,картина мир русский язык,3.19,0.0,0.0,0.0,0.3,3.8,2.4,1.9,0.4636,87.2,83.0
39,категория число имя существительное,1.83,0.0,1.8,1.2,1.6,2.0,0.9,0.0,0.5414,84.29,67.0
40,когнитивный анализ предметный имя,6.68,0.0,0.0,0.0,0.0,7.2,6.1,3.3,0.3684,92.1,94.0
41,когнитивный аспект языковой категоризации,9.92,0.0,0.0,0.0,2.6,12.0,7.1,0.9,0.4365,89.87,94.0
42,коммуникативный аспект русский синтаксис,12.45,0.0,0.0,10.1,18.1,12.5,6.4,1.4,0.3253,92.88,109.0
43,коммуникативный грамматика русский язык,09.01,0.0,0.0,0.1,5.0,10.3,6.4,2.4,0.3511,91.46,107.0
44,коммуникативный стратегия русский речь,1.95,0.0,0.0,0.0,0.0,2.2,1.7,0.9,0.4333,90.71,82.0
45,компонент семантический структура высказывание,4.33,0.0,0.3,5.9,5.5,4.6,1.6,0.0,0.3638,91.46,101.0
46,компонент содержательный структура слово,8.18,0.0,0.5,8.6,8.1,9.1,3.5,0.0,0.3341,92.81,110.0
47,компонентный анализ значимый единица,3.39,0.0,0.0,5.9,3.6,3.7,1.0,0.0,0.409,89.89,91.0
48,компонентный анализ многозначный слово,3.83,0.0,0.2,6.4,4.1,4.0,1.3,0.9,0.352,91.06,100.0
49,конструктивный анализ структура предложение,1.82,0.0,0.5,5.0,2.0,1.4,0.8,0.5,0.5126,84.97,70.0
50,концепт становление антропоцентрический парадигма,8.77,0.0,0.0,0.0,0.0,8.4,9.4,2.8,0.4491,90.7,84.0
51,концептуальный пространство когнитивный лингвистика,2.83,0.0,0.0,0.0,0.0,2.0,3.9,1.4,0.559,87.51,62.0
52,культурный аспект оценочный семантика,02.02,0.0,0.0,0.0,0.9,2.4,1.4,0.0,0.473,89.21,73.0
53,культурный специфика речевой общение,2.55,0.0,0.0,0.5,2.1,3.0,1.5,0.0,0.4663,88.02,81.0
54,культурный специфика речевой поведение,11.18,0.0,0.2,4.8,13.7,13.1,4.9,1.4,0.3699,90.66,108.0
55,лексика русский литературный язык,7.64,2.4,3.4,7.0,9.2,8.0,3.4,0.0,0.4303,89.76,104.0
56,лексика русский народный говор,2.95,0.0,0.5,3.8,3.4,2.8,1.6,0.0,0.5475,86.08,78.0
57,лексика современный английский язык,4.74,0.0,0.0,3.1,3.9,5.0,3.0,0.5,0.4671,88.43,88.0
58,лексика современный немецкий язык,3.33,0.0,0.0,2.8,2.8,3.6,1.9,0.9,0.5191,85.13,77.0
59,лексика современный русский язык,19.24,2.4,1.3,22.4,21.5,19.3,9.8,3.8,0.2989,92.96,121.0
60,лексико грамматический класс слово,02.03,0.0,0.3,2.3,2.4,1.9,1.2,0.0,0.4617,88.44,80.0
61,лексико грамматический разряд слово,1.92,0.0,0.7,2.6,3.1,1.7,0.9,0.5,0.4041,89.97,87.0
62,лексико грамматический средство выражение,3.65,0.0,1.3,3.0,4.5,3.5,2.2,0.0,0.3756,90.56,98.0
63,лексико семантический вариант слово,2.27,0.0,0.0,3.7,1.0,2.3,1.3,0.0,0.3909,89.71,91.0
64,лексико семантический группа глагол,7.26,0.0,1.3,8.1,7.1,7.8,3.3,1.9,0.3474,91.8,103.0
65,лексико семантический группа слово,8.54,0.0,2.0,13.4,9.8,8.3,3.7,1.4,0.3543,91.32,111.0
66,лексико семантический система язык,27.31,0.0,2.3,28.9,25.7,28.0,14.6,7.1,0.2881,93.73,118.0
67,лексико семантический способ словообразование,1.71,0.0,0.0,1.2,1.9,1.8,0.9,0.0,0.4695,88.2,78.0
68,лексикология современный английский язык,8.45,0.0,0.2,7.7,6.0,7.7,6.6,2.4,0.4322,91.06,99.0
69,лексикология современный немецкий язык,3.74,0.0,0.0,2.9,3.1,3.6,2.7,0.0,0.5107,87.49,83.0
70,лексикология современный русский язык,9.88,1.2,0.7,8.4,7.8,10.4,5.8,2.8,0.3219,93.15,118.0
71,лексический значение производный слово,03.03,0.0,0.5,1.8,3.3,3.6,1.2,0.0,0.4505,87.72,82.0
72,лексический основа русский язык,2.15,0.0,0.0,0.5,3.6,2.6,0.7,0.0,0.4545,88.37,76.0
73,лексический система русский язык,06.09,0.0,2.6,3.0,5.6,5.9,4.2,2.8,0.4049,90.64,106.0
74,лексический состав русский язык,2.58,0.0,0.3,0.8,2.2,2.6,1.9,0.9,0.4625,89.0,85.0
75,лексический средство обозначение эмоция,04.09,0.0,0.0,0.0,3.7,4.7,2.6,0.5,0.3965,90.86,91.0
76,лингвистический описание разговорный речь,7.3,0.0,0.0,12.6,8.7,7.6,2.5,0.5,0.4196,89.67,97.0
77,лингвостилистика современный английский язык,1.75,0.0,0.0,0.0,0.5,1.9,1.5,0.0,0.6628,82.52,45.0
78,личностный аспект языковой общение,5.44,0.0,0.0,0.0,7.5,6.1,3.1,0.0,0.472,88.86,81.0
79,логико философский анализ язык,7.6,0.0,0.0,0.5,4.5,8.7,5.3,0.9,0.3965,91.37,98.0
80,логический анализ естественный язык,04.01,0.0,0.0,0.8,5.1,4.5,2.1,0.0,0.4046,90.89,94.0
81,логический анализ язык модель,3.55,0.0,0.0,0.0,5.6,4.0,1.7,1.9,0.3981,90.88,95.0
82,метод анализ словарный дефиниция,3.22,0.0,0.0,0.6,1.3,2.9,3.1,3.3,0.416,90.5,88.0
83,метод синхронный анализ лексика,3.25,0.0,0.7,7.4,3.6,3.0,1.2,0.0,0.4273,89.33,92.0
84,метод современный структурный лингвистика,3.58,0.0,0.3,2.7,3.7,3.6,2.1,0.9,0.3207,93.2,107.0
85,методика обучение иностранный язык,4.99,0.0,0.2,3.2,4.7,4.9,3.4,1.9,0.3963,90.81,100.0
86,методика преподавание иностранный язык,20.34,1.2,1.6,22.9,16.6,18.2,14.3,14.1,0.3076,93.18,117.0
87,методика преподавание русский язык,8.45,4.8,5.4,12.9,9.1,7.5,4.4,0.5,0.3105,92.42,118.0
88,множественный число имя существительное,2.76,0.0,0.8,2.0,2.8,2.5,2.0,0.0,0.5339,82.77,78.0
89,моделирование языковой картина мир,2.36,0.0,0.0,0.0,0.1,2.1,2.7,1.4,0.4893,87.82,72.0
90,морфология современный английский язык,4.33,0.0,0.2,4.3,5.1,4.2,2.5,0.9,0.4389,90.28,92.0
91,морфология современный русский язык,2.5,2.4,0.2,1.4,1.6,2.5,1.8,0.5,0.4491,89.66,86.0
92,направление современный американский лингвистика,5.19,0.0,0.0,0.0,3.6,6.4,2.9,3.8,0.4279,89.51,92.0
93,национальный вариант английский язык,3.76,0.0,0.0,1.6,4.6,3.0,3.5,0.0,0.6094,78.14,64.0
94,национальный вариант испанский язык,4.89,0.0,0.0,0.5,0.2,3.4,6.8,0.9,0.7704,75.09,43.0
95,национальный корпус русский язык,25.61,0.0,0.0,0.0,0.0,9.8,43.7,70.1,0.495,88.04,80.0
96,национальный языковой картина мир,6.55,0.0,0.0,0.0,0.5,6.1,7.0,6.6,0.397,90.69,97.0
97,немецкий языковой картина мир,4.22,0.0,0.0,0.0,0.6,3.1,5.6,0.9,0.5931,84.63,70.0
98,номинативный аспект речевой деятельность,8.42,0.0,0.0,0.5,9.1,9.3,5.2,2.8,0.3542,92.13,104.0
99,норма русский литературный язык,6.34,8.4,9.0,7.6,5.9,5.9,2.8,2.4,0.339,91.75,118.0
100,носитель современный русский язык,1.94,0.0,0.3,0.6,0.7,1.8,1.8,0.5,0.5084,87.1,74.0
101,носитель элитарный речевой культура,2.98,0.0,0.0,0.0,3.9,3.0,2.2,0.0,0.5247,85.03,71.0
102,обучение русский язык иностранец,5.59,0.0,0.3,3.1,4.3,6.0,3.6,0.9,0.3576,92.04,105.0
103,общий свойство языковой система,2.35,0.0,0.0,1.6,2.8,2.3,1.5,0.0,0.3894,91.48,86.0
104,описание лексико семантический система,3.3,2.4,0.2,6.4,2.8,3.6,1.0,0.0,0.4121,88.92,91.0
105,описание современный германский язык,02.08,0.0,1.5,4.0,2.3,1.9,0.8,0.0,0.5137,86.88,75.0
106,основа образный средство язык,2.4,0.0,0.0,2.8,3.0,2.8,0.7,0.9,0.3907,91.18,88.0
107,основа прагматический описание предложение,2.44,0.0,0.0,0.2,4.1,2.8,1.1,0.0,0.4647,89.07,79.0
108,основа теория речевой деятельность,08.01,0.0,0.7,7.0,10.3,8.6,3.5,2.8,0.398,90.86,106.0
109,основа фразеология русский язык,5.38,0.0,0.3,4.0,4.4,5.5,3.5,1.4,0.3326,92.77,102.0
110,основной тип лексический значение,11.25,0.0,2.0,15.4,12.0,11.2,5.3,1.4,0.3013,93.11,114.0
111,основной тип фразеологический единица,05.02,0.0,1.8,3.4,3.5,4.8,3.7,1.4,0.3263,92.62,106.0
112,отраслевой лексика дагестанский язык,9.24,0.0,0.0,0.4,2.6,9.2,8.9,0.0,0.7776,76.48,35.0
113,падежный форма имя существительное,1.9,0.0,0.8,1.9,2.1,2.0,0.8,0.0,0.4639,84.65,78.0
114,перевод научно технический литература,2.31,0.0,0.3,3.6,1.8,2.4,1.0,0.0,0.4853,87.65,78.0
115,понятие языковой картина мир,3.96,0.0,0.0,0.0,0.8,3.3,4.7,1.4,0.4062,90.97,97.0
116,построение научно технический терминология,5.21,2.4,0.3,4.4,3.8,4.6,4.2,0.9,0.3315,92.67,101.0
117,прагматический аспект единица общение,2.74,0.0,0.0,0.0,1.3,3.1,2.0,0.5,0.4495,89.79,80.0
118,практика преподавание английский язык,3.99,0.0,0.2,4.7,3.5,3.7,2.6,1.4,0.5521,86.52,73.0
119,практика преподавание иностранный язык,2.28,0.0,0.0,1.6,1.6,2.5,1.4,0.9,0.4733,89.3,78.0
120,практика преподавание русский язык,7.79,0.0,1.0,9.0,11.0,7.0,4.3,5.6,0.4041,90.87,112.0
121,практический грамматика английский язык,2.2,0.0,0.0,1.6,1.2,2.0,1.9,0.9,0.4915,88.33,72.0
122,практический стилистика русский язык,5.32,4.8,0.3,4.4,6.0,5.2,3.3,0.9,0.3304,92.46,112.0
123,преподавание русский язык иностранец,3.79,0.0,0.5,10.0,6.5,3.0,1.2,0.5,0.4363,88.82,91.0
124,прикладной аспект речевой общение,2.56,0.0,0.0,0.0,0.9,2.2,2.8,0.9,0.5366,85.98,73.0
125,принцип описание язык мир,03.04,0.0,0.2,3.7,4.9,3.2,0.9,0.9,0.4226,89.25,89.0
126,принцип семиологического описание лексика,7.35,0.0,0.0,0.1,5.4,9.1,4.1,0.9,0.3712,92.41,99.0
127,принцип типологический анализ язык,6.15,0.0,0.5,5.0,8.3,6.1,3.2,3.3,0.2989,92.99,117.0
128,пространство логический анализ язык,3.26,0.0,0.0,0.0,0.0,4.2,2.1,0.0,0.4822,88.76,77.0
129,развитие русский литературный язык,5.97,16.8,9.0,6.8,3.4,5.1,3.7,0.0,0.4299,89.49,99.0
130,различие строение человеческий язык,4.88,0.0,0.0,0.7,4.1,5.1,3.6,0.9,0.3258,93.13,100.0
131,разновидность городской устный речь,5.3,0.0,0.0,0.0,8.7,5.9,2.6,1.4,0.4069,89.66,91.0
132,речь носитель русский язык,1.81,0.0,0.0,0.1,1.5,1.4,2.0,1.9,0.4836,87.19,73.0
133,речь современный английский язык,3.65,0.0,0.0,3.5,3.7,3.8,2.0,0.0,0.5009,88.17,78.0
134,речь современный русский язык,2.32,0.0,0.2,1.3,2.2,2.6,1.3,0.0,0.4724,88.78,80.0
135,родительный падеж множественный число,2,20.3,3.9,2.5,1.9,0.6,2.0,0.9,0.6014,78.96,58.0
136,русский говор средний урал,2.84,1.2,2.3,2.4,2.8,2.6,1.8,0.9,0.4748,88.26,79.0
137,русский устный научный речь,1.96,0.0,0.0,0.1,4.3,2.2,0.7,0.0,0.561,85.92,64.0
138,русский язык советский эпоха,3.77,4.8,3.3,6.6,4.9,3.3,1.5,0.0,0.3784,90.32,98.0
139,русский языковой картина мир,59.01,0.0,0.0,0.0,12.2,57.4,59.3,24.4,0.3773,90.78,113.0
140,семантический анализ фразеологический единица,3.37,0.0,0.0,3.8,2.9,3.4,2.0,0.0,0.3864,90.82,91.0
141,семантический класс русский глагол,4.62,0.0,0.0,4.0,7.0,5.4,1.2,2.4,0.4634,87.51,91.0
142,семантический система русский язык,2.2,0.0,0.3,1.8,2.3,2.2,1.3,1.4,0.5027,86.79,73.0
143,семантический структура простой предложение,1.89,0.0,0.0,2.6,3.2,1.8,0.7,0.0,0.4355,89.76,78.0
144,синтаксис русский разговорный речь,7.22,1.2,1.3,7.3,9.1,7.5,3.2,1.4,0.3088,92.92,117.0
145,синтаксис современный английский язык,05.03,0.0,0.0,7.4,7.5,4.9,2.0,0.9,0.4478,88.52,95.0
146,синтаксис современный индоевропейский язык,7.15,0.0,0.5,14.1,11.5,6.0,3.1,0.0,0.4085,89.69,97.0
147,синтаксис современный итальянский язык,2.76,0.0,0.0,6.0,4.9,2.3,1.0,0.0,0.4106,89.35,91.0
148,синтаксис современный немецкий язык,8.12,0.0,1.3,11.6,8.9,7.4,4.6,1.4,0.4245,89.44,106.0
149,синтаксис современный русский язык,28.44,7.2,3.8,23.7,38.7,29.2,13.7,5.6,0.3215,92.61,122.0
150,синтаксический особенность русский речь,02.05,0.0,0.5,3.2,3.6,2.0,0.7,0.0,0.4502,88.5,79.0
151,синтаксический строй татарский язык,1.91,0.0,5.7,2.2,1.5,1.7,0.7,0.0,0.6661,82.79,46.0
152,синтаксический структура тюркский язык,1.86,0.0,7.7,3.8,1.2,1.4,0.5,0.0,0.6177,84.11,52.0
153,система русский литературный язык,2.61,3.6,1.8,2.7,1.7,2.3,1.8,1.4,0.4471,89.87,85.0
154,система современный английский язык,4.64,0.0,0.5,5.7,5.7,4.0,3.0,0.9,0.4744,87.86,91.0
155,система современный немецкий язык,02.06,0.0,0.5,3.4,2.4,2.0,0.8,0.0,0.5462,86.29,62.0
156,система современный русский язык,9.79,2.4,1.6,5.9,7.8,10.1,6.4,3.8,0.3338,91.95,119.0
157,системный анализ значимый единица,02.06,0.0,0.0,0.3,3.7,2.5,0.7,0.0,0.5568,85.65,63.0
158,словарный состав английский язык,2.14,0.0,0.5,3.3,1.6,1.8,1.5,0.5,0.6025,81.81,57.0
159,словарный состав русский язык,5.97,8.4,6.4,7.5,5.3,5.2,3.3,2.4,0.3526,91.89,110.0
160,словообразование современный английский язык,3.46,0.0,0.3,4.3,3.4,3.3,2.0,0.5,0.5216,87.69,79.0
161,словообразование современный немецкий язык,3.49,0.0,0.7,4.6,3.4,3.3,2.0,0.0,0.4971,88.17,76.0
162,словообразование современный русский язык,6.2,3.6,0.2,6.2,7.8,6.4,2.9,0.0,0.409,89.19,101.0
163,словообразовательный единица русский язык,1.8,0.0,0.0,0.0,1.4,1.9,1.4,0.0,0.502,88.45,68.0
164,словообразовательный система русский язык,6.29,1.2,0.3,3.4,5.1,6.4,4.4,0.9,0.4524,89.51,104.0
165,словообразовательный элемент немецкий язык,2.29,0.0,0.0,2.3,2.5,2.4,1.1,0.0,0.5666,85.94,64.0
166,смысловой восприятие речевой сообщение,8.58,0.0,0.5,6.6,12.6,9.5,3.4,0.5,0.4243,90.3,99.0
167,современный азербайджанский литературный язык,2.18,0.0,13.7,6.8,0.9,0.9,0.6,0.0,0.6869,79.77,42.0
168,современный башкирский литературный язык,4.2,0.0,1.8,2.8,2.8,4.5,2.4,3.3,0.617,82.28,64.0
169,современный носитель русский язык,2.27,0.0,0.0,0.4,0.9,2.3,1.9,2.4,0.4846,84.73,76.0
170,современный русский литературный язык,164.5,158.0,100.5,191.4,188.1,157.8,78.6,28.2,0.2765,93.48,123.0
171,современный русский народный говор,3.12,0.0,4.2,3.5,3.0,2.8,1.7,0.0,0.5177,87.62,78.0
172,современный русский разговорный речь,2.6,1.2,0.5,2.7,2.6,2.6,1.4,1.9,0.3634,91.42,98.0
173,современный таджикский литературный язык,04.03,0.0,0.2,1.6,3.0,1.2,6.6,1.4,0.7134,77.89,41.0
174,современный татарский литературный язык,9.29,0.0,14.9,6.3,5.9,8.6,6.0,0.5,0.6342,82.08,70.0
175,современный турецкий литературный язык,4.47,0.0,23.7,10.3,2.1,2.6,1.4,0.5,0.6293,84.58,63.0
176,современный узбекский литературный язык,7.1,1.2,38.6,15.6,8.5,3.7,1.7,0.0,0.6504,82.57,60.0
177,современный якутский литературный язык,2.15,0.0,0.7,1.1,1.2,2.3,1.3,2.8,0.6671,80.59,49.0
178,сознание носитель русский язык,5.38,0.0,0.0,0.2,1.6,5.2,5.3,4.2,0.4149,89.07,102.0
179,сопоставительный анализ фразеологический единица,5.6,0.0,0.0,0.5,2.1,5.0,6.0,0.9,0.524,85.98,85.0
180,состав русский литературный язык,6.31,4.8,6.0,7.6,6.9,5.8,3.2,0.5,0.3253,92.2,117.0
181,состав современный английский язык,04.08,0.0,0.2,5.2,3.4,3.7,2.7,0.9,0.4994,87.95,86.0
182,состав современный русский язык,02.08,0.0,0.5,1.2,1.0,2.2,1.4,0.5,0.4405,89.47,82.0
183,социокультурный стереотип речевой общение,3.9,0.0,0.0,0.0,0.9,4.4,3.2,0.5,0.4562,90.22,81.0
184,сочетаемость слово русский язык,5.17,0.0,0.2,3.8,5.1,5.6,2.8,0.0,0.3462,91.56,109.0
185,специфика языковой картина мир,2.38,0.0,0.0,0.0,0.8,2.3,2.4,0.0,0.419,90.08,84.0
186,способ выражение временный отношение,2.25,0.0,0.0,2.7,2.4,2.1,1.3,0.0,0.3952,90.64,88.0
187,сравнительный грамматика германский язык,2.48,1.2,0.2,3.6,2.8,2.3,1.4,0.0,0.5122,87.54,73.0
188,сравнительный грамматика славянский язык,2.36,6.0,1.5,4.1,2.8,2.2,0.8,0.0,0.4269,90.14,84.0
189,сравнительный грамматика тюркский язык,9.18,0.0,34.3,12.5,5.0,7.7,3.4,0.9,0.605,84.29,75.0
190,сравнительный конструкция русский язык,1.98,0.0,0.3,1.4,2.6,1.8,1.3,0.9,0.4414,89.57,83.0
191,сравнительный морфология тюркский язык,3.86,0.0,0.7,6.7,3.0,3.7,2.0,0.5,0.609,84.01,65.0
192,сравнительный фонетика тюркский язык,2.26,0.0,12.1,5.3,1.4,1.1,0.8,1.4,0.6153,83.79,59.0
193,средство выражение модальный значение,03.03,0.0,0.8,1.5,1.9,3.3,1.9,0.0,0.4866,87.58,82.0
194,стилистика современный английский язык,17.04,0.0,0.7,14.2,14.6,17.8,10.1,3.3,0.3997,91.75,115.0
195,стилистика современный русский язык,4.29,2.4,0.0,1.2,3.5,4.6,3.0,0.5,0.3222,92.2,102.0
196,стиль русский литературный язык,3.42,4.8,2.6,2.4,2.1,3.5,2.1,0.0,0.4044,89.74,94.0
197,стиль современный русский язык,4.97,1.2,1.1,6.0,5.7,5.2,2.1,0.5,0.3851,91.11,102.0
198,строй современный английский язык,03.04,0.0,0.2,4.1,2.9,2.9,1.7,0.5,0.495,87.86,81.0
199,строй современный русский язык,4.81,4.8,0.7,5.2,5.1,5.4,1.8,0.5,0.3768,90.72,105.0
200,структура лексико семантический поле,4.72,0.0,0.0,2.2,2.8,5.0,3.4,0.0,0.4232,90.1,96.0
201,структура современный английский язык,1.96,0.0,0.0,1.6,2.5,1.7,1.4,0.0,0.5218,87.88,69.0
202,структурный схема простой предложение,3.94,0.0,0.0,3.5,4.8,2.9,3.6,0.0,0.4909,83.61,89.0
203,суффиксальный словообразование имя существительное,1.85,0.0,0.0,3.1,1.7,1.8,1.0,0.0,0.4873,87.03,74.0
204,сфера действие лексический единица,2.1,0.0,0.0,0.0,3.1,2.2,1.3,2.4,0.3599,91.72,93.0
205,тезаурус современный русский язык,3.18,0.0,0.0,0.0,0.7,3.1,3.2,0.0,0.4849,88.56,77.0
206,теоретический грамматика английский язык,8.99,0.0,0.0,6.9,5.8,7.8,7.9,1.9,0.476,89.21,92.0
207,теоретический грамматика немецкий язык,3.56,0.0,0.0,0.8,2.2,3.7,2.8,0.9,0.5678,85.52,68.0
208,теоретический грамматика французский язык,9.39,0.0,0.0,10.2,9.6,9.4,5.3,0.5,0.3903,90.08,106.0
209,теория анализ языковой единица,0.09,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.4904,88.92,78.0
210,теория функционально коммуникативный синтаксис,2.52,0.0,0.0,0.0,0.5,2.6,2.3,0.5,0.4707,88.96,77.0
211,тип лексический значение слово,11.9,0.0,2.0,17.9,13.2,11.6,5.6,1.4,0.3043,92.99,116.0
212,трансформационный грамматика русский язык,3.21,0.0,0.3,3.7,4.1,2.9,1.9,0.5,0.3135,92.42,101.0
213,тюремный лагерный блатной жаргон,1.74,0.0,0.0,0.0,2.1,2.2,0.6,0.9,0.5242,87.16,65.0
214,фонетика современный русский язык,4.26,0.0,0.5,4.6,5.4,4.4,1.9,1.4,0.3992,89.97,98.0
215,формирование русский национальный язык,02.06,0.0,0.7,2.5,3.3,2.0,0.8,0.0,0.5851,84.34,57.0
216,формирование языковой картина мир,11.74,0.0,0.0,0.0,6.4,12.9,9.0,3.8,0.3383,92.89,104.0
217,фрагмент языковой картина мир,14.98,0.0,0.0,0.0,6.5,16.2,12.2,6.6,0.3621,91.83,106.0
218,фразеологический единица русский язык,5.26,0.0,0.0,3.6,6.0,5.1,3.5,0.9,0.3998,90.49,105.0
219,фразеологический синоним русский язык,4.31,0.0,0.0,0.2,3.7,4.9,2.8,0.0,0.4331,89.83,91.0
220,фразеология современный английский язык,12.44,0.0,0.5,3.8,9.5,11.4,11.0,2.8,0.3771,91.68,107.0
221,фразеология современный немецкий язык,4.5,0.0,1.0,6.6,4.0,3.9,3.0,0.0,0.4261,89.49,94.0
222,фразеология современный русский язык,17.76,1.2,1.6,14.3,14.6,17.2,12.3,3.8,0.3206,93.26,118.0
223,фразеология современный французский язык,2.61,0.0,0.3,2.1,2.4,2.5,1.8,0.0,0.4027,91.32,90.0
224,французский школа анализ дискурс,08.09,0.0,0.0,0.0,0.1,7.5,9.0,2.4,0.4481,89.63,89.0
225,функционально смысловой тип речь,4.99,0.0,0.2,5.6,6.6,5.0,2.4,0.0,0.4043,90.72,94.0
226,функциональный анализ грамматический категория,2.12,0.0,0.0,3.4,3.2,2.0,0.8,0.0,0.4616,89.71,81.0
227,функциональный анализ языковой единица,3.14,0.0,0.0,0.1,1.6,3.7,2.2,0.5,0.4282,89.68,90.0
228,функциональный грамматика русский язык,2.2,0.0,0.2,0.5,2.0,2.4,1.5,0.0,0.4039,91.06,85.0
229,функциональный грамматика языковой интерпретация,1.49,0.0,0.0,0.0,0.0,1.8,1.1,0.0,0.4775,89.25,70.0
230,функциональный семантико стилистический категория,02.05,0.0,0.0,0.9,3.3,2.0,1.2,0.5,0.5097,87.78,74.0
231,функциональный синтаксис русский язык,10.68,0.0,1.5,11.9,15.5,10.0,5.6,1.4,0.2738,93.76,115.0
232,функциональный стиль русский язык,2.1,0.0,0.3,1.6,1.7,2.3,1.2,0.0,0.4221,89.11,83.0
233,функциональный тип лексический значение,5.62,0.0,0.0,5.9,7.6,5.8,2.5,0.9,0.3501,92.48,103.0
234,функциональный тип русский речь,4.32,0.0,0.0,4.3,3.8,4.8,2.1,0.5,0.3854,91.29,100.0
235,функциональный тип языковой метафора,2.61,0.0,0.0,1.9,3.4,2.4,1.8,0.5,0.3877,91.45,94.0
236,часть речь русский язык,2.1,0.0,0.3,0.9,0.5,2.2,1.7,0.0,0.4356,89.67,84.0
