термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
логический анализ язык модель,,0.0,0.0,0.0,5.6,4.0,1.7,1.9
практика преподавание русский язык,,0.0,1.0,9.0,11.0,7.0,4.3,5.6
грамматический строй русский язык,,7.2,2.8,6.7,11.0,7.2,4.1,3.8
история язык русский поэзия,,0.0,0.0,0.0,6.1,10.2,3.3,0.5
логико философский анализ язык,,0.0,0.0,0.5,4.5,8.7,5.3,0.9
лексика русский литературный язык,,2.4,3.4,7.0,9.2,8.0,3.4,0.0
принцип семиологического описание лексика,,0.0,0.0,0.1,5.4,9.1,4.1,0.9
анализ структура значение слово,,0.0,0.2,7.4,7.2,8.0,3.4,1.4
лингвистический описание разговорный речь,,0.0,0.0,12.6,8.7,7.6,2.5,0.5
синтаксис русский разговорный речь,,1.2,1.3,7.3,9.1,7.5,3.2,1.4
лексико семантический группа глагол,,0.0,1.3,8.1,7.1,7.8,3.3,1.9
синтаксис современный индоевропейский язык,,0.0,0.5,14.1,11.5,6.0,3.1,0.0
исторический лексикология русский язык,,0.0,2.5,5.6,9.3,7.2,3.5,0.9
современный узбекский литературный язык,,1.2,38.6,15.6,8.5,3.7,1.7,0.0
когнитивный анализ предметный имя,,0.0,0.0,0.0,0.0,7.2,6.1,3.3
язык логический анализ язык,,0.0,0.0,0.0,4.4,7.3,3.4,0.9
национальный языковой картина мир,,0.0,0.0,0.0,0.5,6.1,7.0,6.6
словообразование современный русский язык,,3.6,0.2,6.2,7.8,6.4,2.9,0.0
норма русский литературный язык,,8.4,9.0,7.6,5.9,5.9,2.8,2.4
состав русский литературный язык,,4.8,6.0,7.6,6.9,5.8,3.2,0.5
словообразовательный система русский язык,,1.2,0.3,3.4,5.1,6.4,4.4,0.9
принцип типологический анализ язык,,0.0,0.5,5.0,8.3,6.1,3.2,3.3
анализ язык различный строй,,0.0,0.5,4.9,8.4,6.1,3.1,3.3
лексический система русский язык,,0.0,2.6,3.0,5.6,5.9,4.2,2.8
словарный состав русский язык,,8.4,6.4,7.5,5.3,5.2,3.3,2.4
развитие русский литературный язык,,16.8,9.0,6.8,3.4,5.1,3.7,0.0
английский языковой картина мир,,0.0,0.0,0.0,0.1,4.0,8.1,10.3
функциональный тип лексический значение,,0.0,0.0,5.9,7.6,5.8,2.5,0.9
сопоставительный анализ фразеологический единица,,0.0,0.0,0.5,2.1,5.0,6.0,0.9
обучение русский язык иностранец,,0.0,0.3,3.1,4.3,6.0,3.6,0.9
грамматика русский литературный язык,,3.6,1.1,8.9,7.7,5.2,2.4,0.5
основа фразеология русский язык,,0.0,0.3,4.0,4.4,5.5,3.5,1.4
личностный аспект языковой общение,,0.0,0.0,0.0,7.5,6.1,3.1,0.0
фразеологический единица русский язык,,0.0,0.0,3.6,6.0,5.1,3.5,0.9
практический стилистика русский язык,,4.8,0.3,4.4,6.0,5.2,3.3,0.9
сознание носитель русский язык,,0.0,0.0,0.2,1.6,5.2,5.3,4.2
разновидность городской устный речь,,0.0,0.0,0.0,8.7,5.9,2.6,1.4
построение научно технический терминология,,2.4,0.3,4.4,3.8,4.6,4.2,0.9
направление современный американский лингвистика,,0.0,0.0,0.0,3.6,6.4,2.9,3.8
сочетаемость слово русский язык,,0.0,0.2,3.8,5.1,5.6,2.8,0.0
синтаксис современный английский язык,,0.0,0.0,7.4,7.5,4.9,2.0,0.9
основной тип фразеологический единица,,0.0,1.8,3.4,3.5,4.8,3.7,1.4
функционально смысловой тип речь,,0.0,0.2,5.6,6.6,5.0,2.4,0.0
методика обучение иностранный язык,,0.0,0.2,3.2,4.7,4.9,3.4,1.9
стиль современный русский язык,,1.2,1.1,6.0,5.7,5.2,2.1,0.5
различие строение человеческий язык,,0.0,0.0,0.7,4.1,5.1,3.6,0.9
национальный вариант испанский язык,,0.0,0.0,0.5,0.2,3.4,6.8,0.9
строй современный русский язык,,4.8,0.7,5.2,5.1,5.4,1.8,0.5
британский вариант английский язык,,0.0,0.0,2.0,3.1,4.3,4.6,1.4
лексика современный английский язык,,0.0,0.0,3.1,3.9,5.0,3.0,0.5
структура лексико семантический поле,,0.0,0.0,2.2,2.8,5.0,3.4,0.0
семантический класс русский глагол,,0.0,0.0,4.0,7.0,5.4,1.2,2.4
фразеология современный немецкий язык,,0.0,1.0,6.6,4.0,3.9,3.0,0.0
современный турецкий литературный язык,,0.0,23.7,10.3,2.1,2.6,1.4,0.5
система современный английский язык,,0.0,0.5,5.7,5.7,4.0,3.0,0.9
исторический морфология русский язык,,0.0,1.3,3.3,4.7,3.8,3.3,0.9
единица современный русский язык,,0.0,0.2,3.3,3.5,4.3,3.1,0.5
компонент семантический структура высказывание,,0.0,0.3,5.9,5.5,4.6,1.6,0.0
функциональный тип русский речь,,0.0,0.0,4.3,3.8,4.8,2.1,0.5
морфология современный английский язык,,0.0,0.2,4.3,5.1,4.2,2.5,0.9
фразеологический синоним русский язык,,0.0,0.0,0.2,3.7,4.9,2.8,0.0
стилистика современный русский язык,,2.4,0.0,1.2,3.5,4.6,3.0,0.5
фонетика современный русский язык,,0.0,0.5,4.6,5.4,4.4,1.9,1.4
немецкий языковой картина мир,,0.0,0.0,0.0,0.6,3.1,5.6,0.9
современный башкирский литературный язык,,0.0,1.8,2.8,2.8,4.5,2.4,3.3
лексический средство обозначение эмоция,,0.0,0.0,0.0,3.7,4.7,2.6,0.5
состав современный английский язык,,0.0,0.2,5.2,3.4,3.7,2.7,0.9
логический анализ естественный язык,,0.0,0.0,0.8,5.1,4.5,2.1,0.0
современный таджикский литературный язык,,0.0,0.2,1.6,3.0,1.2,6.6,1.4
практика преподавание английский язык,,0.0,0.2,4.7,3.5,3.7,2.6,1.4
элементарный единица русский синтаксис,,0.0,0.0,0.2,5.3,4.6,2.0,0.5
понятие языковой картина мир,,0.0,0.0,0.0,0.8,3.3,4.7,1.4
структурный схема простой предложение,,0.0,0.0,3.5,4.8,2.9,3.6,0.0
лексикология современный немецкий язык,,0.0,0.0,2.9,3.1,3.6,2.7,0.0
исторический синтаксис русский язык,,0.0,1.1,3.3,4.1,3.9,2.2,1.9
социокультурный стереотип речевой общение,,0.0,0.0,0.0,0.9,4.4,3.2,0.5
сравнительный морфология тюркский язык,,0.0,0.7,6.7,3.0,3.7,2.0,0.5
компонентный анализ многозначный слово,,0.0,0.2,6.4,4.1,4.0,1.3,0.9
преподавание русский язык иностранец,,0.0,0.5,10.0,6.5,3.0,1.2,0.5
русский язык советский эпоха,,4.8,3.3,6.6,4.9,3.3,1.5,0.0
национальный вариант английский язык,,0.0,0.0,1.6,4.6,3.0,3.5,0.0
пространство логический анализ язык,,0.0,0.0,0.0,0.0,4.2,2.1,0.0
лексико грамматический средство выражение,,0.0,1.3,3.0,4.5,3.5,2.2,0.0
речь современный английский язык,,0.0,0.0,3.5,3.7,3.8,2.0,0.0
метод современный структурный лингвистика,,0.0,0.3,2.7,3.7,3.6,2.1,0.9
теоретический грамматика немецкий язык,,0.0,0.0,0.8,2.2,3.7,2.8,0.9
словообразование современный немецкий язык,,0.0,0.7,4.6,3.4,3.3,2.0,0.0
словообразование современный английский язык,,0.0,0.3,4.3,3.4,3.3,2.0,0.5
теория анализ языковой единица,,0.0,0.0,0.0,0.0,0.1,0.1,0.0
компонентный анализ значимый единица,,0.0,0.0,5.9,3.6,3.7,1.0,0.0
стиль русский литературный язык,,4.8,2.6,2.4,2.1,3.5,2.1,0.0
анализ значимый единица язык,,0.0,0.0,5.3,3.5,3.7,1.1,0.0
семантический анализ фразеологический единица,,0.0,0.0,3.8,2.9,3.4,2.0,0.0
лексика современный немецкий язык,,0.0,0.0,2.8,2.8,3.6,1.9,0.9
описание лексико семантический система,,2.4,0.2,6.4,2.8,3.6,1.0,0.0
метод синхронный анализ лексика,,0.0,0.7,7.4,3.6,3.0,1.2,0.0
метод анализ словарный дефиниция,,0.0,0.0,0.6,1.3,2.9,3.1,3.3
трансформационный грамматика русский язык,,0.0,0.3,3.7,4.1,2.9,1.9,0.5
тезаурус современный русский язык,,0.0,0.0,0.0,0.7,3.1,3.2,0.0
современный русский народный говор,,0.0,4.2,3.5,3.0,2.8,1.7,0.0
функциональный анализ языковой единица,,0.0,0.0,0.1,1.6,3.7,2.2,0.5
лексический значение производный слово,,0.0,0.5,1.8,3.3,3.6,1.2,0.0
принцип описание язык мир,,0.0,0.2,3.7,4.9,3.2,0.9,0.9
средство выражение модальный значение,,0.0,0.8,1.5,1.9,3.3,1.9,0.0
строй современный английский язык,,0.0,0.2,4.1,2.9,2.9,1.7,0.5
носитель элитарный речевой культура,,0.0,0.0,0.0,3.9,3.0,2.2,0.0
лексика русский народный говор,,0.0,0.5,3.8,3.4,2.8,1.6,0.0
экспрессивный оценочный функция метафора,,0.0,0.0,0.1,3.2,3.3,1.3,0.0
русский говор средний урал,,1.2,2.3,2.4,2.8,2.6,1.8,0.9
концептуальный пространство когнитивный лингвистика,,0.0,0.0,0.0,0.0,2.0,3.9,1.4
множественный число имя существительное,,0.0,0.8,2.0,2.8,2.5,2.0,0.0
синтаксис современный итальянский язык,,0.0,0.0,6.0,4.9,2.3,1.0,0.0
прагматический аспект единица общение,,0.0,0.0,0.0,1.3,3.1,2.0,0.5
диалектологический атлас русский язык,,7.2,2.0,2.6,2.5,2.2,1.9,1.4
этнокультурный специфика речевой деятельность,,0.0,0.0,0.0,0.0,2.9,2.5,0.5
картина мир русский язык,,0.0,0.0,0.0,0.3,3.8,2.4,1.9
грамматика современный русский язык,,0.0,1.1,4.5,3.0,2.5,1.2,0.0
фразеология современный французский язык,,0.0,0.3,2.1,2.4,2.5,1.8,0.0
функциональный тип языковой метафора,,0.0,0.0,1.9,3.4,2.4,1.8,0.5
современный русский разговорный речь,,1.2,0.5,2.7,2.6,2.6,1.4,1.9
лексический состав русский язык,,0.0,0.3,0.8,2.2,2.6,1.9,0.9
видо временный форма глагол,,0.0,0.3,2.4,3.3,2.4,1.6,2.4
прикладной аспект речевой общение,,0.0,0.0,0.0,0.9,2.2,2.8,0.9
морфология современный русский язык,,2.4,0.2,1.4,1.6,2.5,1.8,0.5
теория функционально коммуникативный синтаксис,,0.0,0.0,0.0,0.5,2.6,2.3,0.5
языковой сознание носитель язык,,0.0,0.3,0.1,0.6,2.0,3.0,1.4
сравнительный грамматика германский язык,,1.2,0.2,3.6,2.8,2.3,1.4,0.0
основа прагматический описание предложение,,0.0,0.0,0.2,4.1,2.8,1.1,0.0
система русский литературный язык,,3.6,1.8,2.7,1.7,2.3,1.8,1.4
культурный специфика речевой общение,,0.0,0.0,0.5,2.1,3.0,1.5,0.0
основа образный средство язык,,0.0,0.0,2.8,3.0,2.8,0.7,0.9
диалектологический атлас тюркский язык,,0.0,24.7,7.7,0.2,0.4,0.3,0.0
внутренний форма фразеологический единица,,0.0,0.0,0.5,3.3,2.6,1.3,0.0
сравнительный грамматика славянский язык,,6.0,1.5,4.1,2.8,2.2,0.8,0.0
моделирование языковой картина мир,,0.0,0.0,0.0,0.1,2.1,2.7,1.4
специфика языковой картина мир,,0.0,0.0,0.0,0.8,2.3,2.4,0.0
общий свойство языковой система,,0.0,0.0,1.6,2.8,2.3,1.5,0.0
экспрессивный окраска языковой единица,,0.0,0.0,0.1,2.2,2.7,1.5,0.5
речь современный русский язык,,0.0,0.2,1.3,2.2,2.6,1.3,0.0
перевод научно технический литература,,0.0,0.3,3.6,1.8,2.4,1.0,0.0
эпитет русский литературный язык,,0.0,0.0,2.2,1.7,2.6,1.1,0.9
экспериментально фонетический анализ речь,,0.0,0.0,2.0,3.7,2.7,0.6,0.0
англо русский языковой контакт,,0.0,0.0,1.2,1.7,2.3,1.7,0.0
внутренний форма языковой единица,,0.0,0.2,2.1,2.7,2.6,0.9,0.5
современный носитель русский язык,,0.0,0.0,0.4,0.9,2.3,1.9,2.4
словообразовательный элемент немецкий язык,,0.0,0.0,2.3,2.5,2.4,1.1,0.0
вариант современный английский язык,,0.0,0.0,1.6,0.9,2.4,1.7,0.0
сравнительный фонетика тюркский язык,,0.0,12.1,5.3,1.4,1.1,0.8,1.4
практика преподавание иностранный язык,,0.0,0.0,1.6,1.6,2.5,1.4,0.9
способ выражение временный отношение,,0.0,0.0,2.7,2.4,2.1,1.3,0.0
лексико семантический вариант слово,,0.0,0.0,3.7,1.0,2.3,1.3,0.0
семантический система русский язык,,0.0,0.3,1.8,2.3,2.2,1.3,1.4
функциональный грамматика русский язык,,0.0,0.2,0.5,2.0,2.4,1.5,0.0
практический грамматика английский язык,,0.0,0.0,1.6,1.2,2.0,1.9,0.9
аспект языковой картина мир,,0.0,0.0,0.0,0.3,2.1,2.2,0.0
современный азербайджанский литературный язык,,0.0,13.7,6.8,0.9,0.9,0.6,0.0
современный якутский литературный язык,,0.0,0.7,1.1,1.2,2.3,1.3,2.8
лексический основа русский язык,,0.0,0.0,0.5,3.6,2.6,0.7,0.0
языковой картина мир носитель,,0.0,0.0,0.0,0.4,2.0,2.3,0.5
функциональный стиль русский язык,,0.0,0.3,1.6,1.7,2.3,1.2,0.0
словарный состав английский язык,,0.0,0.5,3.3,1.6,1.8,1.5,0.5
функциональный анализ грамматический категория,,0.0,0.0,3.4,3.2,2.0,0.8,0.0
интонационный система русский язык,,0.0,0.0,1.8,2.7,2.1,1.2,0.0
часть речь русский язык,,0.0,0.3,0.9,0.5,2.2,1.7,0.0
сфера действие лексический единица,,0.0,0.0,0.0,3.1,2.2,1.3,2.4
состав современный русский язык,,0.0,0.5,1.2,1.0,2.2,1.4,0.5
системный анализ значимый единица,,0.0,0.0,0.3,3.7,2.5,0.7,0.0
синтаксический особенность русский речь,,0.0,0.5,3.2,3.6,2.0,0.7,0.0
описание современный германский язык,,0.0,1.5,4.0,2.3,1.9,0.8,0.0
грамматика карачаево балкарский язык,,0.0,1.5,2.0,1.2,2.1,1.2,0.0
формирование русский национальный язык,,0.0,0.7,2.5,3.3,2.0,0.8,0.0
диалогический речь современный английский,,0.0,0.0,2.2,2.7,2.2,0.9,0.0
функциональный семантико стилистический категория,,0.0,0.0,0.9,3.3,2.0,1.2,0.5
функциональный грамматика языковой интерпретация,,0.0,0.0,0.0,0.0,1.8,1.1,0.0
культурный аспект оценочный семантика,,0.0,0.0,0.0,0.9,2.4,1.4,0.0
лексико грамматический класс слово,,0.0,0.3,2.3,2.4,1.9,1.2,0.0
система современный немецкий язык,,0.0,0.5,3.4,2.4,2.0,0.8,0.0
родительный падеж множественный число,,20.3,3.9,2.5,1.9,0.6,2.0,0.9
сравнительный конструкция русский язык,,0.0,0.3,1.4,2.6,1.8,1.3,0.9
исторический лексика дагестанский язык,,0.0,0.7,0.5,1.4,1.9,1.6,0.0
видовой противопоставление русский глагол,,0.0,0.2,0.7,2.9,2.0,1.1,1.9
структура современный английский язык,,0.0,0.0,1.6,2.5,1.7,1.4,0.0
русский устный научный речь,,0.0,0.0,0.1,4.3,2.2,0.7,0.0
коммуникативный стратегия русский речь,,0.0,0.0,0.0,0.0,2.2,1.7,0.9
экспрессивный средство английский язык,,0.0,0.0,2.4,1.5,1.9,1.2,0.0
носитель современный русский язык,,0.0,0.3,0.6,0.7,1.8,1.8,0.5
грамматический категория имя существительное,,0.0,1.6,1.5,2.6,1.8,1.0,0.5
газетный публицистический стиль речь,,0.0,0.0,1.6,1.9,1.9,1.2,0.0
грамматический средство выражение модальность,,0.0,0.8,1.3,3.4,2.1,0.7,0.0
лексико грамматический разряд слово,,0.0,0.7,2.6,3.1,1.7,0.9,0.5
падежный форма имя существительное,,0.0,0.8,1.9,2.1,2.0,0.8,0.0
синтаксический строй татарский язык,,0.0,5.7,2.2,1.5,1.7,0.7,0.0
семантический структура простой предложение,,0.0,0.0,2.6,3.2,1.8,0.7,0.0
синтаксический структура тюркский язык,,0.0,7.7,3.8,1.2,1.4,0.5,0.0
суффиксальный словообразование имя существительное,,0.0,0.0,3.1,1.7,1.8,1.0,0.0
категория число имя существительное,,0.0,1.8,1.2,1.6,2.0,0.9,0.0
грамматический семантика английский язык,,0.0,0.0,0.0,1.1,2.0,1.3,0.0
конструктивный анализ структура предложение,,0.0,0.5,5.0,2.0,1.4,0.8,0.5
эмоционально чувственный компонент значение,,0.0,0.0,0.0,0.0,2.1,1.4,0.9
язык научно технический литература,,4.8,0.5,4.2,1.6,1.6,0.8,0.0
ассоциативный грамматика русский язык,,0.0,0.0,0.0,3.3,1.9,1.0,0.0
словообразовательный единица русский язык,,0.0,0.0,0.0,1.4,1.9,1.4,0.0
речь носитель русский язык,,0.0,0.0,0.1,1.5,1.4,2.0,1.9
лингвостилистика современный английский язык,,0.0,0.0,0.0,0.5,1.9,1.5,0.0
тюремный лагерный блатной жаргон,,0.0,0.0,0.0,2.1,2.2,0.6,0.9
лексико семантический способ словообразование,,0.0,0.0,1.2,1.9,1.8,0.9,0.0
