термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
объективный картина мир,,0.0,0.0,0.0,9.6,16.1,10.5,2.8
когнитивный аспект язык,,0.0,0.0,0.0,21.6,37.4,22.5,5.6
стилистика английский язык,,0.0,1.1,14.0,16.7,19.1,19.1,8.9
пражский лингвистический кружок,,1.2,2.1,19.6,22.0,17.3,9.6,4.7
семантика номинативный единица,,0.0,0.0,0.6,15.4,18.6,9.4,3.3
интерпретация художественный текст,,0.0,0.2,9.2,17.3,21.6,14.0,5.2
языковый картина мир,,0.0,0.0,0.1,4.4,16.8,16.5,0.9
служебный часть речь,,1.2,7.5,8.0,8.8,10.4,9.4,2.4
язык русский поэзия,,0.0,0.5,0.3,8.6,15.3,6.7,6.1
эстетика словесный творчество,,0.0,0.0,3.4,21.3,27.5,19.8,4.7
стилистика художественный речь,,2.4,1.6,13.3,11.6,10.3,4.3,1.4
анализ поэтический текст,,0.0,0.8,2.4,8.6,11.8,6.8,5.6
семантика производный слово,,0.0,0.3,14.4,17.9,19.5,9.9,0.9
структура простой предложение,,2.4,3.6,24.0,24.8,15.1,7.7,3.8
строй русский язык,,10.8,3.9,7.7,15.9,10.2,5.8,3.8
внутренний структура язык,,0.0,3.3,20.2,11.6,9.1,3.5,1.9
структурно семантический организация,,0.0,0.5,11.1,9.5,10.2,6.0,3.3
общий теория грамматика,,0.0,1.3,12.6,13.4,9.4,4.3,0.0
современный лингвистический семантика,,0.0,0.2,0.6,10.8,12.3,6.4,1.9
теория художественный речь,,1.2,0.8,4.6,10.0,10.3,6.3,1.4
трехмерный пространство язык,,0.0,0.0,0.1,10.3,10.3,5.2,1.9
история лингвистический учение,,0.0,0.2,4.4,7.2,11.9,8.8,2.4
семантический группа глагол,,0.0,3.9,16.3,14.7,14.2,6.2,4.2
национальный картина мир,,0.0,0.0,0.8,3.2,16.9,20.2,7.5
семантика фразеологический единица,,0.0,0.8,13.4,10.2,13.1,7.8,1.9
коннотативный аспект семантика,,0.0,0.0,0.7,16.2,19.3,10.4,3.8
аспект русский синтаксис,,0.0,0.0,10.2,18.3,12.7,6.4,1.4
аспект языковой категоризации,,0.0,0.0,0.0,2.6,12.1,7.2,0.9
актуальный членение предложение,,1.2,3.6,31.7,29.2,19.0,9.6,2.4
грамматика немецкий язык,,1.2,1.3,7.8,11.0,15.0,9.2,1.9
современный американский лингвистика,,0.0,0.0,0.4,4.0,10.7,6.5,5.2
грамматический строй язык,,0.0,7.7,30.2,13.8,10.2,5.4,2.4
научный картина мир,,0.0,0.0,0.1,3.4,10.5,9.9,6.6
семантика русский глагол,,0.0,1.1,17.8,22.9,16.9,7.3,6.1
художественный картина мир,,0.0,0.3,0.3,1.3,11.1,21.0,3.3
морфологический структура слово,,0.0,5.7,14.5,8.9,9.3,4.6,0.5
компонент семантический структура,,0.0,0.7,9.7,12.2,9.3,3.5,1.4
грамматика французский язык,,0.0,0.8,13.3,11.9,12.3,6.8,0.9
лексикология английский язык,,0.0,1.3,20.5,15.8,18.3,15.9,1.9
немецкий разговорный речь,,0.0,0.0,13.4,14.4,11.5,4.6,2.8
теория речевой воздействие,,0.0,0.2,6.3,9.0,9.3,6.6,6.6
газетный публицистический стиль,,1.2,0.5,8.1,13.1,13.1,6.1,2.4
фразеологический картина мир,,0.0,0.0,0.0,1.4,6.9,11.6,128.8
авторский картина мир,,0.0,0.0,0.0,1.5,6.6,12.8,4.2
грамматика английский язык,,0.0,0.7,25.2,18.5,21.7,19.8,5.2
современный китайский язык,,0.0,0.3,2.8,9.4,6.6,10.0,30.6
лексика дагестанский язык,,0.0,0.7,1.0,4.5,12.0,11.3,0.0
синтаксис английский язык,,0.0,1.6,20.4,12.2,9.6,6.1,0.9
кабардино черкесский язык,,0.0,0.5,3.3,18.9,17.7,13.7,10.3
иберийский кавказский язык,,3.6,4.9,14.7,39.2,26.3,16.5,0.0
филологический анализ текст,,0.0,0.2,0.0,0.9,10.1,14.1,4.7
немецкий литературный язык,,3.6,0.7,11.7,7.2,7.9,6.9,1.9
теория межкультурный коммуникация,,0.0,0.0,0.0,0.1,7.1,10.7,2.8
язык славянский культура,,0.0,0.0,0.0,0.1,75.5,167.5,114.3
частота основной тон,,0.0,13.1,6.2,8.3,4.4,9.3,1.4
диалект даргинский язык,,0.0,0.0,1.8,2.2,7.2,9.6,0.0
лингвистический исследование текст,,0.0,0.0,0.4,0.9,7.9,12.5,0.9
смысловой структура текст,,0.0,0.0,5.5,8.3,9.8,4.0,0.5
содержательный структура слово,,0.0,0.5,9.0,8.5,9.3,3.6,0.0
принцип функциональный грамматика,,0.0,0.0,6.6,9.8,8.8,4.5,0.5
лингвистический теория текст,,0.0,0.2,6.7,7.6,8.8,5.2,1.4
норма литературный язык,,40.7,15.0,12.4,8.5,6.0,3.8,2.4
причастие прошедший время,,7.2,11.1,8.1,5.8,5.9,8.7,12.2
когнитивный исследование язык,,0.0,0.0,0.0,0.1,0.3,18.5,13.6
слово категория состояние,,6.0,1.0,3.7,11.0,9.5,3.5,0.5
тактика русский речь,,0.0,0.0,0.0,0.6,7.0,9.8,2.8
современный башкирский язык,,0.0,14.1,5.0,4.7,7.1,6.4,8.0
личный форма глагол,,8.4,15.4,14.6,14.1,11.9,12.6,6.6
временный форма глагол,,1.2,3.9,10.3,7.8,7.1,5.8,2.4
тип словесный знак,,0.0,1.5,11.3,10.0,8.2,3.6,0.0
лексический значение глагол,,0.0,3.8,9.4,12.7,7.0,5.7,5.6
история немецкий язык,,3.6,1.3,6.2,6.6,7.0,6.7,0.5
форма будущий время,,4.8,7.2,9.3,4.7,5.5,7.1,8.5
лингвистика языковой существование,,0.0,0.0,0.0,3.9,8.4,6.7,2.4
русский национальный язык,,9.6,5.6,9.6,9.0,8.2,4.5,3.8
анализ язык модель,,0.0,0.0,0.0,5.7,4.0,1.8,1.9
функционально стилистический аспект,,0.0,0.3,2.0,9.1,8.4,5.3,0.0
научно технический термин,,21.5,10.1,53.8,43.6,48.6,33.1,5.2
синтаксический организация предложение,,0.0,0.3,10.9,11.2,7.5,3.6,0.9
носитель английский язык,,0.0,0.0,0.8,4.1,7.1,7.7,5.2
вариантность фразеологический единица,,0.0,1.5,12.5,8.4,7.3,3.9,0.0
развитие литературный язык,,7.2,21.2,14.6,7.6,5.3,3.4,2.4
философский анализ язык,,0.0,0.0,0.5,4.7,8.9,5.6,0.9
русский политический метафора,,0.0,0.0,0.0,4.7,8.3,6.1,1.4
форма повелительный наклонение,,6.0,13.7,8.8,4.6,5.8,5.7,2.8
современный азербайджанский язык,,0.0,35.5,24.4,6.0,3.9,2.0,0.0
современный индоевропейский язык,,3.6,0.7,14.6,12.2,6.5,3.3,0.0
морфология русский язык,,2.4,1.8,4.4,6.2,7.3,5.6,1.4
анализ структура значение,,0.0,0.2,7.6,7.6,8.3,3.5,1.4
система английский язык,,0.0,0.7,7.0,8.8,7.1,5.7,1.9
фразеологический состав язык,,0.0,0.3,4.1,3.5,7.8,5.6,4.2
лексика английский язык,,0.0,0.3,3.1,6.9,7.2,5.5,1.9
грамматический категория глагол,,2.4,2.0,5.5,7.8,7.3,5.3,2.8
живой разговорный речь,,16.8,17.3,11.3,6.6,5.9,3.2,5.6
функционально семантический анализ,,0.0,0.5,3.2,8.7,7.0,5.8,0.5
современный монгольский язык,,0.0,5.6,3.3,5.7,8.4,4.0,0.0
синтаксический средство выражение,,0.0,1.0,6.0,9.1,7.3,4.5,0.0
современный испанский язык,,0.0,0.0,12.5,5.3,5.9,5.8,0.5
оптимизация речевой воздействие,,0.0,0.0,0.0,3.7,8.1,5.8,1.9
семиологического описание лексика,,0.0,0.0,0.1,5.5,9.1,4.2,0.9
форма родительный падеж,,40.7,16.3,13.7,4.6,3.6,5.8,1.4
общий теория имя,,0.0,0.7,3.5,4.4,7.1,5.9,3.8
структура лексический значение,,0.0,0.2,2.7,10.0,7.9,4.0,0.5
современный татарский язык,,0.0,14.2,8.0,4.7,7.4,3.6,0.5
диалект татарский язык,,0.0,13.9,11.5,4.1,4.8,5.5,3.3
памятник древнетюркский письменность,,0.0,46.6,16.0,1.7,3.7,2.5,1.9
основа общий языкознание,,0.0,0.5,8.5,7.2,7.5,3.6,0.0
научно технический текст,,0.0,4.6,11.8,6.6,6.7,3.5,1.9
классификация иллокутивный акт,,0.0,0.0,0.1,5.9,8.0,5.0,2.4
городской устный речь,,0.0,0.0,0.0,11.4,7.9,3.8,2.4
словообразование русский язык,,0.0,0.5,7.1,9.1,7.5,2.7,0.0
морфология английский язык,,1.2,0.8,8.8,6.4,6.7,4.5,0.0
стилистика французский язык,,0.0,0.3,5.7,9.1,7.7,3.5,2.4
когнитивный теория метафора,,0.0,0.0,0.0,3.3,5.7,8.2,1.9
теория морфологический категория,,0.0,0.0,7.0,8.3,7.1,3.8,0.5
аспект языковой явление,,3.6,0.7,8.4,8.1,6.3,4.2,2.4
психолингвистический исследование слово,,0.0,0.0,0.0,1.8,6.1,3.0,1.9
современный германский язык,,0.0,2.1,10.8,6.2,6.9,3.5,0.0
стилистика немецкий язык,,0.0,0.0,4.8,5.2,7.1,4.8,3.3
лексико семантический уровень,,0.0,0.8,8.9,5.6,6.8,4.0,1.9
лексико грамматический класс,,0.0,1.3,6.5,11.0,7.9,4.6,0.9
семантический структура глагол,,0.0,1.6,10.2,9.6,8.0,4.0,0.9
глагол совершенный вид,,4.8,5.6,5.1,6.6,4.3,6.9,5.2
прибалтийский финский язык,,0.0,1.5,3.0,13.5,4.5,9.2,11.8
передача чужой речь,,0.0,1.5,3.9,3.4,6.3,5.8,6.6
национальный языковой картина,,0.0,0.0,0.0,0.6,6.4,7.4,6.6
русский славянский языкознание,,0.0,0.7,6.8,6.6,7.7,3.0,0.0
семантический пространство язык,,0.0,0.0,0.4,1.5,7.9,5.7,0.9
семантический структура высказывание,,0.0,0.3,6.9,9.8,6.9,3.1,0.0
структурно семантический модель,,0.0,2.1,13.2,7.2,5.4,4.2,0.5
лексика разговорный употребление,,0.0,0.0,0.3,7.3,8.2,3.4,0.5
тип языковой личность,,0.0,0.0,0.0,1.5,5.9,8.1,1.4
лексика тюркский язык,,1.2,18.8,10.2,5.3,5.4,3.0,2.4
современный казахский язык,,0.0,20.4,16.2,5.3,5.1,2.2,0.0
форма единственный число,,23.9,12.9,7.2,6.9,5.4,3.6,2.4
анализ предметный имя,,0.0,0.0,0.0,0.0,7.2,6.1,3.3
таджикский литературный язык,,0.0,0.3,2.5,7.9,1.6,10.9,4.2
строй тюркский язык,,3.6,35.6,15.0,4.4,3.8,2.0,0.0
башкирский литературный язык,,0.0,6.4,7.3,4.8,5.7,4.3,10.3
синтаксический структура предложение,,0.0,3.6,10.8,6.8,5.7,3.6,2.8
вариант испанский язык,,0.0,0.2,3.2,0.3,4.2,9.1,5.2
аварский литературный язык,,0.0,0.0,0.8,11.2,5.5,5.7,0.0
современный лингвистический исследование,,0.0,0.2,2.7,3.0,5.9,6.4,2.8
язык логический анализ,,0.0,0.0,0.0,4.5,7.5,3.5,0.9
национальный литературный язык,,8.4,16.5,12.3,7.2,5.1,3.1,2.8
неличный форма глагол,,0.0,4.6,8.1,4.7,4.4,6.2,2.4
инвариантный синтаксический значение,,0.0,1.8,16.8,10.5,5.3,2.1,0.5
часть сложный предложение,,6.0,15.7,10.0,7.4,4.7,2.7,1.9
лексико тематический группа,,0.0,0.0,3.4,4.4,6.6,4.9,2.8
языковой личность автор,,0.0,0.0,0.0,3.2,6.0,8.4,1.9
коммуникативный единица язык,,0.0,0.5,3.9,12.4,7.3,2.0,0.9
научно технический перевод,,0.0,0.0,5.7,3.4,7.4,3.8,1.9
диалект аварский язык,,0.0,0.0,2.4,7.7,5.9,5.3,0.0
коми пермяцкий язык,,0.0,0.5,0.4,12.4,4.8,6.4,1.9
анализ семантический структура,,0.0,0.8,10.3,5.0,6.2,3.4,2.8
тип фразеологический единица,,0.0,3.3,4.9,5.0,6.1,4.8,1.4
типологический анализ язык,,0.0,0.5,5.6,9.2,6.4,3.4,3.8
семантика художественный текст,,0.0,0.0,0.3,2.2,8.2,3.8,0.9
общеславянский лингвистический атлас,,7.2,2.0,11.3,6.6,6.2,2.5,6.1
памятник деловой письменность,,1.2,2.5,5.5,5.3,6.0,4.5,0.9
порождение речевой высказывание,,0.0,0.0,2.8,6.9,7.1,3.6,1.4
структура сложный предложение,,0.0,2.5,5.4,8.1,6.6,3.0,0.9
социальный дифференциация язык,,0.0,0.8,4.9,6.0,6.7,3.7,2.4
поэтический картина мир,,0.0,0.0,0.1,1.7,6.4,8.1,0.5
эмоционально оценочный лексика,,0.0,0.0,4.2,4.1,7.5,3.3,1.9
компонент значение слово,,2.4,0.2,4.1,5.9,6.9,3.6,1.9
диалект хантыйский язык,,0.0,0.0,0.2,0.3,4.8,8.0,15.5
существительное мужской род,,59.8,7.2,7.0,4.8,4.8,3.9,4.7
лексико фразеологический поле,,0.0,0.0,1.4,0.4,5.1,7.6,2.8
устойчивый словесный комплекс,,0.0,0.3,15.6,7.4,5.0,3.1,0.9
язык народ сибирь,,0.0,4.1,6.9,4.4,5.2,4.9,1.9
иберийский кавказский языкознание,,0.0,0.8,3.8,5.4,6.8,3.8,0.0
история тюркский язык,,1.2,37.3,19.6,2.8,3.1,1.9,0.5
форма существование язык,,1.2,0.2,2.3,6.2,5.3,6.2,3.8
метод контекстуальный анализ,,0.0,0.0,1.0,2.0,5.0,7.3,6.6
морфология тюркский язык,,0.0,6.4,11.6,5.0,5.7,3.1,0.5
семантический поле глагол,,0.0,0.8,6.1,5.8,6.4,3.6,7.1
символ лингвокультурные концепт,,0.0,0.0,0.0,0.0,6.0,6.8,3.3
референциальный аспект семантика,,0.0,0.0,0.6,6.6,6.4,4.5,0.9
свойство языковой система,,0.0,0.0,6.5,9.0,5.6,3.8,0.9
принцип типологический анализ,,0.0,0.5,5.1,8.5,6.2,3.3,3.3
число имя существительное,,0.0,2.8,5.0,7.3,5.8,3.6,0.0
русский исторический лексикология,,0.0,1.5,6.5,7.6,5.8,3.5,2.4
семантический форма мышление,,0.0,0.0,0.6,11.0,8.5,0.6,0.0
выражение модальный значение,,0.0,1.5,3.1,4.6,5.7,4.9,0.0
структура семантический поле,,0.0,0.3,2.9,3.4,7.5,3.2,2.4
глагол несовершенный вид,,12.0,4.9,5.1,4.8,4.0,5.9,3.3
значение лексический единица,,0.0,0.3,4.5,3.3,6.0,4.6,4.2
финно угорский языкознание,,0.0,1.1,2.8,6.1,5.8,4.4,1.9
художественный прозаический текст,,0.0,0.0,3.9,7.3,6.1,3.7,0.9
аспект семантика местоимение,,0.0,0.0,0.2,6.1,6.4,4.3,1.4
современный узбекский язык,,0.0,32.8,21.5,4.7,2.7,1.0,0.0
значимый единица язык,,2.4,1.1,10.1,6.7,6.1,2.6,0.9
научный стиль речь,,0.0,0.0,13.4,6.7,5.5,2.2,5.2
индивидуально авторский картина,,0.0,0.0,0.0,0.0,3.7,9.0,3.8
английский языковой картина,,0.0,0.0,0.0,0.1,4.1,8.1,10.3
причастие настоящий время,,4.8,4.1,4.0,2.2,4.6,6.9,8.5
время русский глагол,,0.0,0.2,5.2,9.1,5.9,3.0,1.4
метод лингвистический анализ,,0.0,1.0,4.9,4.3,5.0,5.0,3.3
современный разговорный речь,,9.6,3.4,5.1,6.3,5.7,3.3,1.9
тип речевой культура,,0.0,0.0,0.0,1.7,7.2,4.1,0.9
однородный член предложение,,9.6,6.7,11.8,5.9,4.9,2.7,0.0
функционально смысловой тип,,0.0,0.2,6.1,7.8,6.3,2.8,0.0
современный языковой ситуация,,0.0,0.0,0.5,5.9,5.0,5.3,13.2
национальный русский двуязычие,,0.0,1.1,11.6,4.8,5.6,2.7,0.5
функционально семантический аспект,,0.0,0.2,1.7,5.5,6.2,4.1,1.4
выражение временный отношение,,0.0,0.7,7.3,6.0,5.4,3.6,0.0
национальный культурный аспект,,0.0,0.0,0.5,3.3,6.7,4.1,0.5
говор азербайджанский язык,,0.0,45.3,19.0,1.4,2.5,0.6,0.0
история литературный язык,,8.4,9.6,24.5,6.0,2.8,2.0,0.9
русский литературный произношение,,31.1,9.8,7.7,5.0,5.2,2.3,2.8
смысловой структура слово,,0.0,6.4,12.0,6.3,5.7,1.8,0.0
русский терминология опыт,,0.0,0.0,1.6,1.9,2.8,2.5,0.5
турецкий литературный язык,,0.0,35.0,13.0,2.8,3.1,1.7,0.9
русский говор сибирь,,1.2,0.8,4.3,3.8,5.8,4.0,0.9
грамматика башкирский язык,,1.2,17.0,8.0,2.8,4.3,3.3,0.5
коммуникативный прагматический подход,,0.0,0.0,0.5,1.7,4.7,6.7,2.4
древнерусский литературный язык,,16.8,6.4,3.1,12.0,4.6,2.9,0.0
смысл художественный текст,,0.0,0.0,0.4,6.7,6.2,3.7,0.5
народный разговорный речь,,12.0,7.2,7.8,3.1,6.4,1.9,1.4
общественно политический терминология,,1.2,2.3,9.3,4.2,4.7,3.7,4.7
модель речевой жанр,,0.0,0.0,0.1,0.9,5.3,6.1,1.9
литературно художественный текст,,0.0,0.2,4.5,5.3,6.2,2.9,2.4
временный локализованность таксис,,0.0,0.0,0.0,0.3,0.0,0.0,0.0
структура фразеологический единица,,0.0,1.0,7.0,4.8,5.1,3.9,0.9
лексико семантический особенность,,0.0,2.5,4.3,3.5,4.3,5.4,2.4
английский диалогический речь,,0.0,0.0,5.5,8.0,5.4,3.2,0.0
когнитивный прагматический аспект,,0.0,0.0,0.0,1.6,5.5,5.5,9.4
значение многозначный слово,,1.2,2.6,5.7,3.5,5.1,4.0,0.9
общий теория лексикография,,1.2,1.3,3.8,4.5,5.8,3.5,2.4
национальный культурный семантика,,0.0,0.0,1.0,6.6,5.4,4.3,2.4
значение фразеологический единица,,0.0,1.1,3.6,6.6,4.9,4.2,0.9
