термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
татарский язык,,3.6,242.6,148.0,87.1,159.2,118.9,38.6
логический анализ,,15.6,24.0,75.1,173.2,290.8,195.5,70.1
грамматический категория,,27.5,74.7,150.5,163.8,134.6,89.0,39.0
сложный предложение,,29.9,141.3,167.8,184.7,146.1,57.3,27.7
русский грамматика,,40.7,27.3,115.3,163.9,138.4,90.9,39.5
простой предложение,,21.5,66.0,161.8,175.0,125.1,73.8,21.6
политический дискурс,,0.0,0.0,0.5,17.0,106.5,175.8,135.4
общий языкознание,,7.2,27.1,115.9,103.2,126.2,92.2,41.8
языковой система,,28.7,22.7,77.2,124.5,125.1,91.9,51.7
речевой жанр,,1.2,0.2,7.0,46.3,123.3,127.5,32.9
носитель язык,,25.1,11.8,36.6,90.2,120.0,112.5,104.4
семантический группа,,3.6,24.0,132.2,118.9,124.4,74.3,50.8
язык славянский,,6.0,2.8,1.8,7.2,83.0,172.0,115.7
славянский язык,,313.6,220.7,254.0,275.4,192.7,151.9,121.3
речевой поведение,,18.0,2.1,13.4,79.4,123.8,99.9,48.4
речевой общение,,12.0,5.9,24.4,93.8,112.1,88.1,34.3
семантический анализ,,2.4,10.5,100.2,101.8,108.1,76.7,39.0
лингвистический анализ,,10.8,16.2,66.9,109.1,125.7,94.2,62.1
структура слово,,10.8,45.4,170.4,129.7,117.4,53.5,22.1
,,6763930.3,6645739.2,7027610.3,7328261.7,7400801.7,7305486.6,7327127.4
лингвистический термин,,10.8,15.5,67.4,90.9,116.4,101.3,54.5
прагматический аспект,,0.0,0.2,21.2,83.6,111.4,76.6,47.5
функциональный грамматика,,0.0,0.2,18.5,111.6,104.7,67.8,9.9
ключевой слово,,0.0,11.4,13.2,23.3,76.0,115.0,125.5
русский глагол,,13.2,14.1,81.8,141.4,114.8,62.6,69.6
теория язык,,4.8,8.3,56.7,79.6,120.2,108.5,42.3
русский литература,,83.8,82.2,77.5,108.1,101.5,76.1,41.8
русский фразеология,,6.0,9.3,52.5,72.5,98.0,68.4,16.9
член предложение,,53.9,130.1,148.3,128.3,81.2,39.4,12.2
сложный слово,,62.2,164.2,122.3,64.0,99.3,62.3,35.3
лексический семантика,,0.0,5.6,49.8,87.1,97.5,59.1,44.7
множественный число,,252.5,180.5,111.4,72.6,60.2,69.8,73.8
единица язык,,10.8,19.0,68.6,107.9,98.6,62.5,37.6
речевой воздействие,,0.0,0.8,11.4,50.4,86.1,88.4,40.0
сложноподчиненный предложение,,13.2,108.3,122.6,87.3,92.0,35.3,22.6
структура предложение,,10.8,28.4,158.5,130.1,80.3,41.0,15.5
германский язык,,12.0,14.2,137.9,115.9,100.4,65.6,16.0
когнитивный аспект,,0.0,0.0,0.1,49.9,95.2,76.1,26.3
родной язык,,93.3,94.4,96.5,92.0,77.6,74.8,125.5
порядок слово,,46.7,57.8,89.5,81.2,68.3,58.3,34.8
дагестанский язык,,0.0,13.6,17.9,74.4,84.8,77.3,13.2
история язык,,59.8,83.3,122.9,104.3,102.9,74.3,41.8
форма глагол,,45.5,95.7,91.6,76.8,61.5,65.9,40.4
функциональный стиль,,14.4,10.9,107.7,80.8,77.3,42.7,16.9
словарный состав,,61.0,75.2,107.1,67.9,71.6,43.8,21.6
аварский язык,,0.0,1.1,23.2,106.2,69.8,65.9,0.9
синтаксический конструкция,,32.3,44.4,82.4,87.0,69.6,45.8,39.0
языковой игра,,0.0,0.0,0.6,21.3,77.7,74.1,26.3
устный речь,,132.8,60.3,60.0,83.1,63.8,51.9,68.2
лексический система,,4.8,20.6,49.0,68.2,75.6,49.9,28.7
теория перевод,,1.2,3.6,25.8,31.1,76.7,62.9,103.4
башкирский язык,,1.2,131.5,88.7,37.4,57.6,70.3,71.5
семантика слово,,14.4,14.5,52.4,86.5,82.3,44.7,23.5
структура язык,,13.2,22.1,89.6,93.5,86.6,51.6,16.9
древнерусский язык,,167.6,81.2,81.8,89.2,59.2,42.9,44.2
семантический категория,,2.4,2.6,51.4,76.4,68.7,49.8,42.3
прошедший время,,41.9,93.1,70.0,52.4,41.7,78.8,126.0
синтаксический структура,,12.0,39.0,86.9,69.9,64.1,43.4,38.1
китайский язык,,1.2,4.7,15.6,54.0,54.7,86.9,185.3
производный слово,,27.5,30.4,80.1,74.8,74.4,37.2,7.5
языковой значение,,1.2,3.1,32.3,73.1,75.4,42.7,14.1
русский говор,,52.7,50.8,66.6,72.3,72.4,59.8,51.7
испанский язык,,1.2,2.5,71.0,34.5,48.5,75.8,60.7
художественный речь,,85.0,24.2,68.9,71.6,67.8,35.5,10.3
тип языковой,,1.2,0.7,23.4,61.0,71.2,47.3,17.4
средство язык,,25.1,20.4,48.9,74.4,78.7,52.3,32.9
языковый единица,,2.4,3.9,31.2,53.7,65.6,49.2,26.3
грамматический значение,,22.7,44.1,85.9,75.2,55.2,39.0,27.7
национальный язык,,56.2,66.5,99.7,65.7,80.2,70.2,64.4
языковой явление,,32.3,32.2,51.2,60.6,59.7,44.5,32.4
описание язык,,2.4,6.5,30.0,64.3,89.4,61.8,39.5
теория метафора,,0.0,0.2,0.5,41.2,64.2,56.6,14.6
монгольский язык,,15.6,82.8,54.5,47.2,59.0,51.3,35.3
лингвистический теория,,3.6,5.6,25.3,60.5,68.1,48.5,30.6
развитие язык,,50.3,55.2,88.2,70.8,68.5,51.1,52.2
лезгинский язык,,0.0,2.5,4.2,51.5,57.9,58.8,2.8
исторический грамматика,,38.3,39.2,71.4,62.3,53.9,40.0,19.7
даргинский язык,,0.0,0.5,7.0,20.4,53.6,70.6,0.9
русский синтаксис,,21.5,9.8,50.0,81.0,60.7,34.5,10.3
грамматический форма,,64.6,88.2,70.5,61.5,49.5,37.7,18.8
коммуникативный аспект,,0.0,0.5,20.2,71.3,65.4,35.9,13.2
лингвистический семантика,,1.2,0.8,19.6,46.7,66.3,44.8,11.3
лингвистический аспект,,3.6,4.2,31.2,86.2,121.4,100.7,51.7
семантический система,,3.6,11.3,63.0,61.3,58.4,34.0,21.2
жанр речь,,1.2,0.0,1.0,12.3,60.8,54.7,15.5
естественный язык,,1.2,10.6,21.4,53.3,57.0,45.7,29.6
речевой коммуникация,,2.4,1.3,7.4,32.8,59.4,50.0,23.0
объект лингвистический,,0.0,1.3,21.4,43.6,53.1,48.8,24.9
азербайджанский язык,,0.0,327.7,214.4,32.4,26.9,13.9,16.5
индоевропейский язык,,55.1,40.2,66.4,60.6,57.4,45.1,17.4
семантический тип,,3.6,8.8,60.2,91.8,64.6,41.4,19.3
русский словообразование,,13.2,7.0,67.4,61.6,60.0,26.2,3.3
иностранный слово,,113.7,40.5,31.7,53.2,50.1,41.1,16.0
таджикский язык,,2.4,9.5,20.3,17.1,22.9,98.0,87.0
смысловой структура,,8.4,19.4,62.7,54.4,59.6,25.5,6.1
уровень язык,,9.6,13.9,70.7,86.2,81.6,56.7,28.7
турецкий язык,,3.6,285.8,100.8,24.8,35.1,25.4,40.9
прикладной лингвистика,,2.4,8.2,30.9,40.8,51.5,46.3,22.1
речевой этикет,,0.0,6.2,20.6,51.8,63.1,31.9,7.5
грамматический строй,,26.3,54.2,90.1,60.6,46.8,26.7,9.4
модальный значение,,3.6,25.7,48.6,39.4,49.9,40.5,19.3
сплошной выборка,,0.0,1.6,25.3,28.1,48.2,51.1,33.4
структурный лингвистика,,4.8,7.2,58.0,68.0,55.2,27.1,8.0
семантический признак,,2.4,12.7,65.2,64.9,48.5,33.4,18.8
семантический аспект,,0.0,3.9,37.7,61.7,56.6,34.3,13.6
глагол движение,,9.6,19.0,45.5,51.3,46.3,39.0,47.5
языковой ситуация,,7.2,4.4,16.7,29.5,50.0,52.1,127.9
придаточный предложение,,22.7,129.4,94.5,54.6,37.1,27.1,9.4
теория коммуникация,,0.0,0.3,11.9,33.9,49.4,48.4,17.4
технический терминология,,27.5,12.1,54.6,44.2,49.9,35.2,7.5
прямой речь,,57.4,58.3,60.7,34.5,44.0,35.3,36.2
языковой номинация,,0.0,1.8,60.0,53.7,52.6,27.1,1.9
группа слово,,46.7,46.9,78.8,58.6,45.6,29.6,16.5
именной группа,,1.2,0.3,16.7,26.0,28.9,69.4,65.4
коммуникативный стратегия,,0.0,0.0,0.2,6.6,44.0,60.6,23.5
чувашский язык,,4.8,163.4,95.3,32.5,36.4,30.1,14.6
диалогический речь,,12.0,9.0,48.7,58.4,49.3,24.8,82.3
синтаксический единица,,4.8,20.9,56.3,61.2,48.7,22.7,6.6
концептуальный анализ,,0.0,0.0,0.0,21.3,52.8,41.3,22.1
якутский язык,,0.0,106.4,57.1,30.4,35.3,34.9,105.3
имя прилагательное,,9.6,32.3,53.1,51.1,45.7,26.7,16.9
семантический характеристика,,0.0,9.8,45.5,50.5,45.5,31.1,16.5
аспект языковой,,4.8,1.6,15.6,37.1,50.8,33.3,14.1
ассоциативный эксперимент,,6.0,0.0,1.8,9.8,41.2,53.9,25.9
значение глагол,,43.1,39.7,59.0,60.5,47.5,34.2,65.8
форма слово,,44.3,52.8,51.4,54.0,45.1,34.3,21.6
язык грамматический,,6.0,6.5,23.2,30.9,29.1,18.4,3.3
аспект язык,,4.8,3.9,26.1,75.7,101.5,71.1,30.1
лексический средство,,3.6,8.3,29.5,35.8,46.0,31.2,31.0
узбекский язык,,4.8,266.6,196.6,30.4,19.7,14.1,5.2
коммуникативный поведение,,0.0,0.0,0.9,5.0,42.8,50.5,13.2
коммуникативный ситуация,,0.0,0.5,4.9,25.2,42.3,43.3,37.6
когнитивный семантика,,0.0,0.0,0.0,12.2,49.8,38.7,18.8
функциональный аспект,,0.0,1.0,15.6,39.3,47.4,33.4,8.9
иноязычный слово,,22.7,16.3,20.6,38.4,46.7,30.8,17.4
алтайский язык,,0.0,135.9,60.5,30.1,41.1,30.9,24.4
поэтический язык,,49.1,16.3,16.0,41.3,48.0,27.9,30.6
великорусский язык,,28.7,24.0,23.6,33.3,42.7,32.9,13.6
семантический отношение,,2.4,10.3,64.2,44.5,41.7,23.6,21.6
письменный речь,,87.4,30.2,38.3,38.7,35.5,32.7,33.9
единственный число,,143.6,101.3,51.2,27.2,24.2,37.4,40.4
географический название,,64.6,80.5,48.6,51.1,30.6,25.0,89.3
кумыкский язык,,1.2,27.0,23.5,31.7,48.3,27.6,2.4
функция язык,,9.6,5.9,36.1,53.6,48.4,33.5,32.4
модальный слово,,3.6,60.9,48.4,66.5,38.1,19.6,22.6
казахский язык,,4.8,190.3,135.8,27.9,22.7,15.8,25.4
лексика современный,,10.8,11.8,45.5,40.8,42.6,23.5,10.3
теоретический грамматика,,0.0,1.6,42.1,34.1,38.5,31.8,7.1
служебный слово,,7.2,39.0,39.0,34.2,39.8,26.2,19.3
лексический состав,,13.2,33.3,39.6,34.5,38.9,28.6,25.9
кавказский язык,,6.0,10.9,27.3,81.6,54.0,42.0,2.4
анализ лексика,,1.2,5.6,41.0,37.8,40.6,24.2,15.5
падежный форма,,19.1,53.3,51.0,39.9,33.3,27.8,14.6
коммуникативный функция,,9.6,5.9,33.7,46.8,38.3,25.6,14.6
номинативный единица,,0.0,1.8,18.5,40.2,43.0,24.3,11.8
лингвистический описание,,1.2,2.0,32.1,45.0,40.7,29.0,16.9
компонент значение,,2.4,1.0,23.5,43.9,38.1,29.1,17.9
употребление слово,,190.3,83.8,63.5,43.7,29.1,22.4,29.2
синтаксический функция,,7.2,34.1,65.8,46.4,33.3,20.3,7.5
когнитивный подход,,0.0,0.0,0.0,24.7,40.5,36.2,28.7
лексикографический описание,,2.4,0.8,13.3,31.4,36.8,32.3,42.8
аспект семантика,,0.0,0.3,9.3,42.4,42.6,23.8,7.1
теория дискурс,,0.0,0.0,0.8,5.2,26.5,55.5,26.8
русский словесность,,7.2,2.8,3.4,15.5,41.1,34.7,9.4
поэтический речь,,87.4,36.8,30.6,43.2,37.5,19.5,8.9
личный местоимение,,16.8,39.7,28.8,36.1,32.6,31.0,16.9
языковой контакт,,1.2,17.2,31.9,28.5,36.6,38.1,39.5
детский речь,,2.4,4.7,3.9,52.1,36.9,29.7,16.0
категория время,,0.0,17.2,29.3,31.7,35.1,28.0,8.9
лингвистический прагматика,,0.0,0.0,3.8,35.6,40.8,28.4,9.4
функционирование язык,,10.8,4.9,30.8,58.4,63.5,41.7,32.0
родительный падеж,,181.9,85.3,70.0,33.9,20.9,25.7,18.8
категория модальность,,0.0,7.4,23.3,41.1,36.3,25.9,10.3
семантический компонент,,1.2,1.3,37.2,40.7,35.3,26.9,26.3
романский язык,,10.8,3.6,59.6,39.9,34.9,37.1,72.9
знаковый система,,2.4,2.1,13.3,37.3,36.3,28.5,16.0
временный форма,,16.8,30.7,58.9,34.7,32.4,25.3,45.6
вспомогательный глагол,,13.2,39.7,39.0,28.5,21.3,36.1,67.2
способ словообразование,,8.4,16.2,30.0,32.4,34.8,24.6,9.4
научный речь,,6.0,1.6,55.7,50.4,35.2,16.5,11.3
синтаксический связь,,7.2,32.5,56.0,43.0,32.2,17.5,11.3
грамматический учение,,10.8,6.5,29.6,40.0,37.1,21.5,2.4
языковый знак,,0.0,4.4,27.6,37.0,36.1,25.2,18.3
класс слово,,2.4,9.8,35.9,45.5,35.8,21.7,15.5
функциональный семантика,,0.0,0.3,3.1,33.3,38.7,25.8,6.1
языковой знак,,1.2,8.3,17.7,27.3,34.1,29.7,16.9
деловой письменность,,18.0,16.0,27.3,26.1,35.7,23.8,7.5
бурятский язык,,1.2,2.9,8.6,49.0,34.9,28.1,37.6
когнитивный модель,,0.0,0.0,0.0,22.5,35.2,32.5,15.5
речевой действие,,3.6,0.3,8.7,28.2,38.4,27.0,10.3
лексикографический источник,,1.2,2.1,14.1,15.7,33.8,42.1,19.3
философия язык,,3.6,1.0,3.8,24.9,39.8,27.4,8.9
русский лексика,,19.1,10.8,31.0,48.5,35.4,21.6,10.3
история языкознание,,3.6,8.3,18.9,31.7,33.7,24.9,11.3
языковой уровень,,3.6,3.6,21.2,33.3,34.3,27.1,13.6
состав язык,,13.2,19.9,35.9,28.8,34.9,23.6,16.9
анализ дискурс,,0.0,0.0,0.3,8.9,32.8,42.5,23.0
русский пословица,,18.0,10.8,10.8,18.7,31.3,31.1,41.8
будущий время,,27.5,57.8,44.2,19.9,20.7,31.5,28.7
арабский язык,,7.2,25.8,57.6,15.4,34.1,22.7,7.1
научный стиль,,14.4,10.8,49.2,36.7,32.7,17.8,13.2
семантический связь,,8.4,9.1,47.9,35.4,33.5,16.7,9.4
когнитивный термин,,0.0,0.0,0.0,10.3,37.4,38.1,13.6
семантический класс,,1.2,9.5,54.2,66.2,58.7,39.3,61.1
ассоциативный поле,,0.0,0.0,0.6,9.7,28.6,39.6,5.2
структурный тип,,3.6,16.2,57.7,43.1,37.4,24.7,11.3
балкарский язык,,0.0,52.6,28.8,16.3,33.3,21.5,3.8
типология язык,,0.0,3.8,40.4,36.3,43.5,27.5,9.4
диалектный лексика,,15.6,22.2,26.7,29.3,33.3,19.9,4.7
стилистический прием,,26.3,16.5,38.6,26.5,28.2,25.0,15.0
речевой ситуация,,15.6,10.9,18.9,25.4,35.4,19.9,5.2
языковой норма,,52.7,13.1,24.6,25.5,29.5,27.2,19.7
группа глагол,,3.6,21.2,43.8,36.3,32.9,21.6,25.4
тип дискурс,,0.0,0.2,0.1,4.7,24.1,47.4,30.1
стилистический особенность,,7.2,13.2,34.2,29.5,34.8,31.4,15.0
русский языкознание,,16.8,16.7,43.9,32.9,29.2,18.2,4.7
отдельный слово,,76.6,66.5,46.7,36.6,26.6,20.5,24.0
исторический лексикология,,2.4,21.1,36.0,40.1,28.6,17.9,9.4
марийский язык,,0.0,11.6,15.6,26.0,30.1,37.4,26.3
лингвистический литература,,8.4,10.1,39.7,40.5,28.6,18.8,12.7
структура концепт,,0.0,0.0,0.4,3.8,36.0,34.2,16.9
семантический пространство,,0.0,0.0,4.4,19.1,33.4,26.4,7.5
термин родство,,12.0,35.1,16.3,30.1,26.2,23.3,28.7
сравнительный анализ,,3.6,11.6,11.3,19.4,27.4,28.5,24.0
история слово,,39.5,28.8,37.9,60.4,25.4,19.3,8.9
грамматический средство,,4.8,14.4,35.8,28.4,27.5,22.2,8.5
публицистический стиль,,13.2,11.1,25.0,30.7,30.6,19.1,9.4
определение понятие,,2.4,4.2,15.3,16.9,23.1,32.7,29.2
предметный область,,0.0,0.0,4.9,12.9,32.5,25.4,5.2
пространство язык,,0.0,0.0,0.7,14.7,31.4,32.2,8.5
славянский языкознание,,8.4,7.8,35.0,39.2,30.5,15.5,8.9
языковой политика,,10.8,5.4,8.3,11.0,24.2,32.2,122.2
структура значение,,0.0,1.1,26.4,33.5,30.9,17.3,6.6
морфологический категория,,4.8,8.8,36.7,38.0,28.7,15.5,3.3
семантика язык,,0.0,1.0,23.3,57.1,83.7,47.5,19.3
особенность язык,,20.3,30.9,29.6,29.4,45.1,43.9,25.9
язык сми,,0.0,0.0,0.3,1.3,21.2,43.1,18.3
лакский язык,,1.2,18.6,13.4,16.5,28.8,24.5,0.0
тип предложение,,7.2,14.7,32.3,45.7,24.7,18.4,1.4
язык теоретический,,0.0,0.8,7.9,16.1,21.4,17.7,9.4
сочетание слово,,49.1,49.5,53.0,37.0,23.9,19.0,16.0
когнитивный структура,,0.0,0.0,0.1,19.5,32.4,23.0,13.2
коммуникативный акт,,0.0,1.0,8.4,34.2,31.5,23.8,21.2
политический лингвистика,,0.0,0.0,0.0,0.1,11.1,52.8,32.4
языковой выражение,,6.0,2.6,15.6,23.8,28.3,23.4,18.8
чужой речь,,6.0,11.8,24.4,14.7,27.3,22.3,30.1
конкретный язык,,2.4,25.7,37.9,41.6,39.3,29.4,36.2
сравнительный типология,,0.0,0.8,19.8,19.6,29.3,21.9,4.2
многозначный слово,,9.6,15.7,37.2,24.0,27.0,17.8,9.9
русский терминология,,1.2,3.4,18.4,23.8,31.2,18.7,6.6
выразительный средство,,35.9,21.1,25.6,18.5,24.7,23.5,11.8
когнитивный анализ,,0.0,0.0,0.0,5.6,29.5,32.1,18.8
функциональный особенность,,1.2,2.6,15.8,23.5,27.6,22.8,10.3
художественный перевод,,1.2,6.9,14.3,10.3,29.4,22.9,35.3
прямой дополнение,,4.8,36.6,28.0,19.8,16.6,31.8,16.9
переносный значение,,22.7,31.0,26.8,27.4,24.0,18.2,47.0
грамматический класс,,0.0,9.8,34.9,46.6,31.7,18.1,6.6
синтаксический средство,,8.4,7.5,28.1,30.8,26.8,18.5,9.4
семантика глагол,,1.2,7.2,33.8,38.4,36.6,25.7,41.4
категория вид,,2.4,7.0,21.7,33.6,28.6,17.6,6.1
членение предложение,,2.4,9.1,46.9,37.4,25.6,13.6,5.6
фразеологический значение,,1.2,1.3,18.3,27.0,29.9,17.5,0.5
категория число,,3.6,19.6,17.8,25.1,29.1,16.4,5.2
удмуртский язык,,0.0,10.1,3.3,26.2,18.7,35.0,69.1
семантический деривация,,0.0,0.0,8.6,15.8,32.5,18.4,11.3
уровень языковой,,4.8,2.3,13.4,26.8,27.0,21.1,11.3
синтаксический уровень,,0.0,5.1,29.6,28.6,28.2,17.5,7.5
модальный глагол,,0.0,2.3,26.5,18.8,24.9,23.8,28.7
тип лексический,,0.0,3.4,34.4,33.6,27.9,14.3,8.0
тувинский язык,,2.4,52.9,33.6,18.1,22.2,20.5,9.4
языковой общение,,3.6,3.1,5.9,36.1,31.6,16.2,2.4
разговорный язык,,74.2,69.3,43.5,31.0,20.1,13.9,14.6
грамматический семантика,,1.2,1.8,17.1,29.3,25.9,20.4,11.8
стилистический функция,,6.0,7.8,42.6,30.2,28.2,12.0,3.3
устойчивый словосочетание,,20.3,27.4,31.9,27.0,24.3,16.6,15.5
взаимодействие язык,,0.0,8.0,20.9,26.5,36.2,29.2,16.9
речевой произведение,,0.0,1.6,11.6,26.6,27.5,20.1,11.8
функциональный анализ,,0.0,0.7,21.6,28.5,27.9,17.3,7.5
концептуальный метафора,,0.0,0.0,0.0,9.6,22.1,33.3,22.1
словообразовательный значение,,0.0,6.9,52.9,27.9,25.6,13.4,0.5
компьютерный лингвистика,,0.0,0.0,0.2,9.7,22.7,30.8,32.0
знак препинание,,108.9,22.5,21.3,25.4,25.8,14.8,3.3
словарный дефиниция,,0.0,1.3,17.4,14.7,25.5,23.0,17.4
,,6763930.3,6645739.2,7027610.3,7328261.7,7400801.7,7305486.6,7327127.4
семантический классификация,,1.2,7.7,24.6,27.3,25.5,18.6,15.5
выражение категория,,1.2,2.6,14.6,28.5,27.6,17.0,4.7
стилистика современный,,2.4,2.1,19.0,20.8,25.9,16.3,4.2
винительный падеж,,59.8,87.7,39.9,17.8,17.5,17.0,15.0
репрезентация концепт,,0.0,0.0,0.0,1.3,27.6,35.8,9.9
язык лексика,,2.4,2.3,7.7,10.1,11.1,6.6,4.2
языковой механизм,,0.0,1.0,3.0,22.9,28.9,20.3,2.8
рекламный дискурс,,0.0,0.0,0.0,3.6,20.5,36.6,15.5
аспект речевой,,0.0,0.5,2.2,23.4,27.3,21.1,7.5
сопоставительный языкознание,,0.0,0.2,3.0,7.5,29.4,22.5,8.0
лексический заимствование,,2.4,18.3,23.2,21.8,24.4,18.2,13.6
психолингвистический аспект,,0.0,0.2,2.3,21.0,29.2,20.2,7.1
,,6763930.3,6645739.2,7027610.3,7328261.7,7400801.7,7305486.6,7327127.4
указательный местоимение,,19.1,29.4,34.7,15.3,23.1,17.0,14.6
семантический модель,,0.0,6.9,29.8,25.6,25.6,16.1,10.3
стиль речь,,57.4,14.7,41.3,25.5,23.3,14.4,14.1
синтаксический особенность,,2.4,11.8,26.2,27.4,23.9,16.6,9.9
лексикология современный,,1.2,1.8,22.4,19.0,25.6,18.1,6.1
языковой репрезентация,,0.0,0.0,0.9,3.3,19.4,34.6,32.0
специальный лексика,,6.0,4.1,15.6,19.4,25.3,21.8,6.6
язык семантический,,0.0,1.8,10.5,24.4,20.3,11.7,8.5
переносной значение,,52.7,42.3,28.6,26.2,19.8,15.3,52.7
эстетика словесный,,0.0,0.0,3.4,21.5,27.6,19.8,4.7
семантический организация,,1.2,1.1,32.0,26.0,25.2,14.7,8.0
когнитивный прагматический,,0.0,0.0,0.0,7.8,21.2,28.6,51.2
семантический вариант,,1.2,15.8,38.3,19.5,25.6,14.3,8.0
семантика оценка,,0.0,0.0,0.9,20.8,27.4,18.1,4.7
язык научный,,12.0,5.6,19.8,22.6,19.1,14.7,8.5
языковой структура,,9.6,7.4,19.7,28.1,24.5,17.3,11.8
языковой форма,,14.4,6.0,13.6,26.7,25.4,19.1,19.7
теория словесность,,0.0,2.6,6.7,11.3,27.0,20.2,5.2
язык газета,,52.7,12.3,26.1,37.6,24.0,12.2,5.2
английский глагол,,1.2,1.5,23.4,23.5,27.7,20.7,16.0
язык культурный,,1.2,0.3,0.4,5.7,10.7,5.4,1.9
аспект семантический,,0.0,0.3,29.1,33.3,25.2,11.3,8.0
теория грамматика,,2.4,2.0,21.8,25.4,23.0,21.4,8.9
русский писатель,,27.5,34.5,23.8,25.1,22.4,17.3,9.4
персидский язык,,1.2,37.1,35.0,12.1,13.9,28.9,32.0
синтаксический отношение,,3.6,17.8,38.4,29.2,22.7,12.2,11.8
терминологический лексика,,8.4,7.4,34.0,24.8,24.2,16.1,4.7
структурный схема,,4.8,2.6,24.9,34.1,22.7,16.2,2.4
язык советский,,34.7,24.8,23.7,24.7,19.9,9.5,6.1
вторичный номинация,,0.0,0.2,14.7,19.6,26.7,16.5,8.0
глагол речь,,16.8,19.8,18.7,22.9,20.8,18.2,29.2
связь слово,,25.1,18.1,38.6,38.6,28.3,12.3,4.7
грамматический особенность,,0.0,19.8,25.3,21.7,20.3,18.4,17.4
сопоставительный аспект,,0.0,0.7,6.3,10.7,26.0,29.9,24.0
художественный дискурс,,0.0,0.0,0.0,7.8,19.2,31.0,16.0
функциональный тип,,0.0,1.3,28.6,35.4,29.4,15.8,10.8
аналитический конструкция,,0.0,11.6,29.1,27.3,21.6,14.7,8.9
морфологический структура,,2.4,19.1,28.6,24.9,22.5,13.3,6.1
безличный предложение,,10.8,14.9,15.3,30.9,22.6,15.1,0.5
лексический уровень,,0.0,3.1,11.5,21.3,25.8,15.8,11.3
стилистический аспект,,0.0,1.0,15.3,27.6,28.4,19.6,7.1
церковнославянский язык,,51.5,26.0,16.3,30.6,19.3,20.0,7.5
оценочный значение,,0.0,5.9,19.9,18.9,22.6,18.1,9.9
крылатый слово,,51.5,20.7,12.3,28.4,20.7,17.3,3.8
стилистический анализ,,1.2,4.7,30.0,31.1,29.8,20.5,8.5
украинский язык,,46.7,31.9,69.1,15.3,16.9,15.3,10.8
речевой мышление,,0.0,3.4,17.5,29.4,25.8,11.5,2.8
фразеологический семантика,,0.0,0.0,3.4,11.1,25.5,19.6,5.2
калмыцкий язык,,0.0,2.1,3.6,7.8,29.4,16.7,8.0
специфика языковой,,0.0,0.5,1.8,9.8,25.0,20.0,5.2
аналитический форма,,59.8,30.6,35.8,18.9,16.9,18.3,8.5
категориальный значение,,2.4,2.1,31.0,29.8,25.9,9.9,1.4
машинный перевод,,6.0,8.8,32.7,19.1,22.1,14.3,11.3
языковый контакт,,1.2,15.5,24.4,18.9,18.6,20.3,23.0
табасаранский язык,,0.0,2.0,2.6,43.0,23.1,15.8,0.9
особенность употребление,,3.6,9.1,14.9,16.0,20.9,19.4,14.1
сочетаемость слово,,12.0,7.8,32.0,28.2,23.4,13.0,9.4
языковой процесс,,3.6,4.9,15.6,23.3,24.7,19.2,12.2
строй язык,,2.4,21.6,43.5,25.5,20.1,11.3,3.8
первый слог,,29.9,49.3,20.5,10.3,6.1,34.4,20.7
