,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
37,лексико семантический группа слово,8.54,0.0,2.0,13.4,9.8,8.3,3.7,1.4
38,методика преподавание русский язык,8.45,4.8,5.4,12.9,9.1,7.5,4.4,0.5
39,номинативный аспект речевой деятельность,8.42,0.0,0.0,0.5,9.1,9.3,5.2,2.8
40,лексикология современный английский язык,8.45,0.0,0.2,7.7,6.0,7.7,6.6,2.4
41,компонент содержательный структура слово,8.18,0.0,0.5,8.6,8.1,9.1,3.5,0.0
42,синтаксис современный немецкий язык,8.12,0.0,1.3,11.6,8.9,7.4,4.6,1.4
43,французский школа анализ дискурс,8.09,0.0,0.0,0.0,0.1,7.5,9.0,2.4
44,основа теория речевой деятельность,8.01,0.0,0.7,7.0,10.3,8.6,3.5,2.8
45,логический анализ язык модель,3.55,0.0,0.0,0.0,5.6,4.0,1.7,1.9
46,практика преподавание русский язык,7.79,0.0,1.0,9.0,11.0,7.0,4.3,5.6
47,грамматический строй русский язык,7.75,7.2,2.8,6.7,11.0,7.2,4.1,3.8
48,история язык русский поэзия,7.69,0.0,0.0,0.0,6.1,10.2,3.3,0.5
49,логико философский анализ язык,7.6,0.0,0.0,0.5,4.5,8.7,5.3,0.9
50,лексика русский литературный язык,7.64,2.4,3.4,7.0,9.2,8.0,3.4,0.0
51,принцип семиологического описание лексика,7.35,0.0,0.0,0.1,5.4,9.1,4.1,0.9
52,анализ структура значение слово,7.32,0.0,0.2,7.4,7.2,8.0,3.4,1.4
53,лингвистический описание разговорный речь,7.3,0.0,0.0,12.6,8.7,7.6,2.5,0.5
54,синтаксис русский разговорный речь,7.22,1.2,1.3,7.3,9.1,7.5,3.2,1.4
55,лексико семантический группа глагол,7.26,0.0,1.3,8.1,7.1,7.8,3.3,1.9
56,синтаксис современный индоевропейский язык,7.15,0.0,0.5,14.1,11.5,6.0,3.1,0.0
57,исторический лексикология русский язык,7.11,0.0,2.5,5.6,9.3,7.2,3.5,0.9
58,современный узбекский литературный язык,7.1,1.2,38.6,15.6,8.5,3.7,1.7,0.0
59,когнитивный анализ предметный имя,6.68,0.0,0.0,0.0,0.0,7.2,6.1,3.3
60,язык логический анализ язык,5.98,0.0,0.0,0.0,4.4,7.3,3.4,0.9
61,национальный языковой картина мир,6.55,0.0,0.0,0.0,0.5,6.1,7.0,6.6
62,словообразование современный русский язык,6.2,3.6,0.2,6.2,7.8,6.4,2.9,0.0
63,норма русский литературный язык,6.34,8.4,9.0,7.6,5.9,5.9,2.8,2.4
64,состав русский литературный язык,6.31,4.8,6.0,7.6,6.9,5.8,3.2,0.5
65,словообразовательный система русский язык,6.29,1.2,0.3,3.4,5.1,6.4,4.4,0.9
66,принцип типологический анализ язык,6.15,0.0,0.5,5.0,8.3,6.1,3.2,3.3
67,анализ язык различный строй,6.07,0.0,0.5,4.9,8.4,6.1,3.1,3.3
68,лексический система русский язык,6.09,0.0,2.6,3.0,5.6,5.9,4.2,2.8
69,словарный состав русский язык,5.97,8.4,6.4,7.5,5.3,5.2,3.3,2.4
70,развитие русский литературный язык,5.97,16.8,9.0,6.8,3.4,5.1,3.7,0.0
71,английский языковой картина мир,5.91,0.0,0.0,0.0,0.1,4.0,8.1,10.3
72,функциональный тип лексический значение,5.62,0.0,0.0,5.9,7.6,5.8,2.5,0.9
73,сопоставительный анализ фразеологический единица,5.6,0.0,0.0,0.5,2.1,5.0,6.0,0.9
74,обучение русский язык иностранец,5.59,0.0,0.3,3.1,4.3,6.0,3.6,0.9
75,грамматика русский литературный язык,5.56,3.6,1.1,8.9,7.7,5.2,2.4,0.5
76,основа фразеология русский язык,5.38,0.0,0.3,4.0,4.4,5.5,3.5,1.4
77,личностный аспект языковой общение,5.44,0.0,0.0,0.0,7.5,6.1,3.1,0.0
78,фразеологический единица русский язык,5.26,0.0,0.0,3.6,6.0,5.1,3.5,0.9
79,практический стилистика русский язык,5.32,4.8,0.3,4.4,6.0,5.2,3.3,0.9
80,сознание носитель русский язык,5.38,0.0,0.0,0.2,1.6,5.2,5.3,4.2
81,разновидность городской устный речь,5.3,0.0,0.0,0.0,8.7,5.9,2.6,1.4
82,построение научно технический терминология,5.21,2.4,0.3,4.4,3.8,4.6,4.2,0.9
83,направление современный американский лингвистика,5.19,0.0,0.0,0.0,3.6,6.4,2.9,3.8
84,сочетаемость слово русский язык,5.17,0.0,0.2,3.8,5.1,5.6,2.8,0.0
85,синтаксис современный английский язык,5.03,0.0,0.0,7.4,7.5,4.9,2.0,0.9
86,основной тип фразеологический единица,5.02,0.0,1.8,3.4,3.5,4.8,3.7,1.4
87,функционально смысловой тип речь,4.99,0.0,0.2,5.6,6.6,5.0,2.4,0.0
88,методика обучение иностранный язык,4.99,0.0,0.2,3.2,4.7,4.9,3.4,1.9
89,стиль современный русский язык,4.97,1.2,1.1,6.0,5.7,5.2,2.1,0.5
90,различие строение человеческий язык,4.88,0.0,0.0,0.7,4.1,5.1,3.6,0.9
91,национальный вариант испанский язык,4.89,0.0,0.0,0.5,0.2,3.4,6.8,0.9
92,строй современный русский язык,4.81,4.8,0.7,5.2,5.1,5.4,1.8,0.5
93,британский вариант английский язык,4.9,0.0,0.0,2.0,3.1,4.3,4.6,1.4
94,лексика современный английский язык,4.74,0.0,0.0,3.1,3.9,5.0,3.0,0.5
95,структура лексико семантический поле,4.72,0.0,0.0,2.2,2.8,5.0,3.4,0.0
96,семантический класс русский глагол,4.62,0.0,0.0,4.0,7.0,5.4,1.2,2.4
97,фразеология современный немецкий язык,4.5,0.0,1.0,6.6,4.0,3.9,3.0,0.0
98,современный турецкий литературный язык,4.47,0.0,23.7,10.3,2.1,2.6,1.4,0.5
99,система современный английский язык,4.64,0.0,0.5,5.7,5.7,4.0,3.0,0.9
100,исторический морфология русский язык,4.38,0.0,1.3,3.3,4.7,3.8,3.3,0.9
101,единица современный русский язык,4.38,0.0,0.2,3.3,3.5,4.3,3.1,0.5
102,компонент семантический структура высказывание,4.33,0.0,0.3,5.9,5.5,4.6,1.6,0.0
103,функциональный тип русский речь,4.32,0.0,0.0,4.3,3.8,4.8,2.1,0.5
104,морфология современный английский язык,4.33,0.0,0.2,4.3,5.1,4.2,2.5,0.9
105,фразеологический синоним русский язык,4.31,0.0,0.0,0.2,3.7,4.9,2.8,0.0
106,стилистика современный русский язык,4.29,2.4,0.0,1.2,3.5,4.6,3.0,0.5
107,фонетика современный русский язык,4.26,0.0,0.5,4.6,5.4,4.4,1.9,1.4
108,немецкий языковой картина мир,4.22,0.0,0.0,0.0,0.6,3.1,5.6,0.9
109,современный башкирский литературный язык,4.2,0.0,1.8,2.8,2.8,4.5,2.4,3.3
110,лексический средство обозначение эмоция,4.09,0.0,0.0,0.0,3.7,4.7,2.6,0.5
111,состав современный английский язык,4.08,0.0,0.2,5.2,3.4,3.7,2.7,0.9
112,логический анализ естественный язык,4.01,0.0,0.0,0.8,5.1,4.5,2.1,0.0
113,современный таджикский литературный язык,4.03,0.0,0.2,1.6,3.0,1.2,6.6,1.4
114,практика преподавание английский язык,3.99,0.0,0.2,4.7,3.5,3.7,2.6,1.4
115,элементарный единица русский синтаксис,3.98,0.0,0.0,0.2,5.3,4.6,2.0,0.5
116,понятие языковой картина мир,3.96,0.0,0.0,0.0,0.8,3.3,4.7,1.4
117,структурный схема простой предложение,3.94,0.0,0.0,3.5,4.8,2.9,3.6,0.0
118,лексикология современный немецкий язык,3.74,0.0,0.0,2.9,3.1,3.6,2.7,0.0
119,исторический синтаксис русский язык,3.91,0.0,1.1,3.3,4.1,3.9,2.2,1.9
120,социокультурный стереотип речевой общение,3.9,0.0,0.0,0.0,0.9,4.4,3.2,0.5
121,сравнительный морфология тюркский язык,3.86,0.0,0.7,6.7,3.0,3.7,2.0,0.5
122,компонентный анализ многозначный слово,3.83,0.0,0.2,6.4,4.1,4.0,1.3,0.9
123,преподавание русский язык иностранец,3.79,0.0,0.5,10.0,6.5,3.0,1.2,0.5
124,русский язык советский эпоха,3.77,4.8,3.3,6.6,4.9,3.3,1.5,0.0
125,национальный вариант английский язык,3.76,0.0,0.0,1.6,4.6,3.0,3.5,0.0
126,пространство логический анализ язык,3.26,0.0,0.0,0.0,0.0,4.2,2.1,0.0
127,лексико грамматический средство выражение,3.65,0.0,1.3,3.0,4.5,3.5,2.2,0.0
128,речь современный английский язык,3.65,0.0,0.0,3.5,3.7,3.8,2.0,0.0
129,метод современный структурный лингвистика,3.58,0.0,0.3,2.7,3.7,3.6,2.1,0.9
130,теоретический грамматика немецкий язык,3.56,0.0,0.0,0.8,2.2,3.7,2.8,0.9
131,словообразование современный немецкий язык,3.49,0.0,0.7,4.6,3.4,3.3,2.0,0.0
132,словообразование современный английский язык,3.46,0.0,0.3,4.3,3.4,3.3,2.0,0.5
133,теория анализ языковой единица,0.09,0.0,0.0,0.0,0.0,0.1,0.1,0.0
134,компонентный анализ значимый единица,3.39,0.0,0.0,5.9,3.6,3.7,1.0,0.0
135,стиль русский литературный язык,3.42,4.8,2.6,2.4,2.1,3.5,2.1,0.0
136,анализ значимый единица язык,3.38,0.0,0.0,5.3,3.5,3.7,1.1,0.0
137,семантический анализ фразеологический единица,3.37,0.0,0.0,3.8,2.9,3.4,2.0,0.0
138,лексика современный немецкий язык,3.33,0.0,0.0,2.8,2.8,3.6,1.9,0.9
139,описание лексико семантический система,3.3,2.4,0.2,6.4,2.8,3.6,1.0,0.0
140,метод синхронный анализ лексика,3.25,0.0,0.7,7.4,3.6,3.0,1.2,0.0
141,метод анализ словарный дефиниция,3.22,0.0,0.0,0.6,1.3,2.9,3.1,3.3
142,трансформационный грамматика русский язык,3.21,0.0,0.3,3.7,4.1,2.9,1.9,0.5
143,тезаурус современный русский язык,3.18,0.0,0.0,0.0,0.7,3.1,3.2,0.0
144,современный русский народный говор,3.12,0.0,4.2,3.5,3.0,2.8,1.7,0.0
145,функциональный анализ языковой единица,3.14,0.0,0.0,0.1,1.6,3.7,2.2,0.5
146,лексический значение производный слово,3.03,0.0,0.5,1.8,3.3,3.6,1.2,0.0
147,принцип описание язык мир,3.04,0.0,0.2,3.7,4.9,3.2,0.9,0.9
148,средство выражение модальный значение,3.03,0.0,0.8,1.5,1.9,3.3,1.9,0.0
149,строй современный английский язык,3.04,0.0,0.2,4.1,2.9,2.9,1.7,0.5
150,носитель элитарный речевой культура,2.98,0.0,0.0,0.0,3.9,3.0,2.2,0.0
151,лексика русский народный говор,2.95,0.0,0.5,3.8,3.4,2.8,1.6,0.0
152,экспрессивный оценочный функция метафора,2.69,0.0,0.0,0.1,3.2,3.3,1.3,0.0
153,русский говор средний урал,2.84,1.2,2.3,2.4,2.8,2.6,1.8,0.9
154,концептуальный пространство когнитивный лингвистика,2.83,0.0,0.0,0.0,0.0,2.0,3.9,1.4
155,множественный число имя существительное,2.76,0.0,0.8,2.0,2.8,2.5,2.0,0.0
156,синтаксис современный итальянский язык,2.76,0.0,0.0,6.0,4.9,2.3,1.0,0.0
157,прагматический аспект единица общение,2.74,0.0,0.0,0.0,1.3,3.1,2.0,0.5
158,диалектологический атлас русский язык,2.7,7.2,2.0,2.6,2.5,2.2,1.9,1.4
159,этнокультурный специфика речевой деятельность,2.7,0.0,0.0,0.0,0.0,2.9,2.5,0.5
160,картина мир русский язык,3.19,0.0,0.0,0.0,0.3,3.8,2.4,1.9
161,грамматика современный русский язык,2.65,0.0,1.1,4.5,3.0,2.5,1.2,0.0
162,фразеология современный французский язык,2.61,0.0,0.3,2.1,2.4,2.5,1.8,0.0
163,функциональный тип языковой метафора,2.61,0.0,0.0,1.9,3.4,2.4,1.8,0.5
164,современный русский разговорный речь,2.6,1.2,0.5,2.7,2.6,2.6,1.4,1.9
165,лексический состав русский язык,2.58,0.0,0.3,0.8,2.2,2.6,1.9,0.9
166,видо временный форма глагол,2.65,0.0,0.3,2.4,3.3,2.4,1.6,2.4
167,прикладной аспект речевой общение,2.56,0.0,0.0,0.0,0.9,2.2,2.8,0.9
168,морфология современный русский язык,2.5,2.4,0.2,1.4,1.6,2.5,1.8,0.5
169,теория функционально коммуникативный синтаксис,2.52,0.0,0.0,0.0,0.5,2.6,2.3,0.5
170,языковой сознание носитель язык,2.51,0.0,0.3,0.1,0.6,2.0,3.0,1.4
171,сравнительный грамматика германский язык,2.48,1.2,0.2,3.6,2.8,2.3,1.4,0.0
172,основа прагматический описание предложение,2.44,0.0,0.0,0.2,4.1,2.8,1.1,0.0
173,система русский литературный язык,2.61,3.6,1.8,2.7,1.7,2.3,1.8,1.4
174,культурный специфика речевой общение,2.55,0.0,0.0,0.5,2.1,3.0,1.5,0.0
175,основа образный средство язык,2.4,0.0,0.0,2.8,3.0,2.8,0.7,0.9
176,диалектологический атлас тюркский язык,2.38,0.0,24.7,7.7,0.2,0.4,0.3,0.0
177,внутренний форма фразеологический единица,2.38,0.0,0.0,0.5,3.3,2.6,1.3,0.0
178,сравнительный грамматика славянский язык,2.36,6.0,1.5,4.1,2.8,2.2,0.8,0.0
179,моделирование языковой картина мир,2.36,0.0,0.0,0.0,0.1,2.1,2.7,1.4
180,специфика языковой картина мир,2.38,0.0,0.0,0.0,0.8,2.3,2.4,0.0
181,общий свойство языковой система,2.35,0.0,0.0,1.6,2.8,2.3,1.5,0.0
182,экспрессивный окраска языковой единица,2.36,0.0,0.0,0.1,2.2,2.7,1.5,0.5
183,речь современный русский язык,2.32,0.0,0.2,1.3,2.2,2.6,1.3,0.0
184,перевод научно технический литература,2.31,0.0,0.3,3.6,1.8,2.4,1.0,0.0
185,эпитет русский литературный язык,2.32,0.0,0.0,2.2,1.7,2.6,1.1,0.9
186,экспериментально фонетический анализ речь,2.29,0.0,0.0,2.0,3.7,2.7,0.6,0.0
187,англо русский языковой контакт,2.28,0.0,0.0,1.2,1.7,2.3,1.7,0.0
188,внутренний форма языковой единица,2.28,0.0,0.2,2.1,2.7,2.6,0.9,0.5
189,современный носитель русский язык,2.27,0.0,0.0,0.4,0.9,2.3,1.9,2.4
190,словообразовательный элемент немецкий язык,2.29,0.0,0.0,2.3,2.5,2.4,1.1,0.0
191,вариант современный английский язык,2.28,0.0,0.0,1.6,0.9,2.4,1.7,0.0
192,сравнительный фонетика тюркский язык,2.26,0.0,12.1,5.3,1.4,1.1,0.8,1.4
193,практика преподавание иностранный язык,2.28,0.0,0.0,1.6,1.6,2.5,1.4,0.9
194,способ выражение временный отношение,2.25,0.0,0.0,2.7,2.4,2.1,1.3,0.0
195,лексико семантический вариант слово,2.27,0.0,0.0,3.7,1.0,2.3,1.3,0.0
196,семантический система русский язык,2.2,0.0,0.3,1.8,2.3,2.2,1.3,1.4
197,функциональный грамматика русский язык,2.2,0.0,0.2,0.5,2.0,2.4,1.5,0.0
198,практический грамматика английский язык,2.2,0.0,0.0,1.6,1.2,2.0,1.9,0.9
199,аспект языковой картина мир,2.14,0.0,0.0,0.0,0.3,2.1,2.2,0.0
200,современный азербайджанский литературный язык,2.18,0.0,13.7,6.8,0.9,0.9,0.6,0.0
201,современный якутский литературный язык,2.15,0.0,0.7,1.1,1.2,2.3,1.3,2.8
202,лексический основа русский язык,2.15,0.0,0.0,0.5,3.6,2.6,0.7,0.0
203,языковой картина мир носитель,2.15,0.0,0.0,0.0,0.4,2.0,2.3,0.5
204,функциональный стиль русский язык,2.1,0.0,0.3,1.6,1.7,2.3,1.2,0.0
205,словарный состав английский язык,2.14,0.0,0.5,3.3,1.6,1.8,1.5,0.5
206,функциональный анализ грамматический категория,2.12,0.0,0.0,3.4,3.2,2.0,0.8,0.0
207,интонационный система русский язык,2.13,0.0,0.0,1.8,2.7,2.1,1.2,0.0
208,часть речь русский язык,2.1,0.0,0.3,0.9,0.5,2.2,1.7,0.0
209,сфера действие лексический единица,2.1,0.0,0.0,0.0,3.1,2.2,1.3,2.4
210,состав современный русский язык,2.08,0.0,0.5,1.2,1.0,2.2,1.4,0.5
211,системный анализ значимый единица,2.06,0.0,0.0,0.3,3.7,2.5,0.7,0.0
212,синтаксический особенность русский речь,2.05,0.0,0.5,3.2,3.6,2.0,0.7,0.0
213,описание современный германский язык,2.08,0.0,1.5,4.0,2.3,1.9,0.8,0.0
214,грамматика карачаево балкарский язык,2.06,0.0,1.5,2.0,1.2,2.1,1.2,0.0
215,формирование русский национальный язык,2.06,0.0,0.7,2.5,3.3,2.0,0.8,0.0
216,диалогический речь современный английский,2.04,0.0,0.0,2.2,2.7,2.2,0.9,0.0
217,функциональный семантико стилистический категория,2.05,0.0,0.0,0.9,3.3,2.0,1.2,0.5
218,функциональный грамматика языковой интерпретация,1.49,0.0,0.0,0.0,0.0,1.8,1.1,0.0
219,культурный аспект оценочный семантика,2.02,0.0,0.0,0.0,0.9,2.4,1.4,0.0
220,лексико грамматический класс слово,2.03,0.0,0.3,2.3,2.4,1.9,1.2,0.0
221,система современный немецкий язык,2.06,0.0,0.5,3.4,2.4,2.0,0.8,0.0
222,родительный падеж множественный число,2.0,20.3,3.9,2.5,1.9,0.6,2.0,0.9
223,сравнительный конструкция русский язык,1.98,0.0,0.3,1.4,2.6,1.8,1.3,0.9
224,исторический лексика дагестанский язык,1.98,0.0,0.7,0.5,1.4,1.9,1.6,0.0
225,видовой противопоставление русский глагол,1.97,0.0,0.2,0.7,2.9,2.0,1.1,1.9
226,структура современный английский язык,1.96,0.0,0.0,1.6,2.5,1.7,1.4,0.0
227,русский устный научный речь,1.96,0.0,0.0,0.1,4.3,2.2,0.7,0.0
228,коммуникативный стратегия русский речь,1.95,0.0,0.0,0.0,0.0,2.2,1.7,0.9
229,экспрессивный средство английский язык,1.95,0.0,0.0,2.4,1.5,1.9,1.2,0.0
230,носитель современный русский язык,1.94,0.0,0.3,0.6,0.7,1.8,1.8,0.5
231,грамматический категория имя существительное,1.93,0.0,1.6,1.5,2.6,1.8,1.0,0.5
232,газетный публицистический стиль речь,1.92,0.0,0.0,1.6,1.9,1.9,1.2,0.0
233,грамматический средство выражение модальность,1.92,0.0,0.8,1.3,3.4,2.1,0.7,0.0
234,лексико грамматический разряд слово,1.92,0.0,0.7,2.6,3.1,1.7,0.9,0.5
235,падежный форма имя существительное,1.9,0.0,0.8,1.9,2.1,2.0,0.8,0.0
236,синтаксический строй татарский язык,1.91,0.0,5.7,2.2,1.5,1.7,0.7,0.0
237,семантический структура простой предложение,1.89,0.0,0.0,2.6,3.2,1.8,0.7,0.0
238,синтаксический структура тюркский язык,1.86,0.0,7.7,3.8,1.2,1.4,0.5,0.0
239,суффиксальный словообразование имя существительное,1.85,0.0,0.0,3.1,1.7,1.8,1.0,0.0
240,категория число имя существительное,1.83,0.0,1.8,1.2,1.6,2.0,0.9,0.0
241,грамматический семантика английский язык,1.82,0.0,0.0,0.0,1.1,2.0,1.3,0.0
242,конструктивный анализ структура предложение,1.82,0.0,0.5,5.0,2.0,1.4,0.8,0.5
243,эмоционально чувственный компонент значение,1.81,0.0,0.0,0.0,0.0,2.1,1.4,0.9
244,язык научно технический литература,1.8,4.8,0.5,4.2,1.6,1.6,0.8,0.0
245,ассоциативный грамматика русский язык,1.8,0.0,0.0,0.0,3.3,1.9,1.0,0.0
246,словообразовательный единица русский язык,1.8,0.0,0.0,0.0,1.4,1.9,1.4,0.0
247,речь носитель русский язык,1.81,0.0,0.0,0.1,1.5,1.4,2.0,1.9
248,лингвостилистика современный английский язык,1.75,0.0,0.0,0.0,0.5,1.9,1.5,0.0
249,тюремный лагерный блатной жаргон,1.74,0.0,0.0,0.0,2.1,2.2,0.6,0.9
250,лексико семантический способ словообразование,1.71,0.0,0.0,1.2,1.9,1.8,0.9,0.0
