,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
117,индоевропейский язык,66.26,55.1,40.2,66.4,60.6,57.4,45.1,17.4
118,семантический тип,69.11,3.6,8.8,60.2,91.8,64.6,41.4,19.3
119,русский словообразование,57.37,13.2,7.0,67.4,61.6,60.0,26.2,3.3
120,иностранный слово,56.91,113.7,40.5,31.7,53.2,50.1,41.1,16.0
121,таджикский язык,60.86,2.4,9.5,20.3,17.1,22.9,98.0,87.0
122,смысловой структура,56.35,8.4,19.4,62.7,54.4,59.6,25.5,6.1
123,уровень язык,86.03,9.6,13.9,70.7,86.2,81.6,56.7,28.7
124,турецкий язык,57.98,3.6,285.8,100.8,24.8,35.1,25.4,40.9
125,прикладной лингвистика,56.26,2.4,8.2,30.9,40.8,51.5,46.3,22.1
126,речевой этикет,56.13,0.0,6.2,20.6,51.8,63.1,31.9,7.5
127,грамматический строй,54.98,26.3,54.2,90.1,60.6,46.8,26.7,9.4
128,модальный значение,55.23,3.6,25.7,48.6,39.4,49.9,40.5,19.3
129,сплошной выборка,54.58,0.0,1.6,25.3,28.1,48.2,51.1,33.4
130,структурный лингвистика,54.91,4.8,7.2,58.0,68.0,55.2,27.1,8.0
131,семантический признак,54.78,2.4,12.7,65.2,64.9,48.5,33.4,18.8
132,семантический аспект,56.15,0.0,3.9,37.7,61.7,56.6,34.3,13.6
133,глагол движение,53.74,9.6,19.0,45.5,51.3,46.3,39.0,47.5
134,языковой ситуация,57.29,7.2,4.4,16.7,29.5,50.0,52.1,127.9
135,придаточный предложение,53.55,22.7,129.4,94.5,54.6,37.1,27.1,9.4
136,теория коммуникация,53.04,0.0,0.3,11.9,33.9,49.4,48.4,17.4
137,технический терминология,53.24,27.5,12.1,54.6,44.2,49.9,35.2,7.5
138,прямой речь,52.78,57.4,58.3,60.7,34.5,44.0,35.3,36.2
139,языковой номинация,51.82,0.0,1.8,60.0,53.7,52.6,27.1,1.9
140,группа слово,54.18,46.7,46.9,78.8,58.6,45.6,29.6,16.5
141,именной группа,51.38,1.2,0.3,16.7,26.0,28.9,69.4,65.4
142,коммуникативный стратегия,51.65,0.0,0.0,0.2,6.6,44.0,60.6,23.5
143,чувашский язык,54.08,4.8,163.4,95.3,32.5,36.4,30.1,14.6
144,диалогический речь,50.32,12.0,9.0,48.7,58.4,49.3,24.8,82.3
145,синтаксический единица,49.28,4.8,20.9,56.3,61.2,48.7,22.7,6.6
146,концептуальный анализ,49.55,0.0,0.0,0.0,21.3,52.8,41.3,22.1
147,якутский язык,50.43,0.0,106.4,57.1,30.4,35.3,34.9,105.3
148,имя прилагательное,48.87,9.6,32.3,53.1,51.1,45.7,26.7,16.9
149,семантический характеристика,48.66,0.0,9.8,45.5,50.5,45.5,31.1,16.5
150,аспект языковой,47.97,4.8,1.6,15.6,37.1,50.8,33.3,14.1
151,ассоциативный эксперимент,47.74,6.0,0.0,1.8,9.8,41.2,53.9,25.9
152,значение глагол,56.08,43.1,39.7,59.0,60.5,47.5,34.2,65.8
153,форма слово,53.39,44.3,52.8,51.4,54.0,45.1,34.3,21.6
154,язык грамматический,29.7,6.0,6.5,23.2,30.9,29.1,18.4,3.3
155,аспект язык,97.52,4.8,3.9,26.1,75.7,101.5,71.1,30.1
156,лексический средство,46.21,3.6,8.3,29.5,35.8,46.0,31.2,31.0
157,узбекский язык,52.44,4.8,266.6,196.6,30.4,19.7,14.1,5.2
158,коммуникативный поведение,46.33,0.0,0.0,0.9,5.0,42.8,50.5,13.2
159,коммуникативный ситуация,45.77,0.0,0.5,4.9,25.2,42.3,43.3,37.6
160,когнитивный семантика,45.78,0.0,0.0,0.0,12.2,49.8,38.7,18.8
161,функциональный аспект,46.18,0.0,1.0,15.6,39.3,47.4,33.4,8.9
162,иноязычный слово,46.15,22.7,16.3,20.6,38.4,46.7,30.8,17.4
163,алтайский язык,52.26,0.0,135.9,60.5,30.1,41.1,30.9,24.4
164,поэтический язык,45.94,49.1,16.3,16.0,41.3,48.0,27.9,30.6
165,великорусский язык,45.02,28.7,24.0,23.6,33.3,42.7,32.9,13.6
166,семантический отношение,44.61,2.4,10.3,64.2,44.5,41.7,23.6,21.6
167,письменный речь,43.98,87.4,30.2,38.3,38.7,35.5,32.7,33.9
168,единственный число,44.1,143.6,101.3,51.2,27.2,24.2,37.4,40.4
169,географический название,43.62,64.6,80.5,48.6,51.1,30.6,25.0,89.3
170,кумыкский язык,45.4,1.2,27.0,23.5,31.7,48.3,27.6,2.4
171,функция язык,50.89,9.6,5.9,36.1,53.6,48.4,33.5,32.4
172,модальный слово,44.21,3.6,60.9,48.4,66.5,38.1,19.6,22.6
173,казахский язык,45.27,4.8,190.3,135.8,27.9,22.7,15.8,25.4
174,лексика современный,42.85,10.8,11.8,45.5,40.8,42.6,23.5,10.3
175,теоретический грамматика,42.52,0.0,1.6,42.1,34.1,38.5,31.8,7.1
176,служебный слово,42.77,7.2,39.0,39.0,34.2,39.8,26.2,19.3
177,лексический состав,43.29,13.2,33.3,39.6,34.5,38.9,28.6,25.9
178,кавказский язык,59.26,6.0,10.9,27.3,81.6,54.0,42.0,2.4
179,анализ лексика,41.01,1.2,5.6,41.0,37.8,40.6,24.2,15.5
180,падежный форма,42.31,19.1,53.3,51.0,39.9,33.3,27.8,14.6
181,коммуникативный функция,40.62,9.6,5.9,33.7,46.8,38.3,25.6,14.6
182,номинативный единица,40.24,0.0,1.8,18.5,40.2,43.0,24.3,11.8
183,лингвистический описание,42.87,1.2,2.0,32.1,45.0,40.7,29.0,16.9
184,компонент значение,40.59,2.4,1.0,23.5,43.9,38.1,29.1,17.9
185,употребление слово,42.28,190.3,83.8,63.5,43.7,29.1,22.4,29.2
186,синтаксический функция,39.85,7.2,34.1,65.8,46.4,33.3,20.3,7.5
187,когнитивный подход,41.02,0.0,0.0,0.0,24.7,40.5,36.2,28.7
188,лексикографический описание,39.45,2.4,0.8,13.3,31.4,36.8,32.3,42.8
189,аспект семантика,39.04,0.0,0.3,9.3,42.4,42.6,23.8,7.1
190,теория дискурс,39.74,0.0,0.0,0.8,5.2,26.5,55.5,26.8
191,русский словесность,39.94,7.2,2.8,3.4,15.5,41.1,34.7,9.4
192,поэтический речь,39.01,87.4,36.8,30.6,43.2,37.5,19.5,8.9
193,личный местоимение,40.2,16.8,39.7,28.8,36.1,32.6,31.0,16.9
194,языковой контакт,44.14,1.2,17.2,31.9,28.5,36.6,38.1,39.5
195,детский речь,39.29,2.4,4.7,3.9,52.1,36.9,29.7,16.0
196,категория время,38.43,0.0,17.2,29.3,31.7,35.1,28.0,8.9
197,лингвистический прагматика,38.85,0.0,0.0,3.8,35.6,40.8,28.4,9.4
198,функционирование язык,62.69,10.8,4.9,30.8,58.4,63.5,41.7,32.0
199,родительный падеж,38.64,181.9,85.3,70.0,33.9,20.9,25.7,18.8
200,категория модальность,38.08,0.0,7.4,23.3,41.1,36.3,25.9,10.3
201,семантический компонент,39.23,1.2,1.3,37.2,40.7,35.3,26.9,26.3
202,романский язык,46.45,10.8,3.6,59.6,39.9,34.9,37.1,72.9
203,знаковый система,37.75,2.4,2.1,13.3,37.3,36.3,28.5,16.0
204,временный форма,40.35,16.8,30.7,58.9,34.7,32.4,25.3,45.6
205,вспомогательный глагол,37.26,13.2,39.7,39.0,28.5,21.3,36.1,67.2
206,способ словообразование,36.96,8.4,16.2,30.0,32.4,34.8,24.6,9.4
207,научный речь,37.1,6.0,1.6,55.7,50.4,35.2,16.5,11.3
208,синтаксический связь,36.79,7.2,32.5,56.0,43.0,32.2,17.5,11.3
209,грамматический учение,36.94,10.8,6.5,29.6,40.0,37.1,21.5,2.4
210,языковый знак,37.65,0.0,4.4,27.6,37.0,36.1,25.2,18.3
211,класс слово,37.81,2.4,9.8,35.9,45.5,35.8,21.7,15.5
212,функциональный семантика,36.28,0.0,0.3,3.1,33.3,38.7,25.8,6.1
213,языковой знак,36.81,1.2,8.3,17.7,27.3,34.1,29.7,16.9
214,деловой письменность,36.21,18.0,16.0,27.3,26.1,35.7,23.8,7.5
215,бурятский язык,37.93,1.2,2.9,8.6,49.0,34.9,28.1,37.6
216,когнитивный модель,36.04,0.0,0.0,0.0,22.5,35.2,32.5,15.5
217,речевой действие,36.71,3.6,0.3,8.7,28.2,38.4,27.0,10.3
218,лексикографический источник,40.25,1.2,2.1,14.1,15.7,33.8,42.1,19.3
219,философия язык,36.88,3.6,1.0,3.8,24.9,39.8,27.4,8.9
220,русский лексика,37.46,19.1,10.8,31.0,48.5,35.4,21.6,10.3
221,история языкознание,34.98,3.6,8.3,18.9,31.7,33.7,24.9,11.3
222,языковой уровень,36.43,3.6,3.6,21.2,33.3,34.3,27.1,13.6
223,состав язык,37.12,13.2,19.9,35.9,28.8,34.9,23.6,16.9
224,анализ дискурс,37.84,0.0,0.0,0.3,8.9,32.8,42.5,23.0
225,русский пословица,35.04,18.0,10.8,10.8,18.7,31.3,31.1,41.8
226,будущий время,34.92,27.5,57.8,44.2,19.9,20.7,31.5,28.7
227,арабский язык,37.08,7.2,25.8,57.6,15.4,34.1,22.7,7.1
228,научный стиль,34.85,14.4,10.8,49.2,36.7,32.7,17.8,13.2
229,семантический связь,34.38,8.4,9.1,47.9,35.4,33.5,16.7,9.4
230,когнитивный термин,38.44,0.0,0.0,0.0,10.3,37.4,38.1,13.6
231,семантический класс,62.62,1.2,9.5,54.2,66.2,58.7,39.3,61.1
232,ассоциативный поле,34.04,0.0,0.0,0.6,9.7,28.6,39.6,5.2
233,структурный тип,42.08,3.6,16.2,57.7,43.1,37.4,24.7,11.3
234,балкарский язык,34.82,0.0,52.6,28.8,16.3,33.3,21.5,3.8
235,типология язык,43.62,0.0,3.8,40.4,36.3,43.5,27.5,9.4
236,диалектный лексика,33.78,15.6,22.2,26.7,29.3,33.3,19.9,4.7
237,стилистический прием,33.94,26.3,16.5,38.6,26.5,28.2,25.0,15.0
238,речевой ситуация,33.22,15.6,10.9,18.9,25.4,35.4,19.9,5.2
239,языковой норма,34.32,52.7,13.1,24.6,25.5,29.5,27.2,19.7
240,группа глагол,36.8,3.6,21.2,43.8,36.3,32.9,21.6,25.4
241,тип дискурс,34.89,0.0,0.2,0.1,4.7,24.1,47.4,30.1
242,стилистический особенность,39.94,7.2,13.2,34.2,29.5,34.8,31.4,15.0
243,русский языкознание,32.43,16.8,16.7,43.9,32.9,29.2,18.2,4.7
244,отдельный слово,36.01,76.6,66.5,46.7,36.6,26.6,20.5,24.0
245,исторический лексикология,32.19,2.4,21.1,36.0,40.1,28.6,17.9,9.4
246,марийский язык,37.96,0.0,11.6,15.6,26.0,30.1,37.4,26.3
247,лингвистический литература,32.45,8.4,10.1,39.7,40.5,28.6,18.8,12.7
248,структура концепт,35.39,0.0,0.0,0.4,3.8,36.0,34.2,16.9
249,семантический пространство,32.27,0.0,0.0,4.4,19.1,33.4,26.4,7.5
250,термин родство,31.5,12.0,35.1,16.3,30.1,26.2,23.3,28.7
251,сравнительный анализ,31.5,3.6,11.6,11.3,19.4,27.4,28.5,24.0
252,история слово,33.83,39.5,28.8,37.9,60.4,25.4,19.3,8.9
253,грамматический средство,31.87,4.8,14.4,35.8,28.4,27.5,22.2,8.5
254,публицистический стиль,31.4,13.2,11.1,25.0,30.7,30.6,19.1,9.4
255,определение понятие,30.8,2.4,4.2,15.3,16.9,23.1,32.7,29.2
256,предметный область,30.74,0.0,0.0,4.9,12.9,32.5,25.4,5.2
257,пространство язык,32.94,0.0,0.0,0.7,14.7,31.4,32.2,8.5
258,славянский языкознание,31.35,8.4,7.8,35.0,39.2,30.5,15.5,8.9
259,языковой политика,31.79,10.8,5.4,8.3,11.0,24.2,32.2,122.2
260,структура значение,30.49,0.0,1.1,26.4,33.5,30.9,17.3,6.6
261,морфологический категория,30.31,4.8,8.8,36.7,38.0,28.7,15.5,3.3
262,семантика язык,74.97,0.0,1.0,23.3,57.1,83.7,47.5,19.3
263,особенность язык,51.79,20.3,30.9,29.6,29.4,45.1,43.9,25.9
264,язык сми,30.85,0.0,0.0,0.3,1.3,21.2,43.1,18.3
265,лакский язык,30.35,1.2,18.6,13.4,16.5,28.8,24.5,0.0
266,тип предложение,29.99,7.2,14.7,32.3,45.7,24.7,18.4,1.4
267,язык теоретический,22.03,0.0,0.8,7.9,16.1,21.4,17.7,9.4
268,сочетание слово,33.27,49.1,49.5,53.0,37.0,23.9,19.0,16.0
269,когнитивный структура,30.01,0.0,0.0,0.1,19.5,32.4,23.0,13.2
270,коммуникативный акт,32.34,0.0,1.0,8.4,34.2,31.5,23.8,21.2
271,политический лингвистика,29.62,0.0,0.0,0.0,0.1,11.1,52.8,32.4
272,языковой выражение,30.11,6.0,2.6,15.6,23.8,28.3,23.4,18.8
273,чужой речь,29.66,6.0,11.8,24.4,14.7,27.3,22.3,30.1
274,конкретный язык,44.1,2.4,25.7,37.9,41.6,39.3,29.4,36.2
275,сравнительный типология,29.54,0.0,0.8,19.8,19.6,29.3,21.9,4.2
276,многозначный слово,29.57,9.6,15.7,37.2,24.0,27.0,17.8,9.9
277,русский терминология,29.71,1.2,3.4,18.4,23.8,31.2,18.7,6.6
278,выразительный средство,29.6,35.9,21.1,25.6,18.5,24.7,23.5,11.8
279,когнитивный анализ,31.1,0.0,0.0,0.0,5.6,29.5,32.1,18.8
280,функциональный особенность,29.21,1.2,2.6,15.8,23.5,27.6,22.8,10.3
281,художественный перевод,29.48,1.2,6.9,14.3,10.3,29.4,22.9,35.3
282,прямой дополнение,29.78,4.8,36.6,28.0,19.8,16.6,31.8,16.9
283,переносный значение,28.97,22.7,31.0,26.8,27.4,24.0,18.2,47.0
284,грамматический класс,33.84,0.0,9.8,34.9,46.6,31.7,18.1,6.6
285,синтаксический средство,29.08,8.4,7.5,28.1,30.8,26.8,18.5,9.4
286,семантика глагол,39.44,1.2,7.2,33.8,38.4,36.6,25.7,41.4
287,категория вид,29.26,2.4,7.0,21.7,33.6,28.6,17.6,6.1
288,членение предложение,28.68,2.4,9.1,46.9,37.4,25.6,13.6,5.6
289,фразеологический значение,28.55,1.2,1.3,18.3,27.0,29.9,17.5,0.5
290,категория число,28.5,3.6,19.6,17.8,25.1,29.1,16.4,5.2
291,удмуртский язык,30.18,0.0,10.1,3.3,26.2,18.7,35.0,69.1
292,семантический деривация,28.44,0.0,0.0,8.6,15.8,32.5,18.4,11.3
293,уровень языковой,28.31,4.8,2.3,13.4,26.8,27.0,21.1,11.3
294,синтаксический уровень,29.12,0.0,5.1,29.6,28.6,28.2,17.5,7.5
295,модальный глагол,29.02,0.0,2.3,26.5,18.8,24.9,23.8,28.7
296,тип лексический,28.45,0.0,3.4,34.4,33.6,27.9,14.3,8.0
297,тувинский язык,29.01,2.4,52.9,33.6,18.1,22.2,20.5,9.4
298,языковой общение,28.8,3.6,3.1,5.9,36.1,31.6,16.2,2.4
299,разговорный язык,28.7,74.2,69.3,43.5,31.0,20.1,13.9,14.6
300,грамматический семантика,27.95,1.2,1.8,17.1,29.3,25.9,20.4,11.8
301,стилистический функция,28.26,6.0,7.8,42.6,30.2,28.2,12.0,3.3
302,устойчивый словосочетание,28.1,20.3,27.4,31.9,27.0,24.3,16.6,15.5
303,взаимодействие язык,37.94,0.0,8.0,20.9,26.5,36.2,29.2,16.9
304,речевой произведение,27.87,0.0,1.6,11.6,26.6,27.5,20.1,11.8
305,функциональный анализ,27.91,0.0,0.7,21.6,28.5,27.9,17.3,7.5
306,концептуальный метафора,27.97,0.0,0.0,0.0,9.6,22.1,33.3,22.1
307,словообразовательный значение,27.97,0.0,6.9,52.9,27.9,25.6,13.4,0.5
308,компьютерный лингвистика,27.44,0.0,0.0,0.2,9.7,22.7,30.8,32.0
309,знак препинание,27.17,108.9,22.5,21.3,25.4,25.8,14.8,3.3
310,словарный дефиниция,27.49,0.0,1.3,17.4,14.7,25.5,23.0,17.4
311,семантический классификация,27.82,1.2,7.7,24.6,27.3,25.5,18.6,15.5
312,выражение категория,27.03,1.2,2.6,14.6,28.5,27.6,17.0,4.7
313,стилистика современный,25.39,2.4,2.1,19.0,20.8,25.9,16.3,4.2
314,винительный падеж,27.84,59.8,87.7,39.9,17.8,17.5,17.0,15.0
315,репрезентация концепт,31.03,0.0,0.0,0.0,1.3,27.6,35.8,9.9
316,язык лексика,10.94,2.4,2.3,7.7,10.1,11.1,6.6,4.2
317,языковой механизм,27.41,0.0,1.0,3.0,22.9,28.9,20.3,2.8
318,рекламный дискурс,27.85,0.0,0.0,0.0,3.6,20.5,36.6,15.5
319,аспект речевой,26.89,0.0,0.5,2.2,23.4,27.3,21.1,7.5
320,сопоставительный языкознание,27.16,0.0,0.2,3.0,7.5,29.4,22.5,8.0
321,лексический заимствование,26.89,2.4,18.3,23.2,21.8,24.4,18.2,13.6
322,психолингвистический аспект,27.3,0.0,0.2,2.3,21.0,29.2,20.2,7.1
323,указательный местоимение,26.81,19.1,29.4,34.7,15.3,23.1,17.0,14.6
324,семантический модель,26.96,0.0,6.9,29.8,25.6,25.6,16.1,10.3
325,стиль речь,26.94,57.4,14.7,41.3,25.5,23.3,14.4,14.1
326,синтаксический особенность,26.38,2.4,11.8,26.2,27.4,23.9,16.6,9.9
327,лексикология современный,26.13,1.2,1.8,22.4,19.0,25.6,18.1,6.1
328,языковой репрезентация,26.69,0.0,0.0,0.9,3.3,19.4,34.6,32.0
329,специальный лексика,27.19,6.0,4.1,15.6,19.4,25.3,21.8,6.6
330,язык семантический,19.95,0.0,1.8,10.5,24.4,20.3,11.7,8.5
331,переносной значение,26.4,52.7,42.3,28.6,26.2,19.8,15.3,52.7
332,эстетика словесный,26.36,0.0,0.0,3.4,21.5,27.6,19.8,4.7
333,семантический организация,26.08,1.2,1.1,32.0,26.0,25.2,14.7,8.0
334,когнитивный прагматический,25.8,0.0,0.0,0.0,7.8,21.2,28.6,51.2
335,семантический вариант,26.81,1.2,15.8,38.3,19.5,25.6,14.3,8.0
336,семантика оценка,25.19,0.0,0.0,0.9,20.8,27.4,18.1,4.7
337,язык научный,21.51,12.0,5.6,19.8,22.6,19.1,14.7,8.5
338,языковой структура,26.27,9.6,7.4,19.7,28.1,24.5,17.3,11.8
