lemm1,lemm2,lemm3,lemm4,lemm5,freq
русский,язык,автореф,дис,канд,1863
известие,ан,ссср,серия,литература,1837
грамматика,современный,русский,литературный,язык,1824
дис,канд,филол,наука,спб,1810
современный,английский,язык,Дис,канд,1809
коннотативный,аспект,семантика,номинативный,единица,1748
дис,канд,филол,наука,махачкала,1683
автореф,дис,докт,филол,наука,1672
текст,Дис,канд,филол,наука,1574
ДИССЕРТАЦИИпо,тема,сравнительно,исторический,типологический,1569
лингвистика,Вып,теория,речевой,акт,1566
язык,текст,дис,канд,филол,1557
зарубежный,лингвистика,Вып,теория,речевой,1535
автореферат,дисс,канд,филол,наука,1518
стилистика,теория,поэтический,речь,поэтика,1491
английский,язык,Автореф,дисс,канд,1479
стилистический,энциклопедический,словарь,русский,язык,1472
электронный,ресурс,режим,доступ,свободный,1468
дис,канд,филол,наука,воронеж,1465
английский,язык,дис,канд,филол,1463
заключение,ДИССЕРТАЦИИпо,тема,сравнительно,исторический,1461
Автореф,дисс,докт,филол,наука,1445
учить,степ,канд,филол,наука,1436
словарь,русский,культура,опыт,исследование,1434
константа,словарь,русский,культура,опыт,1433
лингвистический,проблема,научно,технический,терминология,1424
объяснительный,словарь,синоним,русский,язык,1422
новый,объяснительный,словарь,синоним,русский,1421
лексический,атлас,русский,народный,говор,1415
соиск,учить,степ,канд,филол,1413
литература,диссертационный,ИССЛЕДОВАНИЯдоктор,филологический,наука,1409
соискание,ученый,степень,кандидат,филологический,1402
дис,канд,филол,наука,саратов,1395
Автореф,дис,канд,филолог,наука,1385
ученый,степень,кандидат,филологический,наука,1376
русский,язык,Автореф,дисс,канд,1371
канд,филол,наука,алма,ата,1363
материал,международный,научно,практический,конференция,1359
тип,языковой,значение,семантика,производный,1339
языковой,значение,семантика,производный,слово,1333
большой,энциклопедический,словарь,Гл,ред,1328
зарубежный,лингвистика,Вып,лингвистический,прагматика,1313
апробация,работа,основной,положение,диссертация,1280
национальный,культурный,специфика,речевой,поведение,1277
картина,мир,роль,человеческий,фактор,1277
электронный,ресурс,электронный,ресурс,электронный,1265
ресурс,электронный,ресурс,электронный,ресурс,1259
данные,язык,попытка,системный,описание,1249
русский,язык,дис,канд,филол,1248
сравнительно,исторический,грамматика,тюркский,язык,1236
языковой,картина,мир,роль,человеческий,1235
список,литература,диссертационный,ИССЛЕДОВАНИЯдоктор,филологический,1232
языкознание,большой,энциклопедический,словарь,Гл,1217
логический,анализ,язык,ментальный,действие,1215
цель,предполагать,решение,следующий,задача,1209
современный,русский,язык,Дис,канд,1204
картина,мир,модель,пространство,время,1193
языковой,картина,мир,модель,пространство,1184
основной,тип,лексический,значение,слово,1179
методологический,проблема,когнитивный,лингвистика,воронеж,1177
русский,языковой,картина,мир,модель,1176
очерк,функциональный,синтаксис,русский,язык,1170
речь,Автореф,дис,канд,филол,1166
доклад,высокий,школа,филологический,наука,1165
литературный,язык,Автореф,дис,канд,1159
аспект,Автореф,дис,канд,филол,1152
язык,Автореф,дис,докт,филол,1144
СПИСОК,литература,диссертационный,ИССЛЕДОВАНИЯкандидат,филологический,1120
этимологический,словарь,современный,русский,язык,1117
научный,доклад,высокий,школа,филологический,1108
дис,канд,филол,наука,ростов,1102
Лингвокультурология,языковой,личность,концепт,становление,1097
дис,канд,филол,наука,казань,1088
лингвистика,Вып,когнитивный,аспект,язык,1081
современный,русский,язык,Автореф,дисс,1072
языковой,личность,концепт,становление,антропоцентрический,1070
зарубежный,лингвистика,Вып,когнитивный,аспект,1069
язык,система,язык,текст,язык,1067
логический,анализ,язык,образ,человек,1067
личность,концепт,становление,антропоцентрический,парадигма,1061
система,язык,текст,язык,способность,1060
историко,этимологический,словарь,современный,русский,1058
Автореф,дис,канд,фил,наука,1057
современный,английский,язык,Автореф,дисс,1038
немецкий,язык,Дис,канд,филол,1037
тип,языковой,значение,связанный,значение,1034
общий,языкознание,внутренний,структура,язык,1028
языковой,значение,связанный,значение,слово,1018
современный,русский,литературный,язык,Автореф,1012
дис,канд,филол,наука,минск,1011
актуальный,проблема,русский,словообразование,ташкент,999
поставлять,цель,предполагать,решение,следующий,994
дис,канд,филол,наука,томск,991
известие,ан,ссср,сера,лит,984
институт,русский,язык,ан,ссср,983
теория,функциональный,грамматика,Темпоральность,модальность,982
фразеологический,словарь,русский,литературный,язык,981
современный,русский,язык,автореф,дис,976
дис,канд,филол,наука,екатеринбург,971
заключение,ДИССЕРТАЦИИпо,тема,язык,народ,968
языковой,личность,культурный,концепт,волгоград,967
когнитивный,точка,зрение,роль,язык,961
французский,язык,Автореф,дис,канд,960
вестник,московский,университет,сера,филология,948
анализ,язык,язык,речевой,действие,931
логический,анализ,язык,язык,речевой,930
современный,английский,язык,автореф,дис,921
логический,анализ,язык,модель,действие,918
Автореф,Дис,канд,филол,наука,918
международный,конгресс,исследователь,русский,язык,915
логический,анализ,язык,язык,этика,909
язык,память,образ,лингвистика,языковой,907
век,Автореф,дис,канд,филол,903
язык,список,литература,диссертационный,ИССЛЕДОВАНИЯкандидат,901
память,образ,лингвистика,языковой,существование,896
квадратура,смысл,французский,школа,анализ,886
английский,язык,текст,автореф,дис,884
проблема,смысл,современный,логико,философский,882
смысл,современный,логико,философский,анализ,882
смысл,французский,школа,анализ,дискурс,880
современный,логико,философский,анализ,язык,877
ДИССЕРТАЦИИпо,тема,язык,народ,российский,871
тема,язык,народ,российский,федерация,871
очерк,история,язык,русский,поэзия,867
современный,русский,язык,русский,язык,860
дис,канд,филол,наука,краснодар,860
аспект,автореф,дис,канд,филол,856
курс,фразеология,современный,английский,язык,851
лексический,значение,принцип,семиологического,описание,849
лингвистический,энциклопедический,словарь,гл,ред,849
проблема,анализ,структура,значение,слово,848
начальный,этап,становление,когнитивизма,лингвистика,843
дис,канд,филол,наука,алма,843
толковый,словарь,русский,язык,конец,840
практика,лингвистический,описание,разговорный,речь,840
толковый,словарь,современный,русский,язык,837
этап,становление,когнитивизма,лингвистика,психология,835
когнитивизма,лингвистика,психология,когнитивный,наука,835
становление,когнитивизма,лингвистика,психология,когнитивный,832
значение,принцип,семиологического,описание,лексика,832
аспект,дис,канд,филол,наука,828
проблема,синтаксис,современный,индоевропейский,язык,823
английский,язык,Дисс,канд,филол,814
зарубежный,лингвистика,Вып,лингвистика,текст,812
теоретический,проблема,синтаксис,современный,индоевропейский,811
атлас,русский,народный,говор,материал,805
форма,существование,функция,история,язык,799
дис,канд,филол,наука,уфа,799
вопрос,синтаксис,современный,русский,язык,798
языкознание,форма,существование,функция,история,798
общий,языкознание,форма,существование,функция,796
внутри,мыслящий,мир,человек,текст,795
русский,литературный,язык,Автореф,дис,793
ученый,степень,доктор,филологический,наука,770
современный,английский,язык,стилистика,декодирование,770
стилистика,современный,английский,язык,стилистика,767
дис,канд,филол,наука,одесса,764
русский,язык,Дисс,канд,филол,762
русский,язык,энциклопедия,Гл,ред,759
доступ,режим,доступ,режим,доступ,757
режим,доступ,режим,доступ,режим,755
язык,автореферат,дис,канд,филол,753
теоретический,грамматика,современный,английский,язык,753
текст,автореф,дисс,канд,филол,753
личность,культурный,концепт,волгоград,архангельск,750
современный,немецкий,язык,Дис,канд,744
текст,дисс,канд,филол,наука,744
вестник,московский,университет,серия,филология,743
славянский,языкознание,международный,съезд,славист,741
развитие,лексика,современный,русский,язык,741
приложение,заключение,ДИССЕРТАЦИИпо,тема,русский,733
современный,русский,язык,учебный,пособие,731
реф,дис,канд,филол,наука,731
жанр,речь,сборник,научный,статья,730
толковый,словарь,русский,язык,текст,728
авто,реф,дис,канд,филол,727
аспект,Дис,канд,филол,наука,725
современный,русский,литературный,язык,текст,724
семантика,языковой,единица,доклад,международный,717
дис,канд,филол,наука,баку,715
история,язык,русский,поэзия,век,713
трехмерный,пространство,язык,семиотический,проблема,712
новый,большой,англо,русский,словарь,710
дис,канд,филол,наука,тверь,710
дис,канд,филол,наука,москва,703
символ,лингвокультурные,концепт,прецедентный,текст,703
пространство,язык,семиотический,проблема,лингвистика,701
типологический,анализ,язык,различный,строй,700
принцип,типологический,анализ,язык,различный,698
языковой,единица,доклад,международный,конференция,698
Дис,канд,филол,наука,спб,698
единица,разный,уровень,грамматический,строй,695
язык,семиотический,проблема,лингвистика,философия,695
английский,язык,текст,дис,канд,695
текст,Автореф,дисс,канд,филол,694
история,русский,литературный,язык,вв,690
язык,Автореф,канд,филол,наука,689
толковый,словарь,русский,язык,слово,688
когнитивный,анализ,предметный,имя,семантика,688
материал,английский,язык,Автореф,дис,685
методологический,проблема,когнитивный,лингвистика,научный,685
круг,личность,концепт,дискурс,волгоград,684
Автореф,дисс,канд,филолог,наука,683
проблема,когнитивный,лингвистика,научный,издание,683
языковой,личность,культурный,концепт,Сб,677
современный,русский,язык,учеба,пособие,676
дис,канд,филол,наука,барнаул,675
краткий,этимологический,словарь,русский,язык,671
русский,язык,текст,автореф,дис,670
семиотический,проблема,лингвистика,философия,искусство,666
язык,дисс,канд,филол,наука,662
вв,Автореф,дис,канд,филол,654
словарный,состав,русский,литературный,язык,650
немецкий,язык,автореф,дис,канд,648
логический,анализ,язык,проблема,интенсиональный,647
проблема,функциональный,тип,лексический,значение,645
современный,толковый,словарь,русский,язык,642
этимологический,словарь,тюркский,язык,общетюркский,641
академический,проект,екатеринбург,деловой,книга,641
соискание,ученый,степень,доктор,филологический,639
современный,французский,язык,Автореф,дис,637
теория,функциональный,грамматика,введение,Аспектуальность,632
дискурс,дис,канд,филол,наука,632
Автореф,дис,доктор,филол,наука,631
закономерность,стилистический,использование,языковый,единица,629
аспект,изучение,современный,русский,язык,628
дис,канд,филол,наука,тбилиси,628
разный,уровень,грамматический,строй,язык,627
словарь,ассоциативный,норма,русский,язык,623
русский,терминология,опыт,лингвистический,описание,622
дис,канд,филол,наука,ташкент,622
немецкий,язык,Автореф,дисс,канд,622
Дис,канд,филол,наука,ростов,621
ооо,издательство,Астрель,ооо,издательство,619
действительность,референциальный,аспект,семантика,местоимение,618
третий,глава,введение,диссертация,часть,618
разновидность,интерпретировать,подход,вопрос,языкознание,617
номинация,языковой,номинация,общий,вопрос,614
социолингвистический,аспект,изучение,современный,русский,613
жизнедеятельность,человек,роль,человеческий,фактор,613
формирование,языковой,картина,мир,роль,609
речь,сборник,научный,статья,саратов,607
дис,канд,филол,наука,пятигорск,606
научно,практический,конференция,актуальный,проблема,605
язык,языковой,личность,культурный,концепт,603
дискурс,автореф,дис,канд,филол,600
функциональный,грамматика,введение,Аспектуальность,временный,597
Дис,канд,филол,наука,киев,596
достижение,поставлять,цель,предполагать,решение,594
фундаментальный,направление,современный,американский,лингвистика,594
екатеринбург,урал,гос,пед,уна,592
личность,культурный,концепт,Сб,науч,588
речь,Дис,канд,филол,наука,584
язык,попытка,системный,описание,вопрос,584
попытка,системный,описание,вопрос,языкознание,583
зеркало,когнитивный,исследование,политический,метафора,583
язык,автореф,дисс,канд,филол,582
метафорический,зеркало,когнитивный,исследование,политический,580
Сб,науч,тр,волгоград,перемена,579
анализ,структура,значение,слово,воронеж,578
лексико,фразеологический,семантика,язык,воронеж,576
ключевой,идея,русский,языковой,картина,576
список,литература,диссертационный,ИССЛЕДОВАНИЯкандидат,наука,576
идея,русский,языковой,картина,мир,575
язык,Межвуз,сб,науч,тр,572
русский,разговорный,речь,общий,вопрос,571
восприятие,когнитивный,аспект,языковой,категоризации,571
язык,Автореф,дис,канд,филолог,570
мыслящий,мир,человек,текст,семиосфера,569
языковой,ментальность,способ,представление,мир,568
проблема,отраслевой,лексика,дагестанский,язык,565
мир,человек,текст,семиосфера,история,564
разговорный,речь,общий,вопрос,словообразование,563
словарь,сочетаемость,слово,русский,язык,563
дис,канд,фи,лола,наука,563
культура,русский,речь,энциклопедический,словарь,563
русский,речь,энциклопедический,словарь,справочник,563
современный,английский,язык,дис,канд,563
Сб,науч,тр,Отв,ред,562
речь,общий,вопрос,словообразование,синтаксис,561
половина,век,опыт,парадигмального,анализ,556
круг,личность,концепт,дискурс,текст,555
Дис,канд,филол,наука,волгоград,553
новый,словарь,русский,язык,толково,552
развитие,словарный,состав,русский,литературный,551
текст,автореф,дис,докт,филол,550
русский,разговорный,речь,фонетика,морфология,547
основа,построение,научно,технический,терминология,545
создание,языковой,картина,мир,роль,545
второй,половина,век,опыт,парадигмального,543
культурный,концепт,Сб,науч,тр,541
личность,концепт,дискурс,волгоград,перемена,541
словарь,русский,язык,конец,век,540
введение,Аспектуальность,временный,локализованность,таксис,540
Автореф,дисс,канд,фил,наука,540
художественный,текст,основа,лингвистический,теория,538
семантический,структура,слово,психолингвистический,исследование,536
словарь,русский,язык,толково,словообразовательный,535
сайт,электронный,ресурс,дата,обращение,535
заключение,список,использовать,литература,список,532
термин,лингвистический,проблема,научно,технический,532
грамматика,введение,Аспектуальность,временный,локализованность,528
дисс,канд,филол,наука,киев,528
разговорный,речь,фонетика,морфология,лексика,526
бас,словарь,современный,русский,литературный,526
семиотический,проблема,язык,наука,терминология,524
проблема,изучение,функциональный,сторона,язык,520
речь,фонетика,морфология,лексика,жест,516
современный,немецкий,язык,Автореф,дисс,515
текст,Дисс,канд,филол,наука,515
современный,английский,язык,текст,автореф,512
дисс,канд,филол,наука,спб,511
дис,канд,филол,наука,иркутск,509
дисс,канд,филол,наука,махачкала,507
опыт,теория,лингвистический,модель,смысл,503
введение,четыре,глава,заключение,список,500
сб,науч,тр,саратов,Изд,499
Дис,канд,филол,наука,воронеж,498
материал,всероссийский,научно,практический,конференция,498
словарь,фразеологический,синоним,русский,язык,496
язык,конец,век,языковой,изменение,495
экспериментальный,исследование,семантика,русский,глагол,494
русский,язык,конец,век,языковой,494
сб,науч,тр,отв,ред,494
речевой,жанр,жанр,речь,саратов,493
лингвистика,текст,материал,научный,конференция,489
автореф,дис,канд,фил,наука,488
предложение,Автореф,дис,канд,филол,486
теория,лингвистический,модель,смысл,текст,484
современный,английский,язык,Дисс,канд,483
лексико,семантический,система,язык,воронеж,479
экспрессивный,лексика,разговорный,употребление,проблема,478
теория,язык,репрезентативный,функция,язык,477
отраслевой,лексика,дагестанский,язык,название,477
немецкий,язык,дис,канд,филол,476
международный,научный,конференция,посвящать,летие,474
синтаксический,словарь,репертуар,элементарный,единица,473
лексика,разговорный,употребление,проблема,семантика,472
культура,материал,международный,научный,конференция,472
новосибирск,наука,Сиб,отд,ние,470
стиль,современный,русский,литературный,язык,469
словарь,репертуар,элементарный,единица,русский,469
современность,международный,конгресс,исследователь,русский,466
аспектологического,семинар,филологический,факультет,мгу,465
этимологический,словарь,славянский,язык,праславянский,464
текст,межвузовский,сборник,научный,труд,464
приложение,заключение,ДИССЕРТАЦИИпо,тема,германский,463
известие,ан,ссср,серия,лит,462
материал,современный,английский,язык,Автореф,462
реальный,виртуальность,человек,сознание,коммуникация,458
репертуар,элементарный,единица,русский,синтаксис,458
Автореф,дис,док,филол,наука,457
научно,практический,конференция,молодой,ученый,457
вестник,московский,государственный,областной,университет,456
Концептосфера,русский,язык,русский,словесность,452
словарь,славянский,язык,праславянский,лексический,451
национальный,социокультурный,стереотип,речевой,общение,450
славянский,язык,праславянский,лексический,фонд,449
ученый,степень,канд,филол,наука,447
зарубежный,лингвистика,Вып,лингвистический,семантика,446
дисс,канд,филол,наука,текст,446
Межвуз,сб,науч,тр,саратов,445
лингвистика,психология,когнитивный,наука,вопрос,444
психология,когнитивный,наука,вопрос,языкознание,444
концепт,методологический,проблема,когнитивный,лингвистика,444
слово,Автореф,дис,канд,филол,442
краткий,словарь,когнитивный,термин,текст,442
ресурс,режим,доступ,свободный,Загл,442
современный,русский,язык,порядок,слово,441
русский,семантический,словарь,толковый,словарь,440
ава,тореф,дис,канд,филол,440
тореф,дис,канд,филол,наука,440
Изв,ан,ссср,серия,литература,439
лексический,значение,аспект,семантический,исследование,439
тип,лексический,значение,аспект,семантический,438
текст,Межвуз,сб,науч,тр,435
язык,автореферат,дисс,канд,филол,434
терминология,Автореф,дис,канд,филол,434
русский,литературный,язык,первый,половина,433
русский,разговорный,речь,лингвистический,анализ,433
жанр,речь,сб,науч,ст,432
русский,язык,синтаксис,простой,предложение,431
процесс,современный,русский,художественный,литература,431
русский,язык,функционирование,грамматический,категория,431
языковой,процесс,современный,русский,художественный,430
словарный,состав,современный,английский,язык,430
языковой,личность,проблема,коммуникативный,деятельность,430
семантический,словарь,толковый,словарь,систематизировать,429
фразеологический,единица,современный,русский,язык,429
современный,русский,язык,Дисс,канд,429
немецкий,язык,Дисс,канд,филол,429
дис,канд,филол,наука,калинин,429
язык,межвузовский,сборник,научный,труд,428
функциональный,тип,лексический,значение,аспект,428
сб,науч,тр,Отв,ред,428
грамматика,современный,турецкий,литературный,язык,427
известие,российский,государственный,педагогический,университет,426
лингвистика,бюллетень,уральский,лингвистический,общество,425
исследование,Автореф,дис,канд,филол,425
зарубежный,лингвистика,когнитивный,аспект,язык,425
художественный,текст,Автореф,дис,канд,424
автореф,дис,канд,филолог,наука,424
сокровенный,смысл,слово,текст,культура,424
канд,филол,наука,нижний,новгород,423
язык,функционирование,грамматический,категория,текст,422
современный,русский,язык,дис,канд,422
уч,степ,канд,филол,наука,421
развитие,словообразование,современный,русский,язык,420
Дис,канд,филол,наука,саратов,420
русский,языковый,модель,мир,материал,420
имя,предикат,предложение,Семиологическая,грамматика,419
русский,язык,семантический,тип,предикат,418
язык,Автореф,дис,канд,фил,418
стратегия,понимание,связный,текст,новое,418
теория,перевод,статус,проблема,аспект,418
язык,язык,пространство,Отв,ред,418
анализ,Автореф,дис,канд,филол,417
наука,конец,век,Сб,статья,416
дисс,канд,филол,наука,воронеж,416
логический,анализ,язык,язык,динамический,416
анализ,язык,язык,динамический,мир,416
анализ,язык,язык,пространство,Отв,416
лингвистика,текст,материал,науч,конф,414
век,автореф,дис,канд,филол,414
использовать,литература,заключение,ДИССЕРТАЦИИпо,тема,413
лингвистический,описание,разговорный,речь,горький,410
Изв,ан,ссср,серия,лит,410
цель,необходимо,решать,следующий,задача,409
грамматика,современный,узбекский,литературный,язык,408
проблема,исследование,языковой,картина,мир,407
современный,русский,язык,теория,анализ,406
русский,язык,теория,анализ,языковой,404
язык,сознание,коммуникация,Сб,статья,404
поэтический,энергия,слово,синергетика,язык,404
энергия,слово,синергетика,язык,сознание,403
Дис,канд,филол,наука,краснодар,402
язык,Дис,докт,филол,наука,401
Лексико,семантический,группа,русский,глагол,401
язык,теория,анализ,языковой,единица,401
язык,электронный,ресурс,режим,доступ,401
типология,вид,проблема,поиск,решение,400
лексика,современный,русский,литературный,язык,399
труд,аспектологического,семинар,филологический,факультет,398
век,Дис,канд,филол,наука,396
Сб,науч,тр,Моск,гос,395
апробация,результат,исследование,основной,положение,394
функциональный,стиль,современный,русский,язык,393
вид,языковой,номинация,вид,наименование,393
докл,высш,шк,Филол,наука,392
издательский,фирма,восточный,литература,ран,392
проблема,семантический,синтагматика,проблема,структурный,392
язык,Автореф,дисс,докт,филол,391
семантика,языковой,единица,разный,уровень,390
список,использовать,литература,заключение,ДИССЕРТАЦИИпо,387
семантический,синтагматика,проблема,структурный,лингвистика,387
дисс,канд,филол,наука,волгоград,387
Дис,канд,филол,наука,текст,387
российский,академия,наука,институт,русский,386
академия,наука,институт,русский,язык,386
уч,ст,канд,филол,наука,385
апробация,работа,основной,положение,диссертационный,384
язык,русский,язык,исторический,судьба,384
проблема,когнитивный,лингвистика,воронеж,Изд,384
лингвистический,основа,балканский,модель,мир,383
соиск,уч,степ,канд,филол,382
личностный,аспект,языковой,общение,калинин,382
русский,язык,текст,дис,канд,382
леонтьев,язык,речь,речевой,деятельность,381
дискурс,речь,речевой,деятельность,функциональный,381
дата,обращение,режим,доступ,дата,380
функциональный,синтаксис,современный,английский,язык,379
словарь,русский,язык,Гл,ред,379
интеллектуальный,технология,труд,международный,конференция,378
технология,труд,международный,конференция,диалог,378
проблема,функциональный,синтаксис,современный,английский,377
обращение,режим,доступ,дата,обращение,377
словарь,образный,выражение,русский,язык,376
автореферат,диссертация,кандидат,филологический,наука,376
язык,Автореф,Дис,канд,филол,374
СРНГ,словарь,русский,народный,говор,373
режим,доступ,дата,обращение,режим,373
доступ,дата,обращение,режим,доступ,373
сравнительный,изучение,иберийский,кавказский,язык,372
материал,американский,вариант,английский,язык,371
вестник,челябинский,государственный,университет,филология,371
пространство,логический,анализ,язык,язык,370
зарубежный,лингвистика,теория,речевой,акт,370
язык,проблема,отраслевой,лексика,дагестанский,370
тр,Моск,гос,пед,ин,369
комплексный,анализ,единица,лексический,уровень,369
компонентный,анализ,значимый,единица,язык,369
синтаксис,современный,русский,литературный,язык,368
современный,социолингвистика,теория,проблема,метод,368
логический,анализ,язык,семантика,начало,368
текст,электронный,ресурс,режим,доступ,367
Дис,канд,филол,наука,томск,366
научно,практический,конференция,посвящать,летие,366
дискурс,Автореф,дис,канд,филол,366
режим,доступ,свободный,дата,обращение,366
дисс,канд,филол,наука,саратов,365
антология,речевой,жанр,повседневный,коммуникация,364
современный,немецкий,язык,автореф,дис,363
челябинский,государственный,университет,филология,искусствоведение,363
русский,язык,русский,язык,исторический,362
норма,современный,русский,литературный,язык,361
Уфимцева,лексический,значение,принцип,семиологического,361
картина,мир,сквозь,призма,словообразование,361
синонимика,современный,русский,литературный,язык,361
русский,язык,составлять,второй,отделение,359
Лингво,философский,анализ,абстрактный,имя,359
Дис,канд,филол,наука,екатеринбург,358
жанр,речь,саратов,колледж,Вып,358
теория,семантический,поле,вопрос,языкознание,357
проза,Автореф,дис,канд,филол,357
век,опыт,парадигмального,анализ,язык,357
современный,американский,лингвистика,фундаментальный,направление,357
современный,английский,язык,текст,дис,357
труд,институт,лингвистический,исследование,ран,357
толковый,словарь,русский,язык,Сост,356
ассоциативный,тезаурус,современный,русский,язык,354
русский,языковый,картина,мир,сквозь,354
теория,функциональный,грамматика,Локативность,бытийность,354
французский,язык,Дис,канд,филол,354
карасик,языковой,личность,культурный,концепт,354
русский,языковой,картина,мир,текст,354
Науч,докл,высш,шк,Филол,353
дис,канд,филол,наука,челябинск,352
текст,дис,докт,филол,наука,352
лексический,значение,слово,вопрос,языкознание,351
очерк,современный,русский,литературный,язык,349
словарь,русский,язык,вв,Вып,349
коммуникативный,перспектива,высказывание,определенность,неопределенность,349
сборник,научный,статья,саратов,Изд,349
языковый,картина,мир,сквозь,призма,348
дис,канд,филол,наука,самара,348
историко,сравнительный,изучение,иберийский,кавказский,348
миф,ритуал,символ,образ,исследование,346
тип,лексический,значение,слово,вопрос,345
описание,лексико,семантический,система,язык,345
работа,основной,положение,диссертационный,исследование,344
речь,Автореф,дисс,канд,филол,342
международный,научно,практический,конференция,актуальный,342
Дис,канд,филол,наука,казань,342
словарь,русский,фразеология,историко,этимологический,341
известие,ан,ссср,сера,литература,341
речь,автореф,дис,канд,филол,341
русистика,лингвистический,парадигма,конец,век,340
фактор,адресат,Изв,ан,ссср,339
современный,русский,язык,синтаксис,простой,338
дис,канд,филол,наука,новосибирск,338
дис,канд,филол,наука,тамбов,338
концепт,Сб,науч,тр,волгоград,338
большой,академический,словарь,русский,язык,337
языковой,картина,мир,обиходный,представление,335
приложение,заключение,ДИССЕРТАЦИИпо,тема,теория,335
приложение,заключение,ДИССЕРТАЦИИпо,тема,сравнительно,335
исследование,языковой,картина,мир,аналогия,335
общий,языкознание,метод,лингвистический,исследование,334
словообразование,актуальный,проблема,русский,словообразование,334
типология,лингвистический,номинация,языковой,номинация,334
ан,ссср,сера,лит,ры,334
теоретический,грамматика,французский,язык,синтаксис,334
дисс,канд,филол,наука,уфа,333
большой,энциклопедический,словарь,гл,ред,333
спб,научный,центр,проблема,диалог,332
Дисс,канд,филол,наука,спб,332
Автореф,дисс,доктор,филол,наука,332
сб,науч,тр,волгоград,перемена,332
русский,фразеология,историко,этимологический,справочник,331
Автореф,дис,канд,фи,лола,331
Межвуз,сб,науч,тр,пермь,330
кунин,курс,фразеология,современный,английский,330
теория,функциональный,грамматика,Персональность,Залоговость,330
научный,новизна,диссертационный,исследование,заключаться,330
Суперанская,общий,теория,имя,собственный,329
языковой,картина,мир,вопрос,языкознание,329
Дис,канд,филол,наука,минск,329
современный,русский,язык,вопрос,языкознание,328
защита,выноситься,следующий,основный,положение,328
толковый,словарь,русский,глагол,идеографический,328
функционально,прагматический,концепция,текст,ростов,328
второй,отделение,императорский,академия,наука,327
словарь,русский,глагол,идеографический,описание,327
синтаксический,стилистика,сложный,синтаксический,целое,327
единица,словообразовательный,система,русский,язык,327
материал,английский,язык,Дис,канд,327
структура,работа,диссертационный,исследование,состоять,326
известие,академия,наука,ссср,серия,325
вопрос,описание,лексико,семантический,система,325
морфологический,категория,современный,русский,язык,325
исследование,методологический,проблема,когнитивный,лингвистика,325
материал,английский,язык,автореф,дис,324
наука,главный,редакция,восточный,литература,323
второй,глава,введение,диссертация,часть,323
глагол,Автореф,дис,канд,филол,323
толковый,словарь,русский,язык,Гл,323
