,word,freq,pos
142,высокий,92445,ADJF
143,контекст,92310,NOUN
144,высказывание,91982,NOUN
145,сознание,91781,NOUN
146,характер,91398,NOUN
147,область,91095,NOUN
148,элемент,90935,NOUN
149,определять,90345,INFN
150,деятельность,90242,NOUN
151,качество,88743,NOUN
152,определенный,88255,ADJF
153,синтаксис,88227,NOUN
154,принцип,87974,NOUN
155,ряд,87971,NOUN
156,становиться,87546,INFN
157,поле,87427,NOUN
158,место,86866,NOUN
159,рассматривать,86735,INFN
160,образование,86731,NOUN
161,использовать,86560,INFN
162,говор,86007,NOUN
163,диссертация,84991,NOUN
164,личность,84666,NOUN
165,подход,84440,NOUN
166,однако,83936,CONJ
167,составлять,83035,INFN
168,конференция,82468,NOUN
169,социальный,82309,ADJF
170,изд??,81706,
171,состав,81642,NOUN
172,общение,80843,NOUN
173,сложный,80581,ADJF
174,функционирование,80499,NOUN
175,знание,80303,NOUN
176,источник,79558,NOUN
177,пространство,79477,NOUN
178,жизнь,79168,NOUN
179,давать,78575,INFN
180,задача,78541,NOUN
181,представление,78456,NOUN
182,использование,78137,NOUN
183,метафора,77588,NOUN
184,предмет,77558,NOUN
185,содержание,77526,NOUN
186,информация,77350,NOUN
187,народ,76963,NOUN
188,степень,76912,NOUN
189,жанр,76162,NOUN
190,определение,75931,NOUN
191,фактор,75813,NOUN
192,сфера,75316,NOUN
193,возможность,74526,NOUN
194,вариант,74121,NOUN
195,французский,74098,ADJF
196,введение,73938,NOUN
197,точка,73913,NOUN
198,специфика,73361,NOUN
199,тема,73319,NOUN
200,электронный,73298,ADJF
201,терминология,73149,NOUN
202,см,73074,VERB
203,оценка,73068,NOUN
204,отмечать,72804,INFN
205,политический,72697,ADJF
206,иной,72579,ADJF
207,список,72517,NOUN
208,самый,72052,ADJF
209,каждый,71785,ADJF
210,ссср,71531,NOUN
211,культурный,71343,ADJF
212,называть,71082,INFN
213,получать,70783,INFN
214,наиболее,70327,ADVB
215,пособие,70184,NOUN
216,настоящий,69984,ADJF
217,университет,69853,NOUN
218,положение,69723,NOUN
219,существительное,69575,NOUN
220,фразеология,69439,NOUN
221,связывать,69224,INFN
222,глагольный,69209,ADJF
223,сторона,69181,NOUN
224,прагматический,69118,ADJF
225,стиль,69112,NOUN
226,славянский,68935,ADJF
227,стилистический,68931,ADJF
228,диалект,68795,NOUN
229,словообразовательный,68232,ADJF
230,книга,68047,NOUN
231,обращение,67824,NOUN
232,ресурс,67779,NOUN
233,тюркский,67715,ADJF
234,ан,67396,CONJ
235,выявлять,66781,INFN
236,формирование,66730,NOUN
237,зрение,66373,NOUN
238,вывод,66165,NOUN
239,международный,66111,ADJF
240,отдельный,65855,ADJF
241,состояние,64839,NOUN
242,лицо,64488,NOUN
243,важный,64470,ADJF
244,гос??,64467,
245,сборник,64464,NOUN
246,взаимодействие,64259,NOUN
247,словообразование,63822,NOUN
248,особый,63808,ADJF
249,виноградов,63771,NOUN
250,данные,63560,PRTF
251,сопоставительный,63402,ADJF
252,изменение,63088,NOUN
253,советский,62417,ADJF
254,науч??,62364,
255,обусловливать,62213,INFN
256,именно,61585,PRCL
257,практический,61553,ADJF
258,ученый,61537,NOUN
259,очерк,61329,NOUN
260,отражать,61249,INFN
261,структурный,61243,ADJF
262,позиция,61232,NOUN
263,либо,60985,CONJ
264,использоваться,60843,INFN
265,прогресс,60656,NOUN
266,лексико??,60635,
267,свойство,60557,NOUN
268,последний,60470,ADJF
269,выражать,60280,INFN
270,стилистика,59906,NOUN
271,реализация,59284,NOUN
272,москва,59154,NOUN
273,внимание,59128,NOUN
274,опыт,58921,NOUN
275,знак,58876,NOUN
276,лексема,58847,NOUN
277,приводить,58827,INFN
278,понимание,58744,NOUN
279,россия,58681,NOUN
280,сочетание,58576,NOUN
281,организация,58433,NOUN
282,народный,58044,ADJF
283,восприятие,57685,NOUN
284,показывать,57495,INFN
285,состоять,56789,INFN
286,номинация,56468,NOUN
287,ин,56435,PRCL
288,часто,56296,ADVB
289,актуальный,56215,ADJF
290,рамка,56181,NOUN
291,словосочетание,56163,NOUN
292,учебный,55641,ADJF
293,поэтический,55583,ADJF
294,воронеж,55421,NOUN
295,яз,55261,NOUN
296,интерпретация,54924,NOUN
297,Сб??,54829,
298,кн??,54769,
299,период,54689,NOUN
300,условие,54516,NOUN
301,конкретный,54436,ADJF
302,норма,54402,NOUN
303,иностранный,54329,ADJF
304,языковый,54294,ADJF
305,выделять,54267,INFN
306,относиться,54265,INFN
307,ср??,54154,
308,следовать,54153,INFN
309,начало,54098,NOUN
310,научно,54093,ADVB
311,российский,53923,ADJF
312,типология,53774,NOUN
313,посвящать,53715,INFN
314,смысловой,53564,ADJF
315,создание,53395,NOUN
316,факт,53159,NOUN
317,друг,52680,NOUN
318,внутренний,52599,ADJF
319,количество,52474,NOUN
320,конец,52397,NOUN
321,субъект,52283,NOUN
322,план,52270,NOUN
323,включать,51896,INFN
324,исследовать,51772,INFN
325,носитель,51468,NOUN
326,фразеологизм,51422,NOUN
327,разговорный,51260,ADJF
328,классификация,51203,NOUN
329,обозначать,51171,INFN
330,сравнение,51050,NOUN
331,описывать,50743,INFN
332,государственный,50631,ADJF
333,класс,50287,NOUN
334,зарубежный,50286,ADJF
335,сб??,50200,
336,правило,50118,NOUN
337,направление,49810,NOUN
338,происходить,49688,INFN
339,общество,49159,NOUN
340,существовать,49016,INFN
341,выступать,48888,INFN
342,несколько,48772,ADVB
343,лишь,48372,PRCL
344,помощь,48314,NOUN
345,заимствование,48294,NOUN
346,наличие,48246,NOUN
347,род,48205,VERB
348,избранный,48176,ADJF
349,полный,48076,ADJF
350,арутюнов,48046,NOUN
351,связанный,47820,ADJF
352,собственный,47777,ADJF
353,писатель,47635,NOUN
354,влияние,47502,NOUN
355,природа,47424,NOUN
356,многий,47403,ADJF
357,рассматриваться,47127,INFN
358,характерный,47119,ADJF
359,филология,47052,NOUN
360,поведение,46992,NOUN
361,диссертационный,46939,ADJF
362,мысль,46904,NOUN
363,автореф??,46845,
364,татарский,46843,ADJF
365,концептуальный,46808,ADJF
366,энциклопедия,46600,NOUN
367,находить,46096,INFN
368,входить,45565,INFN
369,наименование,45490,NOUN
370,акт,45328,NOUN
371,прием,45211,NOUN
372,отражение,45104,NOUN
373,различие,45103,NOUN
374,поскольку,45024,CONJ
375,мгу,44907,NOUN
376,просвещение,44449,NOUN
377,морфологический,44420,ADJF
378,практика,44404,NOUN
379,фонетический,43896,ADJF
380,исследователь,43779,NOUN
381,определяться,43778,INFN
382,институт,43756,NOUN
383,вестник,43704,NOUN
384,парадигма,43230,NOUN
385,падеж,43150,NOUN
386,стр??,43104,
387,считать,42965,INFN
388,наречие,42833,NOUN
389,дата,42781,NOUN
390,поэтому,42736,ADVB
391,толковый,42614,ADJF
392,традиция,42611,NOUN
393,лексикология,42601,NOUN
394,соответствие,42563,NOUN
395,главный,42335,ADJF
396,памятник,42327,NOUN
397,вв??,42298,
398,роман,42286,NOUN
399,значимость,42275,NOUN
400,воздействие,42208,NOUN
401,соотношение,42139,NOUN
402,местоимение,41949,NOUN
403,простой,41941,ADJF
404,выявление,41907,NOUN
405,древний,41825,ADJF
406,творчество,41825,NOUN
407,оказываться,41807,INFN
408,широкий,41748,ADJF
409,психология,41453,NOUN
410,диалог,41380,NOUN
411,создавать,41359,INFN
412,показатель,41305,NOUN
413,методика,41215,NOUN
414,целое,41206,NOUN
415,основание,41142,NOUN
416,этап,40931,NOUN
417,дело,40899,NOUN
418,системный,40861,ADJF
419,действительность,40645,NOUN
420,встречаться,40622,INFN
421,эмоциональный,40543,ADJF
422,частность,40486,NOUN
423,издание,40416,NOUN
424,логический,40337,ADJF
425,проводить,40297,INFN
426,доклад,40184,NOUN
427,ребенок,40041,NOUN
428,гласный,40009,NOUN
429,стратегия,39957,NOUN
430,возможный,39953,ADJF
431,решение,39892,NOUN
432,функционально,39879,ADVB
433,указывать,39625,INFN
434,дисс??,39595,
435,кроме,39435,PREP
436,ран,39207,NOUN
437,поэзия,39198,NOUN
438,ст,39161,NOUN
439,специальный,39126,ADJF
440,механизм,39120,NOUN
441,мнение,38959,NOUN
442,день,38931,NOUN
443,мышление,38925,NOUN
444,событие,38909,NOUN
445,структурно,38907,ADVB
446,оно,38772,NPRO
447,оценочный,38741,ADJF
448,диалектный,38690,ADJF
449,сказать,38680,INFN
450,авторский,38666,ADJF
451,человеческий,38634,ADJF
452,подобный,38613,ADJF
453,философия,38514,NOUN
454,причина,38498,NOUN
455,возникать,38424,INFN
456,лит,38423,NOUN
457,Кубрякова??,38285,
458,изучать,38242,INFN
459,заключаться,38128,INFN
460,известный,37939,ADJF
461,Дж??,37846,
462,письмо,37837,NOUN
463,тенденция,37759,NOUN
464,путь,37755,NOUN
465,должный,37718,ADJF
466,Дис??,37621,
467,искусство,37581,NOUN
468,сила,37564,NOUN
469,прилагательное,37560,NOUN
470,тр??,37497,
471,предполагать,37464,INFN
472,режим,37433,NOUN
473,словарный,37367,ADJF
474,интерес,37332,NOUN
475,заключение,37286,NOUN
476,происхождение,37285,NOUN
477,идти,37193,INFN
478,волгоград,37064,NOUN
479,доступ,37015,NOUN
480,статус,36917,NOUN
481,выбор,36866,NOUN
482,хотя,36731,CONJ
483,среди,36722,PREP
484,находиться,36655,INFN
485,степанов,36486,NOUN
486,союз,36421,NOUN
487,член,36368,NOUN
488,идея,36345,NOUN
489,база,36323,NOUN
490,учеба,36254,NOUN
491,прилагательный,36253,ADJF
492,русый,36084,ADJF
493,личный,36071,ADJF
494,обладать,35984,INFN
495,сделать,35922,INFN
496,черта,35742,NOUN
497,сопоставление,35648,NOUN
498,серия,35452,NOUN
499,очень,35414,ADVB
500,центр,35407,NOUN
501,эмоция,35276,NOUN
502,содержать,35153,INFN
503,употребляться,34970,INFN
504,Отв??,34930,
505,проза,34902,NOUN
506,модальность,34875,NOUN
507,предлагать,34685,INFN
508,принимать,34673,INFN
509,новое,34406,ADJF
510,модальный,34383,ADJF
511,прежде,34363,PREP
512,фрагмент,34320,NOUN
513,производный,34260,ADJF
514,московский,34157,ADJF
515,прямой,34151,ADJF
516,казань,34133,NOUN
517,апресян,34109,NOUN
518,объем,34093,NOUN
519,лексикография,34075,NOUN
520,философский,34063,ADJF
521,ассоциативный,33944,ADJF
522,оставаться,33936,INFN
523,соответствующий,33822,PRTF
524,обозначение,33755,NOUN
525,морфология,33415,NOUN
526,метафорический,33413,ADJF
527,письменный,33411,ADJF
528,терминологический,33256,ADJF
529,энциклопедический,33214,ADJF
530,краткий,33176,ADJF
531,общественный,33108,ADJF
532,сочинение,33103,NOUN
533,шмелев,33100,NOUN
534,поэтика,33038,NOUN
535,пед??,32983,
536,параметр,32952,NOUN
537,образовывать,32896,INFN
538,дальнейший,32890,ADJF
539,временный,32798,ADJF
540,необходимость,32767,NOUN
541,дом,32762,NOUN
542,писать,32746,INFN
543,ценность,32651,NOUN
544,именной,32597,ADJF
545,построение,32595,NOUN
546,гг??,32526,
547,любой,32337,ADJF
548,разработка,32258,NOUN
549,выполнять,32073,INFN
550,предикат,32056,NOUN
551,курс,32039,NOUN
552,читатель,32017,NOUN
553,устный,31965,ADJF
554,страна,31893,NOUN
555,этимологический,31819,ADJF
556,типологический,31747,ADJF
557,деловой,31742,ADJF
558,поэт,31679,NOUN
559,синоним,31632,NOUN
560,сравнительный,31594,ADJF
561,третий,31452,ADJF
562,монография,31410,NOUN
563,движение,31106,NOUN
564,традиционный,31089,ADJF
565,фе,31084,
566,проявляться,31046,INFN
567,значительный,31014,ADJF
568,саратов,30919,NOUN
569,пословица,30725,NOUN
570,познание,30724,NOUN
571,суффикс,30622,NOUN
572,психологический,30613,ADJF
573,служить,30610,INFN
574,взгляд,30558,NOUN
575,большинство,30506,NOUN
576,чтение,30377,NOUN
577,отсутствие,30347,NOUN
578,иметься,30262,INFN
579,живой,30237,ADJF
580,зависимость,30193,NOUN
581,феномен,30139,NOUN
582,тематический,30138,ADJF
583,лексикографический,29919,ADJF
584,устанавливать,29901,INFN
585,буква,29834,NOUN
586,лингвист,29831,NOUN
587,город,29761,NOUN
588,особенно,29760,ADVB
589,фонетика,29734,NOUN
590,пушкин,29524,NOUN
591,гак,29493,NOUN
592,оба,29197,NUMR
593,экспрессивный,29176,ADJF
594,корпус,29108,NOUN
595,киев,29081,NOUN
596,рассказ,29067,NOUN
597,англ,29008,ADJF
598,мера,28970,NOUN
599,ростов,28958,NOUN
600,адресат,28922,NOUN
601,ра??,28902,
602,дискурсивный,28898,ADJF
603,свет,28884,NOUN
604,специфический,28767,ADJF
605,попов,28738,NOUN
606,газета,28731,NOUN
607,комплексный,28680,ADJF
608,представляться,28555,INFN
609,перспектива,28552,NOUN
610,издательство,28548,NOUN
611,внешний,28490,ADJF
612,начинать,28453,INFN
613,отечественный,28421,ADJF
614,академия,28412,NOUN
615,понимать,28376,INFN
616,целый,28274,ADJF
617,концепция,28256,NOUN
618,рассмотрение,28036,NOUN
619,обучение,28012,NOUN
620,передача,28011,NOUN
621,частица,28005,NOUN
622,согласный,27994,ADJF
623,свидетельствовать,27974,INFN
624,порядок,27920,NOUN
625,собственно,27875,PRCL
626,американский,27850,ADJF
627,преподавание,27838,NOUN
628,предлог,27794,NOUN
629,древнерусский,27763,ADJF
630,эпоха,27683,NOUN
631,актуальность,27677,NOUN
632,способствовать,27612,INFN
633,сера,27538,NOUN
634,средний,27470,ADJF
635,психолингвистика,27422,NOUN
636,исходный,27352,ADJF
637,характеризоваться,27295,INFN
638,граница,27266,NOUN
639,образный,27245,ADJF
640,единство,27226,NOUN
641,разновидность,27191,NOUN
642,махачкала,27104,NOUN
643,отличие,27073,NOUN
644,прагматика,27048,NOUN
645,студент,27018,NOUN
646,репрезентация,27013,NOUN
647,наблюдение,26893,NOUN
648,реклама,26884,NOUN
649,автореферат,26866,NOUN
650,журнал,26813,NOUN
651,сущность,26803,NOUN
652,сообщение,26802,NOUN
653,раздел,26796,NOUN
654,закономерность,26786,NOUN
655,существование,26768,NOUN
656,звук,26631,NOUN
657,появляться,26546,INFN
658,применение,26513,NOUN
659,эксперимент,26496,NOUN
660,вербальный,26413,ADJF
661,устойчивый,26328,ADJF
662,пространственный,26205,ADJF
663,учет,26171,NOUN
664,достаточно,26093,ADVB
665,ход,26024,NOUN
666,реальный,25848,ADJF
667,знать,25805,INFN
668,межкультурный,25794,ADJF
669,переть,25661,INFN
670,формальный,25653,ADJF
671,номинативный,25633,ADJF
672,отличаться,25595,INFN
673,екатеринбург,25587,NOUN
674,персонаж,25532,NOUN
675,соответствовать,25486,INFN
676,технический,25479,ADJF
677,игра,25427,NOUN
678,критерий,25420,NOUN
679,впервые,25410,ADVB
680,делать,25307,INFN
681,моделирование,25307,NOUN
682,необходимый,25303,ADJF
683,рекламный,25286,ADJF
684,уфа,25284,NOUN
685,информационный,25250,ADJF
686,новосибирск,25221,NOUN
687,выделение,25198,NOUN
688,сравнительно,25196,ADVB
689,женщина,25163,NOUN
690,видеть,25149,INFN
691,герой,25136,NOUN
692,менее,25124,ADVB
693,проявление,25055,NOUN
694,аффикс,25006,NOUN
695,вызывать,24888,INFN
696,профессиональный,24798,ADJF
697,ударение,24764,NOUN
698,караулов,24683,NOUN
699,поставлять,24674,INFN
700,единый,24636,ADJF
701,очередь,24633,NOUN
702,вып??,24610,
703,индивидуальный,24556,ADJF
704,психолингвистический,24528,ADJF
705,отрицательный,24500,ADJF
706,способность,24334,NOUN
707,восточный,24289,ADJF
708,занимать,24281,INFN
709,ключевой,24276,ADJF
710,леонтьев,24183,NOUN
711,закон,24088,NOUN
712,тезис,24030,NOUN
713,приходить,23962,INFN
714,земля,23943,NOUN
715,интернет,23907,NOUN
716,активный,23817,ADJF
717,существительный,23808,ADJF
718,количественный,23721,ADJF
719,приложение,23701,NOUN
720,символ,23690,NOUN
721,карасик,23633,NOUN
722,корень,23521,NOUN
723,больший,23516,ADJF
724,участник,23436,NOUN
725,массовый,23413,ADJF
726,текстовый,23392,ADJF
727,Телия??,23351,
728,бондарко,23345,NOUN
729,ь??,23194,
730,говорящий,23146,ADJF
731,обычно,23145,ADVB
732,становление,23110,NOUN
733,сказка,23067,NOUN
734,память,23065,NOUN
735,слог,23043,NOUN
736,момент,23023,NOUN
737,башкирский,22989,ADJF
738,обнаруживать,22949,INFN
739,красный,22879,ADJF
740,известие,22752,NOUN
741,выходить,22638,INFN
742,универсальный,22621,ADJF
743,методологический,22596,ADJF
744,причастие,22568,NOUN
745,семиотика,22523,NOUN
746,правда,22480,PRCL
747,иноязычный,22435,ADJF
748,стих,22408,NOUN
749,рука,22382,NOUN
750,толстой,22361,NOUN
751,естественный,22300,ADJF
752,фольклор,22238,NOUN
753,Стернин??,22178,
754,записка,22164,NOUN
755,ментальный,22093,ADJF
756,появление,22062,NOUN
757,необходимо,21953,PRED
758,молодой,21935,ADJF
759,предел,21932,NOUN
760,иванов,21918,NOUN
761,значимый,21889,ADJF
762,характеризовать,21875,INFN
763,круг,21825,NOUN
764,касаться,21747,INFN
765,фон,21704,PRCL
766,стихотворение,21700,NOUN
767,половина,21675,NOUN
768,газетный,21675,ADJF
769,новизна,21629,NOUN
770,документ,21625,NOUN
771,наблюдаться,21600,INFN
772,послужить,21594,INFN
773,пора,21586,NOUN
774,стереотип,21566,NOUN
775,конф??,21553,
776,схема,21551,NOUN
777,письменность,21508,NOUN
778,жить,21490,INFN
779,требовать,21480,INFN
780,попытка,21477,NOUN
781,сочетаемость,21442,NOUN
782,отрицание,21417,NOUN
783,частный,21391,ADJF
784,китайский,21384,ADJF
785,поиск,21364,NOUN
786,строй,21357,NOUN
787,разрабатывать,21355,INFN
788,учебник,21346,NOUN
789,старый,21307,ADJF
790,совокупность,21304,NOUN
791,немой,21301,ADJF
792,хороший,21291,ADJF
793,близкий,21287,ADJF
794,цвет,21256,NOUN
795,собрание,21244,NOUN
796,контакт,21230,NOUN
797,вместе,21213,ADVB
798,де,21213,PRCL
799,принадлежность,21126,NOUN
800,ономастика,21098,NOUN
801,оборот,21089,NOUN
802,белый,21087,ADJF
803,социально,21082,ADVB
804,душа,21042,NOUN
805,комплекс,21039,NOUN
806,вторичный,20962,ADJF
807,толкование,20872,NOUN
808,даль,20858,NOUN
809,потенциал,20808,NOUN
810,гуманитарный,20742,ADJF
811,духовный,20741,ADJF
812,повесть,20677,NOUN
813,логика,20578,NOUN
814,достижение,20573,NOUN
815,далее,20539,ADVB
816,лежать,20530,INFN
817,принадлежать,20519,INFN
818,словесный,20513,ADJF
819,педагогический,20494,ADJF
820,чувство,20440,NOUN
821,представитель,20438,NOUN
822,англоязычный,20411,ADJF
823,содержательный,20339,ADJF
824,вуз,20294,NOUN
825,германский,20233,ADJF
826,любовь,20218,NOUN
827,среда,20211,NOUN
828,объективный,20135,ADJF
829,выделяться,20103,INFN
830,синонимический,20098,ADJF
831,чужой,20052,ADJF
832,топоним,20033,NOUN
833,защита,19997,NOUN
834,го,19930,NOUN
835,аналитический,19928,ADJF
836,территория,19881,NOUN
837,относить,19829,INFN
838,зона,19746,NOUN
839,широко,19703,ADVB
840,реакция,19702,NOUN
841,Моск??,19657,
842,базовый,19644,ADJF
843,книжный,19631,ADJF
844,фраза,19624,NOUN
845,дополнительный,19623,ADJF
846,великий,19579,ADJF
847,сказуемое,19550,NOUN
848,тело,19474,NOUN
849,отв??,19467,
850,свободный,19459,ADJF
851,доп??,19441,
852,экономический,19398,ADJF
853,указанный,19382,ADJF
854,право,19313,NOUN
855,сходство,19298,NOUN
856,диалогический,19281,ADJF
857,справочник,19278,NOUN
858,томск,19239,NOUN
859,существенный,19236,ADJF
860,относительно,19197,PREP
861,рукопись,19187,NOUN
862,множество,19137,NOUN
863,переход,19127,NOUN
864,учитывать,19119,INFN
865,район,19119,NOUN
866,публикация,19096,NOUN
867,родной,19096,ADJF
868,оппозиция,19090,NOUN
869,проанализировать,19074,INFN
870,эволюция,19053,NOUN
871,историко,19022,NOUN
872,экспериментальный,18988,ADJF
873,играть,18952,INFN
874,публицистический,18911,ADJF
875,фамилия,18870,NOUN
876,четыре,18831,NUMR
877,песня,18825,NOUN
878,стоять,18823,INFN
879,дон,18781,NOUN
880,таблица,18778,NOUN
881,гипотеза,18770,NOUN
882,выражаться,18744,INFN
883,предметный,18702,ADJF
884,семья,18639,NOUN
885,татарин,18562,NOUN
886,сей,18561,ADJF
887,арабский,18560,ADJF
888,синонимия,18549,NOUN
889,вода,18546,NOUN
890,вообще,18514,ADVB
891,объединять,18514,INFN
892,географический,18440,ADJF
893,бахтин,18431,NOUN
894,приобретать,18395,INFN
895,западный,18340,ADJF
896,возможно,18339,CONJ
897,весьма,18318,ADVB
898,женский,18312,ADJF
899,редакция,18180,NOUN
900,этнический,18169,ADJF
901,монгольский,18162,ADJF
902,Ср??,18144,
903,подчеркивать,18142,INFN
904,сведение,18115,NOUN
905,написать,18106,INFN
906,реалия,18009,NOUN
907,несмотря,17971,PREP
908,лекция,17968,NOUN
909,алтайский,17964,ADJF
910,установление,17951,NOUN
911,причем,17943,CONJ
912,военный,17938,ADJF
913,самостоятельный,17909,ADJF
914,турецкий,17891,ADJF
915,сова,17867,NOUN
916,динамика,17851,NOUN
917,эстетический,17829,ADJF
918,риторика,17821,NOUN
919,набор,17781,NOUN
920,васильев,17774,NOUN
921,сми,17760,NOUN
922,бог,17720,NOUN
923,реальность,17691,NOUN
924,прикладной,17684,ADJF
925,наряду,17614,ADVB
926,осуществляться,17595,INFN
927,зафиксировать,17595,INFN
928,обстоятельство,17566,NOUN
929,означать,17562,INFN
930,Высш??,17547,
931,переводчик,17537,NOUN
932,трансформация,17505,NOUN
933,передавать,17494,INFN
934,счет,17486,NOUN
935,ранний,17480,ADJF
936,разнообразный,17431,ADJF
937,минск,17390,NOUN
938,предикативный,17368,ADJF
939,судьба,17344,NOUN
940,ответ,17329,NOUN
941,строка,17285,NOUN
942,река,17184,NOUN
943,понятийный,17178,ADJF
944,глаз,17164,NOUN
945,единственный,17150,ADJF
946,анализировать,17026,INFN
947,шк??,17009,
948,употреблять,17005,INFN
949,испанский,17005,ADJF
950,объяснять,17004,INFN
951,региональный,16966,ADJF
952,пресс,16942,NOUN
953,субъективный,16892,ADJF
954,посредством,16886,PREP
955,ко,16874,PREP
956,Сост??,16859,
957,основывать,16846,INFN
958,проходить,16823,INFN
959,пермь,16816,NOUN
960,придаточный,16804,ADJF
961,выше,16803,ADVB
962,вариативность,16771,NOUN
963,косвенный,16762,ADJF
964,ядро,16750,NOUN
965,Падучева??,16738,
966,этимология,16725,NOUN
967,взять,16724,INFN
968,Уфимцева??,16718,
969,качественный,16696,ADJF
970,никитин,16678,NOUN
971,возникновение,16656,NOUN
972,зависеть,16643,INFN
973,вполне,16619,ADVB
974,петербург,16604,NOUN
975,прецедентный,16567,ADJF
976,обращаться,16560,INFN
977,культурно,16530,ADVB
978,написание,16497,NOUN
979,опубликовывать,16482,INFN
980,соответственно,16471,ADVB
981,религиозный,16446,ADJF
982,таджикский,16434,ADJF
983,тамбов,16373,NOUN
984,повтор,16367,NOUN
985,звуковой,16323,ADJF
986,докт??,16304,
987,актуализация,16298,NOUN
988,калинин,16288,NOUN
989,фрейм,16279,NOUN
990,фонд,16273,NOUN
991,мало,16262,NUMR
992,поговорка,16259,NOUN
993,составление,16243,NOUN
994,жанровый,16234,ADJF
995,заимствовать,16230,INFN
996,согласно,16222,PREP
997,полагать,16164,INFN
998,объясняться,16155,INFN
999,известно,16147,PRED
1000,морфема,16146,NOUN
1001,латинский,16124,ADJF
1002,способный,16106,ADJF
1003,смерть,16102,NOUN
1004,свойственный,16097,ADJF
1005,установка,16083,NOUN
1006,противопоставление,16079,NOUN
1007,оформление,16059,NOUN
1008,сохраняться,16058,INFN
1009,функционировать,16025,INFN
1010,власть,16010,NOUN
1011,УРСС??,15994,
1012,членение,15984,NOUN
1013,Лексико??,15977,
1014,Дисс??,15937,
1015,распространение,15935,NOUN
1016,около,15923,PREP
